,I_STS059,I_TULOC,I_RLIEF,I_MFS047,I_CFS001,I_DONLL,I_MFS022,I_NFS033,I_SPICE,I_NFS009,I_BVC007,I_MIL003,I_NFS005,I_ANG017,I_MFS013,I_BEARD,I_SFS033,I_LYONS,I_SFS030,I_PCRST
2/28/1998,3.17,26.24,1.08,0.85,8.75,7.36,2.08,1.98,3.92,19.07,5.97,2.49,1.07,1.22,1.26,4,0.05,8.88,2.01,0.07
3/31/1998,1.11,8.62,2.81,2.21,8.37,32.15,9.07,6.42,10.5,38.71,13.08,5.45,2.18,2.68,2.37,7.5,3.27,8.28,1.88,4.91
4/30/1998,0.33,9,4.21,3.3,12.23,36.44,10.28,10.55,13.46,36.42,11.07,4.61,2.05,2.27,2.67,8.45,4.51,3.81,0.86,6.76
5/31/1998,0.29,4.73,9.53,7.49,25.05,67.35,18.99,20.48,24.76,59.56,14.39,5.99,3.35,2.95,3.41,10.8,8.48,2.79,0.63,12.71
6/30/1998,0.1,1.81,26.98,21.2,56.82,113.2,31.93,42.76,54.05,70.02,9.16,3.81,3.94,1.88,0.53,1.69,23.81,6.15,1.39,35.71
7/31/1998,0.05,0.82,22.73,17.86,40.18,40.85,11.52,11.95,25.37,14.03,1.32,0.55,0.79,0.27,0.85,2.7,16.04,3.82,0.86,24.05
8/31/1998,0.03,0.43,5.78,4.54,8.45,6.99,1.97,0.38,1.8,3.99,1.12,0.47,0.22,0.23,0.93,2.93,1.2,0.46,0.1,1.81
9/30/1998,0.04,0.35,2.48,1.95,6.91,1.45,0.41,0.34,0.79,2.64,0.97,0.4,0.15,0.2,0.57,1.81,0.32,0.21,0.04,0.47
10/31/1998,0.11,0.25,1.49,1.17,2.55,2.57,0.72,0,0,0.55,0.97,0.4,0.03,0.2,0.5,1.58,0.29,0.22,0.05,0.43
11/30/1998,0.02,0.54,1.18,0.93,2.49,3.27,0.92,2.6,2.44,2.85,1.62,0.67,0.16,0.33,0.43,1.37,0.68,0.47,0.11,1.02
12/31/1998,0.04,0.73,1.51,1.19,2.46,5.14,1.45,4.3,1.75,3.82,3.55,1.48,0.22,0.73,0.38,1.19,0.87,0.59,0.13,1.3
1/31/1999,0.19,5.16,1.08,0.85,4.7,21,5.92,2.03,4.38,14.13,8.47,3.53,0.8,1.73,0,0,1.06,2.89,0.66,1.59
2/28/1999,2.65,13.27,1.14,0.89,7.2,16.73,4.72,1.77,4.56,24.42,9.77,4.07,1.37,2,1.66,5.25,1.29,10.56,2.39,1.94
3/31/1999,1.94,3.69,1.61,1.27,5.14,19.86,5.6,3.75,7.68,24.52,8.56,3.56,1.38,1.75,1.67,5.28,1.72,3.29,0.75,2.57
4/30/1999,0.23,3.08,4.02,3.16,10.7,32.76,9.24,10.38,12.82,35.06,9.59,3.99,1.97,1.96,1.83,5.79,4.22,5.35,1.21,6.34
5/31/1999,0,1.22,19.15,15.05,35.73,79.51,22.43,35.09,38.86,62.37,5.02,2.09,3.51,1.03,1.74,5.52,16.26,15.83,3.59,24.39
6/30/1999,0.02,0.63,19.23,15.11,34.64,41.21,11.62,14.77,25.57,18.57,1.22,0.51,1.05,0.25,1.4,4.44,11.61,1.39,0.31,17.42
7/31/1999,0.02,0.3,7.64,6.01,10.16,9.75,2.75,1.38,4.88,2.52,1.05,0.44,0.14,0.22,0.93,2.93,1.34,0.54,0.12,2.01
8/31/1999,0.02,0.22,2.14,1.68,3.66,1.47,0.42,0.04,0.75,1.11,0.69,0.29,0.06,0.14,0.64,2.02,0.25,0.05,0.01,0.37
9/30/1999,0,0.14,0.84,0.66,4.53,0,0,0,1.21,0.58,0.51,0.21,0.03,0.1,0.55,1.73,0.09,0.02,0,0.13
10/31/1999,0.08,0.14,0.79,0.62,1.71,1.08,0.31,0,1.86,1.11,0.53,0.22,0.06,0.11,0.93,2.95,0.14,0.14,0.03,0.21
11/30/1999,0,0.32,0.87,0.68,1.68,1.53,0.43,0.27,0.91,0.32,0.73,0.3,0.02,0.15,0.48,1.53,0.32,0.13,0.03,0.48
12/31/1999,0.56,0.24,0.63,0.5,0.98,1.91,0.54,0.32,0.5,0.19,2.68,1.12,0.01,0.55,0.51,1.6,0.11,0.09,0.02,0.17
1/31/2000,0.59,5.02,0.92,0.72,5.27,6.71,1.89,1.85,3.89,12.71,7.26,3.02,0.72,1.49,0.44,1.41,1.25,1.43,0.32,1.87
2/29/2000,0.43,14.99,1.04,0.81,7.04,11.71,3.3,2.3,5.3,19.39,8.1,3.37,1.09,1.66,1.19,3.77,1.32,7.27,1.65,1.98
3/31/2000,0.83,5.26,2.1,1.65,7.64,20.75,5.85,4.66,7.76,24.71,9.52,3.96,1.39,1.95,2.35,7.44,2.5,6.51,1.48,3.74
4/30/2000,0.24,1.54,7.63,6,17.15,43.61,12.3,19.78,22.06,42.33,6.13,2.55,2.38,1.26,3.03,9.59,7.03,6.34,1.44,10.55
5/31/2000,0.21,1.38,17.9,14.06,35.52,54.83,15.46,24.43,33.23,39.75,1.99,0.83,2.24,0.41,2.01,6.35,15.22,7.51,1.7,22.82
6/30/2000,0.12,0.48,16.02,12.59,22.78,21.51,6.07,4.58,12.44,5.4,1.24,0.52,0.3,0.25,1.71,5.42,7.61,4.34,0.98,11.42
7/31/2000,0.04,0.22,4.55,3.58,5.34,3.96,1.12,0.25,1.5,0.48,0.87,0.36,0.03,0.18,1.09,3.45,0.48,0.43,0.1,0.71
8/31/2000,0.07,0.14,1.45,1.14,1.83,1.14,0.32,0.04,0.9,1.47,0.54,0.22,0.08,0.11,1.02,3.22,0.07,0.12,0.03,0.1
9/30/2000,0.06,0.2,1.03,0.81,2.63,0.18,0.05,0.06,1.52,0.82,0.57,0.24,0.05,0.12,0.92,2.92,0.11,0.06,0.01,0.16
10/31/2000,0,0.52,0.87,0.68,1.97,0.83,0.23,0.04,0.2,0.45,0.6,0.25,0.03,0.12,0.73,2.3,0.26,0,0,0.39
11/30/2000,0.06,0.1,0.74,0.58,1.18,1.28,0.36,0.21,1.8,1.35,0.63,0.26,0.08,0.13,0.48,1.53,0.24,0.07,0.02,0.36
12/31/2000,0.48,0.2,0.79,0.62,0.84,1.98,0.56,0.67,2.07,1.62,0.7,0.29,0.09,0.14,0.57,1.8,0.25,0.01,0,0.38
1/31/2001,0.21,0.89,0.7,0.55,1.45,1.46,0.41,0.93,1.68,0.67,0.71,0.3,0.04,0.15,0.07,0.22,0.34,0.22,0.05,0.51
2/28/2001,0.13,12.5,0.71,0.56,1.61,1.82,0.51,1.14,1.59,1.61,3.41,1.42,0.09,0.7,0.23,0.71,0.49,0.42,0.1,0.73
3/31/2001,0.16,9.17,2.32,1.82,4.43,14.27,4.03,5.43,8.65,14.57,5.9,2.46,0.82,1.21,0.46,1.46,3.17,1.48,0.33,4.76
4/30/2001,0.64,1.06,5.11,4.02,10.61,23.09,6.52,11.15,13.17,22.38,4.35,1.81,1.26,0.89,1.61,5.09,4.82,1.17,0.27,7.23
5/31/2001,0.3,0,15.85,12.46,30.7,34.03,9.6,14.14,20.67,24.34,1.23,0.51,1.37,0.25,1.58,5.02,12.53,1.41,0.32,18.8
6/30/2001,0.04,0.09,4.45,3.5,7.13,5.37,1.51,0.53,2.1,0.65,0.79,0.33,0.04,0.16,0.92,2.91,1.11,0.24,0.06,1.67
7/31/2001,0,0.11,1.47,1.15,1.56,2.04,0.58,0.11,0.82,0,0.42,0.17,0,0.09,0.84,2.65,0.31,0.05,0.01,0.46
8/31/2001,0,0.08,0.38,0.3,0.63,1.07,0.3,0,1.4,0,0.27,0.11,0,0.06,0.54,1.7,0,0.04,0.01,0
9/30/2001,0,0,0.46,0.36,1.19,0.19,0.05,0,0.29,0,0.25,0.1,0,0.05,0.26,0.84,0,0,0,0
10/31/2001,0.01,0.38,0.56,0.44,1.08,0.48,0.14,0.25,1.57,0.02,0.52,0.22,0,0.11,0.1,0.33,0,0,0,0
11/30/2001,0.01,0.01,1.07,0.84,2.18,1.6,0.45,1.33,2.58,2.16,1.18,0.49,0.12,0.24,0.05,0.16,0.83,0.42,0.09,1.24
12/31/2001,0.32,2.65,1.23,0.97,3.81,2.73,0.77,1.73,3.06,4.92,2.51,1.05,0.28,0.51,0.51,1.63,0.91,0.82,0.18,1.37
1/31/2002,0.46,2.77,1.9,1.49,2.5,6.01,1.7,1.68,2.85,8.55,3.28,1.37,0.48,0.67,1.36,4.29,1.03,0.41,0.09,1.55
2/28/2002,0.79,2.04,1.52,1.2,2.12,7.36,2.08,1.91,3.28,8.52,4.28,1.78,0.48,0.88,0.35,1.12,1.07,0.35,0.08,1.61
3/31/2002,0.37,3.93,1.77,1.39,4.46,14.52,4.09,3.79,6.03,16.5,9.11,3.79,0.93,1.87,1.2,3.8,1.79,1.11,0.25,2.69
4/30/2002,0.1,1.11,7.61,5.98,16.56,41.37,11.67,19.52,22.52,41.06,4.73,1.97,2.31,0.97,2.64,8.36,7.39,0.16,0.03,11.09
5/31/2002,0.04,1.01,12.77,10.03,28.37,34.4,9.7,19.87,26.84,31.73,1.35,0.56,1.79,0.28,2.45,7.75,10.83,0,0,16.25
6/30/2002,0.03,0.59,11.43,8.98,18.67,17.71,5,4.68,10.38,4.4,1.07,0.45,0.25,0.22,0.93,2.94,4.69,0,0,7.03
7/31/2002,0.02,0.21,2.71,2.13,4.11,2.9,0.81,0.11,2.06,0.47,0.52,0.22,0.03,0.11,0.44,1.38,0.18,0.1,0.02,0.26
8/31/2002,0.02,0.35,0.66,0.52,1.13,1.5,0.42,0,0.08,0,0.3,0.12,0,0.06,0.28,0.88,0.14,0.03,0.01,0.21
9/30/2002,0.01,0.27,0.53,0.41,0.66,0.57,0.16,0,0.58,0,0.23,0.1,0,0.05,0.42,1.32,0.01,0.09,0.02,0.01
10/31/2002,0.03,0,0.36,0.28,0.61,0.66,0.19,0,0.39,0,0.26,0.11,0,0.05,0.28,0.9,0.03,0,0,0.04
11/30/2002,0.06,0.28,1.31,1.03,3.26,2.53,0.71,1.8,2.49,2.3,0.87,0.36,0.13,0.18,0.26,0.83,1.36,0.41,0.09,2.03
12/31/2002,0.59,2.29,0.78,0.61,3.11,2.24,0.63,1.61,3.27,2.87,1.78,0.74,0.16,0.36,0.53,1.68,0.55,0.99,0.22,0.83
1/31/2003,2.38,0.98,1.17,0.92,2.55,8.73,2.46,2.37,3.83,9.17,3.02,1.26,0.52,0.62,0.54,1.72,1.29,1.35,0.31,1.94
2/28/2003,0.97,0.59,1.08,0.85,2.11,9.7,2.74,2.21,3.95,8.97,4.15,1.73,0.5,0.85,0.55,1.75,1.08,0.9,0.21,1.62
3/31/2003,2.45,0.78,2.1,1.65,3.61,18.32,5.17,7.76,9.17,17.62,6.74,2.81,0.99,1.38,0.78,2.46,2.54,1.1,0.25,3.8
4/30/2003,0.73,3.04,3.27,2.57,8.21,24.06,6.79,8.04,11.16,25.48,9.82,4.09,1.43,2.01,1.6,5.07,3.25,3.79,0.86,4.88
5/31/2003,0.4,1.43,15.53,12.2,31.09,59.38,16.75,26.38,32.33,53.24,2.79,1.16,3,0.57,2.35,7.45,13.32,4.92,1.12,19.98
6/30/2003,0.14,0.17,17.34,13.62,31.55,32.34,9.12,10.36,19.86,12.73,1.06,0.44,0.72,0.22,0.59,1.86,10.61,0.77,0.17,15.91
7/31/2003,0.06,0.01,5.08,3.99,4.53,5.55,1.56,0.95,1.87,0.49,0.64,0.27,0.03,0.13,0.51,1.61,0.74,0.17,0.04,1.1
8/31/2003,0.04,0,1.38,1.09,2.99,1.65,0.47,0.21,1.42,0,0.41,0.17,0,0.08,0.45,1.42,0.32,0.25,0.06,0.48
9/30/2003,0.01,0,0.68,0.53,1.39,0.98,0.28,0.06,0.05,0,0.29,0.12,0,0.06,0.31,0.98,0.16,0.18,0.04,0.24
10/31/2003,0.03,0.03,0.45,0.36,0.47,1.05,0.3,0,0.87,1.09,0.3,0.12,0.06,0.06,0,0,0,0.07,0.02,0
11/30/2003,0.02,0.06,0.55,0.43,1.28,1.18,0.33,0.38,0.47,0.71,0.89,0.37,0.04,0.18,0,0.01,0.02,0.36,0.08,0.04
12/31/2003,0.97,1.5,1.44,1.13,3.59,2.75,0.78,1.77,4.24,4.95,1.11,0.46,0.28,0.23,0.68,2.14,0.98,1,0.22,1.47
1/31/2004,1.81,2.18,1.2,0.94,2.13,3.93,1.11,1.48,3.13,5.37,2.87,1.2,0.3,0.59,1.19,3.77,0.7,0.95,0.22,1.05
2/29/2004,0.48,3.75,1.12,0.88,3.07,6.1,1.72,1.89,3.73,9.24,7.96,3.31,0.52,1.63,1.37,4.34,0.83,2.45,0.55,1.24
3/31/2004,3.08,1.75,4.7,3.69,8.79,30.64,8.64,12.55,15.15,32.35,6.8,2.83,1.82,1.39,2.03,6.43,4.57,1.84,0.42,6.85
4/30/2004,5.17,0.45,7.17,5.63,17.07,31.45,8.87,17.18,20.86,33.25,2.59,1.08,1.87,0.53,1.65,5.21,6.71,0.58,0.13,10.06
5/31/2004,0.48,0.17,11.41,8.96,22.76,25.04,7.06,12.15,18.59,15.92,1.17,0.49,0.9,0.24,1.37,4.34,9.28,2.26,0.51,13.93
6/30/2004,0.17,0.13,8.61,6.77,12.51,10.24,2.89,1.74,5.75,1.48,0.77,0.32,0.08,0.16,0.77,2.42,2.28,1.17,0.26,3.42
7/31/2004,0.08,0.1,3.22,2.53,4.48,1.31,0.37,0.26,1.59,0,0.39,0.16,0,0.08,0.63,1.98,0.15,0.27,0.06,0.22
8/31/2004,0.03,0.11,0.78,0.61,1.56,0.59,0.17,0.03,0.62,0,0.26,0.11,0,0.05,0.44,1.41,0.09,0,0,0.13
9/30/2004,0.02,0.04,0.39,0.3,0,1.33,0.38,0.3,0.03,0,0.27,0.11,0,0.06,0.36,1.13,0.08,0.01,0,0.12
10/31/2004,0.03,0.16,0.94,0.74,2.91,0.34,0.1,0.99,2.35,0.54,0.62,0.26,0.03,0.13,0.41,1.29,0.63,0.14,0.03,0.94
11/30/2004,0.06,0.29,1.48,1.16,1.81,2.57,0.72,1.43,2.64,1.65,0.92,0.38,0.09,0.19,0.43,1.35,0.78,0.13,0.03,1.17
12/31/2004,0.14,2.81,1.12,0.88,2.96,2.71,0.76,2.27,3.28,3.59,3.27,1.36,0.2,0.67,0.76,2.41,0.67,0.59,0.13,1
1/31/2005,0.14,11.24,1.37,1.08,6.93,5.32,1.5,2.48,4.48,12.73,5.44,2.27,0.72,1.11,1.33,4.21,1.3,3.32,0.75,1.94
2/28/2005,0.74,4.6,1.2,0.94,3.9,11.7,3.3,2.35,4.19,15.16,7.9,3.29,0.85,1.62,1.41,4.47,1.35,3.6,0.81,2.02
3/31/2005,0.33,11.56,2.35,1.85,7.13,22.74,6.41,5.39,9.32,28.14,11.34,4.72,1.58,2.32,2.18,6.92,2.64,4.89,1.11,3.96
4/30/2005,0.15,3.44,4.35,3.42,10.61,37.13,10.47,11.96,15.95,38.79,7.85,3.27,2.18,1.61,1.97,6.24,4.22,3.99,0.9,6.32
5/31/2005,0.09,1.88,24.7,19.41,45.94,121.52,34.27,39.82,52.46,87.85,15.69,6.53,4.95,3.21,0.5,1.59,19.9,2.82,0.64,29.85
6/30/2005,0.03,0.66,21,16.5,42.66,58.48,16.5,19.79,62.02,4.98,1.74,0.72,0.28,0.36,0,0,17.63,0,0,26.45
7/31/2005,0.02,0.27,15.88,12.48,20.35,15.74,4.44,2.66,12.16,0.96,1.12,0.47,0.05,0.23,0.59,1.86,5.74,0.72,0.16,8.6
8/31/2005,0.03,0.17,3.06,2.4,3.82,1.92,0.54,0.35,0.76,2.32,0.68,0.28,0.13,0.14,0.58,1.83,0.08,0.21,0.05,0.12
9/30/2005,0.01,0.03,0.76,0.59,1.66,1.21,0.34,0.09,0,0,0.51,0.21,0,0.1,0.53,1.69,0.02,0.24,0.05,0.03
10/31/2005,0,0.14,0.54,0.43,2.13,0.77,0.22,0.21,2.76,0.81,0.45,0.19,0.05,0.09,0.05,0.17,0.03,0.09,0.02,0.05
11/30/2005,0,0.11,0.92,0.73,1.66,1.32,0.37,0.6,1.27,1.17,2.42,1.01,0.07,0.5,0.54,1.7,0.29,0.16,0.04,0.44
12/31/2005,0.08,4.59,2.86,2.25,12.47,29.45,8.31,10.02,17.94,46.84,6.76,2.81,2.64,1.38,1.18,3.72,3.68,2.31,0.53,5.52
1/31/2006,0.73,8.55,2.43,1.91,6.84,27.09,7.64,5.66,9.37,30.62,7.42,3.09,1.72,1.52,2.15,6.81,2.47,3.64,0.82,3.71
2/28/2006,0.67,2.28,2.27,1.79,4.58,23.59,6.65,9.33,11.23,30.47,9.28,3.86,1.72,1.9,1.44,4.55,3.21,2.6,0.59,4.82
3/31/2006,0.2,14.54,2.4,1.89,8.77,21.48,6.06,6.04,8.53,25.58,8.13,3.39,1.44,1.66,1.44,4.56,2.57,10.26,2.33,3.86
4/30/2006,0.09,24.45,5.77,4.53,29.98,47.58,13.42,16.34,20.07,67.98,13.38,5.57,3.83,2.74,3.33,10.55,6.46,11.89,2.7,9.69
5/31/2006,0.04,2.28,26.12,20.52,56.16,118.55,33.44,41.75,52.66,81.57,17.28,7.2,4.59,3.54,0,0,21.53,4.49,1.02,32.29
6/30/2006,0.02,0.82,25.31,19.89,42.93,56.46,15.93,18.68,37.69,13.07,1.39,0.58,0.74,0.28,0,0,17.4,1.02,0.23,26.1
7/31/2006,0.03,0.36,13.2,10.37,15.23,13.4,3.78,1.67,4.8,4.05,1.11,0.46,0.23,0.23,0.36,1.13,2.95,0.22,0.05,4.42
8/31/2006,0.01,0.15,2.44,1.92,5.47,2.63,0.74,0.17,1.5,1.25,0.71,0.3,0.07,0.15,0.16,0.52,0.22,0,0,0.33
9/30/2006,0.01,0.11,0.94,0.74,3.94,0.57,0.16,0.11,0,0.8,0.43,0.18,0.04,0.09,0.1,0.3,0.12,0,0,0.17
10/31/2006,0,0.15,0.81,0.64,2.26,1,0.28,0.03,0.9,1.09,0.48,0.2,0.06,0.1,0.44,1.39,0.14,0.02,0,0.21
11/30/2006,0,0.27,1.07,0.84,1.11,2.52,0.71,1.02,1.12,1.98,0.82,0.34,0.11,0.17,0.48,1.51,0.3,0.04,0.01,0.45
12/31/2006,0.04,0.67,0.82,0.64,1.98,1.93,0.54,1.33,2.62,3.77,1.16,0.48,0.21,0.24,0.61,1.92,0.45,0.05,0.01,0.68
1/31/2007,0.14,0.65,0.74,0.58,1.23,3.26,0.92,1.36,2.24,4.31,2.73,1.14,0.24,0.56,0.52,1.65,0.59,0.13,0.03,0.89
2/28/2007,0.48,3.49,0.99,0.78,3.49,6.09,1.72,2.72,5.02,10.78,4.89,2.04,0.61,1,0.48,1.53,1.01,0.64,0.14,1.51
3/31/2007,0.88,1.54,2.79,2.19,7.23,16.17,4.56,9.1,8.66,22.82,4.15,1.73,1.28,0.85,0.99,3.13,3.09,1.16,0.26,4.64
4/30/2007,0.14,0.71,5.11,4.01,13.94,17.88,5.04,15,11.55,20.6,2.42,1.01,1.16,0.5,0.84,2.65,5.25,0.47,0.1,7.87
5/31/2007,0.13,0.41,9.07,7.13,21.29,17.93,5.06,9.21,13.59,12.16,1.22,0.51,0.68,0.25,0.83,2.64,7.03,0.26,0.06,10.54
6/30/2007,0.02,0.14,4.2,3.3,8.09,4.27,1.2,0.77,2.87,2.31,0.74,0.31,0.13,0.15,0.51,1.61,0.93,0.2,0.05,1.39
7/31/2007,0.01,0.1,1.06,0.83,1.46,1.86,0.52,0.24,1.49,1.31,0.4,0.17,0.07,0.08,0.28,0.9,0.07,0.07,0.01,0.11
8/31/2007,0.02,0.14,0.49,0.38,0.73,1.37,0.39,0.16,0.93,0.9,0.27,0.11,0.05,0.06,0.22,0.69,0.09,0.07,0.01,0.14
9/30/2007,0.02,0.05,0.37,0.29,0.46,0.86,0.24,0.08,0.33,0.96,0.25,0.1,0.05,0.05,0.32,1.02,0.1,0.15,0.03,0.15
10/31/2007,0.02,0.01,0.43,0.34,1.54,0.18,0.05,0.18,1.05,1.02,0.31,0.13,0.06,0.06,0.3,0.95,0.17,0,0,0.25
11/30/2007,0,0.02,0.41,0.32,0.28,1.17,0.33,0.38,0.62,0.52,0.32,0.13,0.03,0.07,0.44,1.38,0.06,0,0,0.09
12/31/2007,0.11,0.36,0.48,0.38,1.34,0.82,0.23,0.75,1.32,1.14,0.49,0.2,0.06,0.1,0.3,0.96,0.15,0.14,3.00E-02,0.22
1/31/2008,0.91,3.45,0.65,0.51,2.92,0.54,0.15,1.2,2.95,2.74,0.88,0.37,0.15,0.18,0.51,1.61,0.47,0.55,0.13,0.71
2/29/2008,0.61,3.16,0.74,0.58,2.26,2.29,0.65,1.77,2.33,4.38,2.74,1.14,0.25,0.56,0.55,1.74,0.68,0.77,0.17,1.02
3/31/2008,0.78,0.94,1.76,1.38,3.26,12.03,3.39,3.62,5.7,12.7,5.84,2.43,0.72,1.2,0.76,2.42,2.07,0.96,0.22,3.11
4/30/2008,0.81,0.43,4.4,3.46,8.63,26.21,7.39,12.92,13.65,23.78,4.3,1.79,1.34,0.88,0.99,3.15,4.96,0,0,7.43
5/31/2008,0.31,0.18,12.03,9.45,24.87,34.23,9.66,17.85,22.33,28.17,1.42,0.59,1.59,0.29,1.25,3.97,10.05,0,0,15.07
6/30/2008,0.12,0.12,9.66,7.59,17.2,14.33,4.04,3.71,8.49,4.8,0.89,0.37,0.27,0.18,0.72,2.29,4.67,0,0,7.01
7/31/2008,0.06,0.15,2.89,2.27,3.46,2.85,0.8,0.27,1.78,1.64,0.36,0.15,0.09,0.07,0.55,1.73,0.3,0.07,0.02,0.45
8/31/2008,0.02,0.05,0.61,0.48,1.27,0.73,0.21,0,0.54,1.2,0.21,0.09,0.07,0.04,0.44,1.41,0.03,0.02,0.01,0.04
9/30/2008,0.01,0.03,0.26,0.2,0.89,0.33,0.09,0.08,1.16,1.25,0.23,0.1,0.07,0.05,0.35,1.09,0.09,0,0,0.14
10/31/2008,0.02,0,0.55,0.43,0.47,0.94,0.26,0.09,0.88,1.58,0.25,0.1,0.09,0.05,0.39,1.24,0.2,0,0,0.3
11/30/2008,0.21,0,3.01,2.36,2.77,2.25,0.64,0.94,2.96,2.54,0.55,0.23,0.14,0.11,0.37,1.16,1.68,0.15,0.03,2.53
12/31/2008,1.87,0.2,0.9,0.71,1.28,1.35,0.38,1.11,2.25,1.95,1.46,0.61,0.11,0.3,0.26,0.82,0.34,0.25,0.05,0.51
1/31/2009,0.77,0.66,1.67,1.31,3.26,6.3,1.78,2.66,4.85,8.34,2.55,1.06,0.47,0.52,0.35,1.12,1.75,1.03,0.23,2.63
2/28/2009,1.19,2.26,1.5,1.18,2.87,9.09,2.56,3.2,4.85,10.59,6.63,2.76,0.6,1.36,0.65,2.05,1.43,1.39,0.31,2.14
3/31/2009,4.71,4.16,2.8,2.2,6.76,25.76,7.27,8.41,10.68,30.06,8.73,3.64,1.69,1.79,1.43,4.53,3.13,4.57,1.03,4.7
4/30/2009,0.85,0.67,7.24,5.69,11.41,40.26,11.35,17.05,18.78,34.91,5.44,2.27,1.97,1.11,1.15,3.64,6.2,0,0,9.3
5/31/2009,0.37,0.6,19.91,15.64,40.24,66.27,18.69,27.95,36.42,48.51,3.39,1.41,2.73,0.69,0.11,0.33,16.9,0.69,0.16,25.36
6/30/2009,0.23,0.1,11.83,9.3,17.72,17.08,4.82,3.73,9.37,3.65,1.07,0.45,0.21,0.22,0.47,1.48,5.14,0.32,0.07,7.72
7/31/2009,0.07,0.03,5.3,4.17,6.07,3.93,1.11,0.34,1.35,0.51,0.52,0.22,0.03,0.11,0.2,0.63,0.43,0.15,0.03,0.64
8/31/2009,0.03,0.11,1.16,0.91,1.96,1.57,0.44,0.05,1.19,0.16,0.33,0.14,0.01,0.07,0.12,0.38,0.19,0.08,0.02,0.29
9/30/2009,0.02,0.08,0.55,0.43,1.04,0.79,0.22,0,0.43,0,0.23,0.1,0,0.05,0.08,0.26,0.01,0.07,0.02,0.01
10/31/2009,0.05,0.08,2.34,1.84,2.85,1.83,0.52,0.77,1.84,1.49,0.51,0.21,0.08,0.1,0.09,0.28,0.78,0.27,0.06,1.17
11/30/2009,0.03,0,0.75,0.59,0.74,2.02,0.57,0.71,0.83,0.33,0.44,0.18,0.02,0.09,0.01,0.03,0.01,0.16,0.04,0.02
12/31/2009,0.02,0.54,0.83,0.65,1.59,2.02,0.57,1.04,2.06,2.98,0.85,0.35,0.17,0.17,0.53,1.69,0.2,0.6,0.14,0.29
1/31/2010,0.14,4.28,1.05,0.82,3.28,2.77,0.78,1.66,4.19,4.97,1.83,0.76,0.28,0.37,0.49,1.56,0.62,0.89,0.2,0.93
2/28/2010,0.08,2.86,1.04,0.82,2.54,5.36,1.51,1.76,3.03,6.97,3.53,1.47,0.39,0.72,0.45,1.43,0.73,2.15,0.49,1.09
3/31/2010,0.58,3.67,1.92,1.51,3.65,13.83,3.9,3.77,6.4,14.59,7.53,3.14,0.82,1.54,0.57,1.82,1.66,1.91,0.43,2.49
4/30/2010,0.73,3.81,4.06,3.19,7.96,29.89,8.43,10.62,14,29.42,10.76,4.48,1.66,2.2,1.05,3.32,3.73,2.03,0.46,5.59
5/31/2010,0.1,1.48,9.95,7.82,21.24,52.27,14.74,22.35,24.86,51.25,6.25,2.6,2.89,1.28,0.46,1.47,8.22,1.63,0.37,12.33
6/30/2010,0.04,0.56,23.52,18.48,42.2,62.81,17.72,23.34,34.65,39.19,1.24,0.52,2.21,0.25,0,0,17.85,6.26,1.42,26.77
7/31/2010,0.04,0.26,9.27,7.28,14.79,10.2,2.88,1.56,4.25,2.96,0.93,0.39,0.17,0.19,0.77,2.45,2.61,0.56,0.13,3.91
8/31/2010,0.03,0.09,1.89,1.49,2.4,2.21,0.62,0.05,0,0.07,0.47,0.2,0,0.1,0.35,1.1,0.04,0.19,0.04,0.06
9/30/2010,0.06,0.06,0.72,0.57,1.59,0.89,0.25,0.08,0,0.14,0.51,0.21,0.01,0.1,0.32,1.02,0.02,0.2,0.05,0.03
10/31/2010,0.03,0.11,4.43,3.48,5.51,3.96,1.12,3.8,6.65,4.01,0.73,0.3,0.23,0.15,0.43,1.35,2.14,0.39,0.09,3.21
11/30/2010,0.06,0.99,2.06,1.62,3.18,4.25,1.2,2.53,3.53,3.55,4.96,2.07,0.2,1.02,0.23,0.72,1.08,0.6,0.13,1.62
12/31/2010,0.95,8.82,2.6,2.05,9.99,24.99,7.05,6.11,9.84,31.34,7.74,3.22,1.76,1.58,0,0,2.58,4.39,1,3.87
1/31/2011,0.19,3.66,1.84,1.45,3.98,11.87,3.35,3.73,5.3,19.54,4.69,1.95,1.1,0.96,1.67,5.29,1.8,1.87,0.42,2.7
2/28/2011,0.1,5.63,1.63,1.28,3.24,9.59,2.7,3.13,6.18,11.92,8.59,3.58,0.67,1.76,1.66,5.27,1.38,1.03,0.23,2.07
3/31/2011,0.1,22.25,2.02,1.58,11.33,42.29,11.93,5.44,8.74,40.16,18.77,7.82,2.26,3.84,0,0,2.38,8.61,1.95,3.56
4/30/2011,0.1,4,5.97,4.69,18.3,55.04,15.52,16.47,18.15,59.14,15.09,6.28,3.33,3.09,2.92,9.24,5.86,8.55,1.94,8.79
5/31/2011,0.05,1.76,12.77,10.03,32.33,72.52,20.46,27.85,32.19,65.65,10.42,4.34,3.7,2.13,3.42,10.83,11.51,5.43,1.23,17.26
6/30/2011,0.04,1.08,25.25,19.84,54.26,89.57,25.26,37.5,31.16,86.16,6.55,2.73,4.85,1.34,2.24,7.08,20.84,12.91,2.93,31.26
7/31/2011,0.04,0.34,21.38,16.8,36.4,40.1,11.31,12.54,13.75,25.23,1.26,0.52,1.42,0.26,0.2,0.63,11.12,4.89,1.11,16.68
