,11317000,11318500,11315000,MKM,EBMUD_11319500,11319500,11313500,SS_HIST_EVAP,11315600,11315400,PGE_OLD_RES,11315900,11314500,11314000,11315030,LB_HIST_EVAP,11315000,NOTE: I have put the output of the excel sheet into 11315000 because I haven't matched the excel errors in python.
2/28/1941,8.141752066,13.75100826,2.749090909,69.40571074,69.40571074,,0.449,0.04,0,-901,7.904,-901,14.18975207,13.32892562,-901,0,2.75,
3/31/1941,11.87940496,16.23272727,4.254942149,96.8083719,96.8083719,,1.111,0,0,-901,7.943,-901,21.9941157,1.352727273,-901,0,4.25,
4/30/1941,10.3477686,14.12628099,6.402644628,107.2563471,107.2563471,,35.159,0.01,0,-901,10.04,-901,0.18446281,1.547107438,-901,0,6.4,
5/31/1941,8.55907438,8.688198347,25.33904132,285.832314,285.832314,,106.442,0.26,0,-901,21.06,-901,86.57454545,1.10677686,-901,0,25.34,
6/30/1941,2.653884298,3.21322314,12.84694215,166.8915289,166.8915289,,129.822,0.47,0,-901,25.367,-901,77.83140496,13.56694215,-901,0,12.85,
7/31/1941,1.697057851,1.617123967,1.352727273,34.76130579,34.76130579,,122.731,0.77,0,-901,22.648,-901,4.943603306,27.42347107,-901,0,1.35,
8/31/1941,0.372614876,0.940760331,0.055707769,4.637727273,4.637727273,,106.7,0.61,0,-901,8.446,-901,0.836231405,28.65322314,-901,0,0.06,
9/30/1941,0.455206612,0.815206612,0.013864463,3.492173554,3.492173554,,82.616,0.52,0,-901,4.178,-901,0.642644628,24.39669421,-901,0,0.01,
10/31/1941,0.425494215,0.842380165,0.016847603,4.19131405,4.19131405,,52.888,0.28,0,-901,4.178,-901,0.301904132,30.55933884,-901,0,0.02,
11/30/1941,0.755702479,0.934214876,0.666446281,11.72580992,11.72580992,,31.988,0.12,0,-901,4.178,-901,0.146975207,26.30082645,-901,0,0.67,
12/31/1941,3.209652893,3.621619835,4.328727273,66.45545455,66.45545455,,51.828,0.03,0,-901,6.635,-901,0.598889256,14.20363636,-901,0,4.33,
1/31/1942,10.11471074,14.63404959,3.16661157,97.06213223,97.06213223,,59.041,0.09,0,-901,9.197,-901,5.804429752,15.43338843,-901,0,3.17,
2/28/1942,11.85719008,14.03424793,1.777190083,76.10601653,76.10601653,,30.525,0.1,0,-901,5.996,-901,39.4425124,6.55338843,-901,0,1.78,
3/31/1942,6.148760331,8.104066116,2.299636364,60.90219835,60.90219835,,24.326,0.15,0,-901,5.801,-901,10.13930579,16.35570248,-901,0,2.3,
4/30/1942,12.81123967,16.92892562,9.00892562,153.3242149,153.3242149,,57.579,0.14,0,-901,13.387,-901,17.48826446,8.925619835,-901,0,9.01,
5/31/1942,12.88780165,15.16284298,16.06056198,221.3897107,221.3897107,,78.415,0.29,0,-901,20.071,-901,83.06975207,0.983801653,-901,0,16.06,
6/30/1942,6.003966942,6.075371901,20.23735537,241.0781818,241.0781818,,130.009,0.53,0,-901,25.089,-901,100.8595041,0.178512397,-901,0,20.24,
7/31/1942,1.961454545,2.582479339,2.268892562,51.96090083,51.96090083,,120.738,0.77,0,-901,23.166,-901,14.31431405,30.43636364,-901,0,2.27,
8/31/1942,1.039140496,1.401917355,0.02976,8.196603306,8.196603306,,104.469,0.73,0,-901,10.605,-901,0.719404959,29.51404959,-901,0,0.03,
9/30/1942,0.672396694,1.041322314,0.009699174,4.170752066,4.170752066,,78.112,0.53,0,-901,8.129,-901,0.449256198,26.53884298,-901,0,0.01,
10/31/1942,0.645619835,0.916165289,-901,3.573520661,3.573520661,,50.841,0.32,0,-901,5.595,-901,0.255173554,28.34578512,-901,0,0.11,
11/30/1942,3.96892562,3.129917355,-901,35.214,35.214,,42.113,0.15,0,-901,5.728,-901,0.153520661,19.9338843,-901,0,2.01,
12/31/1942,3.553983471,4.181157025,-901,52.82552893,52.82552893,,43.857,0.09,0,-901,8.512,-901,0.156178512,15.37190083,-901,0,3.25,
1/31/1943,12.02082645,16.82300826,-901,107.0813802,107.0813802,,57.25,0.08,0,-901,8.727,-901,0.425494215,11.49818182,-901,0,4.43,
2/28/1943,9.891173554,11.55173554,-901,76.40336364,76.40336364,,69.194,0.08,0,-901,7.378,-901,0.303233058,6.275702479,-901,0,3.14,
3/31/1943,24.09084298,30.0858843,-901,192.3934793,192.3934793,,92.984,0.21,0,-901,8.531,-901,15.10135537,2.951404959,-901,0,9.67,
4/30/1943,10.37752066,11.37719008,-901,184.4291736,184.4291736,,101.668,0.35,0,-901,14.708,-901,65.63305785,11.18677686,-901,0,13.15,
5/31/1943,5.447801653,5.706049587,-901,208.4400579,208.4400579,,131.036,0.5,0,-901,23.575,-901,96.28958678,0.252099174,-901,0,15.83,
6/30/1943,2.850247934,3.177520661,-901,113.8097686,113.8097686,,129.636,0.63,0,-901,24.971,-901,68.25123967,3.451239669,-901,0,7.54,
7/31/1943,1.420363636,1.697057851,-901,25.94900826,25.94900826,,122.46,0.84,0,-901,21.172,-901,0.509732231,24.65652893,-901,0,1.06,
8/31/1943,0.971504132,0.965355372,-901,7.027140496,7.027140496,,106.959,0.82,0,-901,9.194,-901,0.441480992,25.33289256,-901,0,0.09,
9/30/1943,0.672396694,0.684297521,-901,3.378438017,3.378438017,,81.616,0.65,0,-901,5.204,-901,0.266578512,25.1107438,-901,0,0.04,
10/31/1943,2.084429752,0.836231405,0.00614876,5.682099174,5.682099174,,53.202,0.25,0,-901,4.86,-901,0.150644628,28.77619835,-901,0,0.01,
11/30/1943,0.797355372,1.047272727,0.011900826,4.558297521,4.558297521,,25.848,0.11,0,-901,4.643,-901,0.091041322,28.02644628,-901,0,0.01,
12/31/1943,1.076033058,1.285090909,0.122975207,8.556297521,8.556297521,,15.034,0.03,0,-901,5.138,-901,0.04464,12.23603306,-901,0,0.12,
1/31/1944,1.844628099,2.121322314,0.307438017,13.03395041,13.03395041,,5.513,0.04,0,-901,4.178,-901,0.057490909,12.85090909,-901,0,0.31,
2/29/1944,2.743735537,3.589289256,0.460165289,23.08067769,23.08067769,,5.172,0.03,0,-901,4.668,-901,0.052343802,6.097190083,-901,0,0.46,
3/31/1944,4.568528926,6.265586777,2.152066116,46.74559504,46.74559504,,9.228,0.065,0,-901,6.161,-901,0.114981818,10.57586777,-901,0,2.15,
4/30/1944,4.165289256,5.135206612,4.617520661,66.8367438,66.8367438,,17.614,0.15,0,-901,13.128,-901,0.092231405,18.38677686,-901,0,4.62,
5/31/1944,4.734545455,5.712198347,17.25957025,189.0843554,189.0843554,,112.006,0.31,0,-901,21.333,-901,7.310876033,2.643966942,-901,0,17.26,
6/30/1944,1.951735537,1.939834711,5.765950413,79.81389256,79.81389256,,128.799,0.74,0,-901,24.242,-901,10.84760331,21.36198347,-901,0,5.77,
7/31/1944,0.470380165,0.836231405,0.317890909,12.11282645,12.11282645,,122.46,0.76,0,-901,9.985,-901,1.813884298,24.1031405,-901,0,0.32,
8/31/1944,0.257018182,0.538631405,0.021643636,2.974677686,2.974677686,,95.348,0.7,0,-901,7.48,-901,1.11292562,28.28429752,-901,0,0.02,
9/30/1944,0.243371901,0.437355372,0.010710744,0.691231405,0.691231405,,65.919,0.47,0,-901,6.656,-901,0.73785124,29.87107438,-901,0,0.01,
10/31/1944,0.518955372,0.676363636,0.195530579,2.313801653,2.313801653,,36.454,0.26,0,-901,6.277,-901,0.289606612,30.06743802,-901,0,0.2,
11/30/1944,2.338512397,3.201322314,2.165950413,33.7852314,33.7852314,,26.074,0.08,0,-901,7.88,-901,3.314380165,20.94545455,-901,0,2.17,
12/31/1944,2.133619835,2.853024793,2.176661157,34.94507438,34.94507438,,10.818,0.07,0,-901,10.555,-901,6.234842975,21.70512397,-901,0,2.18,
1/31/1945,1.943008264,2.514842975,1.537190083,27.57281818,27.57281818,,0,0.03,0,-901,10.465,-901,1.838479339,19.24561983,-901,0,1.54,
2/28/1945,11.91828099,18.48833058,4.909487603,112.6609256,112.6609256,,19.13,0.05,0,-901,9.154,-901,11.30181818,0.777520661,-901,0,4.91,
3/31/1945,6.573024793,8.768132231,2.072132231,56.2918595,56.2918595,,23.93,0.08,0,-901,11.514,-901,0.194300826,10.32991736,-901,0,2.07,
4/30/1945,7.598677686,9.52661157,9.699173554,123.004281,123.004281,,59.712,0.29,0,-901,14.211,-901,7.313057851,10.23471074,-901,0,9.7,
5/31/1945,5.220297521,5.374016529,17.63464463,208.7516281,208.7516281,,114.112,0.3,0,-901,23.896,-901,64.25454545,0,-901,0,17.63,
6/30/1945,2.380165289,2.534876033,10.44892562,148.9165207,148.9165207,,129.822,0.63,0,-901,25.281,-901,74.32066116,12.7338843,-901,0,10.45,
7/31/1945,0.953057851,1.211305785,0.502968595,23.56029752,23.56029752,,120.648,0.88,0,-901,16.305,-901,1.703206612,31.6661157,-901,0,0.5,
8/31/1945,0.36277686,0.762446281,0.013896198,5.567710744,5.567710744,,96.911,0.75,0,-901,9.458,-901,0.744,31.6046281,-901,0,0.01,
9/30/1945,0.246942149,0.660495868,0.007140496,2.457958678,2.457958678,,67.691,0.59,0,-901,8.838,-901,0.371305785,29.87107438,-901,0,0.01,
10/31/1945,0.549084298,1.137520661,0.725553719,9.130289256,9.130289256,,42.32,0.25,0,-901,8.78,-901,0.180773554,30.06743802,-901,0,0.73,
11/30/1945,1.588760331,2.380165289,1.713719008,35.62282645,35.62282645,,39.535,0.08,0,-901,10.5,-901,0.179702479,21.48099174,-901,0,1.71,
12/31/1945,10.18849587,13.04766942,3.504793388,84.3416281,84.3416281,,16.635,0.04,0,-901,10.772,-901,34.23629752,16.23272727,-901,0,3.5,
1/31/1946,6.966545455,7.895008264,1.721652893,60.55969421,60.55969421,,0.355,0.03,0,-901,8.349,-901,31.92436364,0.614876033,-901,0,1.72,
2/28/1946,3.537719008,4.448528926,1.371768595,32.96409917,32.96409917,,0.936,0.003,0,-901,5.348,-901,4.559603306,4.942809917,-901,0,1.37,
3/31/1946,7.052628099,8.288528926,3.959801653,75.28455372,75.28455372,,14.014,0.05,0,-901,11.585,-901,0.805487603,10.63735537,-901,0,3.96,
4/30/1946,8.324628099,9.443305785,12.66247934,153.4666446,153.4666446,,78.415,0.28,0,-901,18.108,-901,0.880661157,3.21322314,-901,0,12.66,
5/31/1946,4.882115702,4.875966942,19.23947107,207.4871736,207.4871736,,130.102,0.52,0,-901,24.157,-901,72.00198347,0,-901,0,19.24,
6/30/1946,1.749421488,2.189752066,5.063801653,80.4214876,80.4214876,,128.242,0.7,0,-901,25.351,-901,56.58842975,0.654545455,-901,0,5.06,
7/31/1946,0.842380165,1.266644628,0.196145455,10.40684298,10.40684298,,115.452,0.79,0,-901,13.313,-901,2.754644628,26.50115702,-901,0,0.2,
8/31/1946,0.409507438,0.744,0.021828099,2.345603306,2.345603306,,89.844,0.81,0,-901,9.564,-901,0.55646281,29.32958678,-901,0,0.02,
9/30/1946,0.32846281,0.618842975,0.00892562,1.695421488,1.695421488,,61.339,0.53,0,-901,8.948,-901,0.294545455,28.9785124,-901,0,0.01,
10/31/1946,1.684760331,0.92231405,0.02361124,5.117347107,5.117347107,,37.374,0.21,0,-901,5.078,-901,0.194915702,25.45586777,-901,0,0.02,
11/30/1946,2.154049587,2.766942149,0.525421488,18.75134711,18.75134711,,28.76,0,0,-901,4.302,-901,0.170181818,15.29256198,-901,0,0.53,
12/31/1946,1.838479339,2.60707438,1.192859504,19.70328926,19.70328926,,15.284,0,0,-901,4.333,-901,0.328958678,20.22942149,-901,0,1.19,
1/31/1947,1.180561983,1.893818182,0.897719008,12.7498595,12.7498595,,5.083,0,0,-901,4.426,-901,0.170935537,15.24892562,-901,0,0.9,
2/28/1947,2.621355372,3.643239669,1.643900826,31.18719008,31.18719008,,4.537,0.03,0,-901,7.995,-901,0.191603306,11.10743802,-901,0,1.64,
3/31/1947,3.455603306,6.51768595,3.615471074,57.6592314,57.6592314,,19.05,0.09,0,-901,11.329,-901,0.214591736,6.70214876,-901,0,3.62,
4/30/1947,2.969256198,4.403305785,8.140165289,91.26838843,91.26838843,,61.339,0.27,0,-901,17.346,-901,0.214809917,1.963636364,-901,0,8.14,
5/31/1947,1.155966942,1.67246281,10.96938843,130.7329256,130.7329256,,137.95,0.61,0,-901,23.808,-901,2.908363636,7.132561983,-901,0,10.97,
6/30/1947,0.564694215,1.166280992,1.481652893,29.22755372,29.22755372,,134.991,0.59,0,-901,23.809,-901,4.081983471,19.87438017,-901,0,1.48,
7/31/1947,0.290221488,0.58597686,0.048206281,2.58153719,2.58153719,,118.666,0.83,0,-901,10.216,-901,1.100628099,29.02214876,-901,0,0.05,
8/31/1947,0.164786777,0.450704132,0.007317025,1.442090909,1.442090909,,89.285,0.76,0,-901,9.436,-901,0.965355372,29.63702479,-901,0,0.01,
9/30/1947,0.183272727,0.307636364,0.008509091,0,-0.145909091,,63.472,0.48,0,-901,4.798,-901,0.552198347,26.53884298,-901,0,0.01,
10/31/1947,1.371173554,1.032991736,1.242049587,15.05076033,15.05076033,,45.292,0.28,0,-901,4.524,-901,0.55031405,23.05785124,-901,0,1.24,
11/30/1947,0.559933884,1.112727273,1.07107438,12.75389256,12.75389256,,25.127,0.12,0,-901,6.959,-901,0.185652893,24.81322314,-901,0,1.07,
12/31/1947,0.463001653,0.971504132,0.509117355,8.849842975,8.849842975,,9.695,0.06,0,-901,8.395,-901,0.169090909,18.99966942,-901,0,0.51,
1/31/1948,1.032991736,1.506446281,3.277289256,28.7444876,28.7444876,,7.92,0.08,0,-901,6.638,-901,0.262552066,13.28132231,-901,0,3.28,
2/29/1948,1.156165289,1.501289256,1.156165289,15.15884298,15.15884298,,7.162,0.04,0,-901,1.211,-901,0.296231405,9.663471074,-901,0,1.16,
3/31/1948,2.477950413,4.261090909,1.49414876,29.81931405,29.81931405,,12.921,0.06,0,-901,1.732,-901,0.29452562,3.689256198,-901,0,1.49,
4/30/1948,9.074380165,12.28165289,4.849586777,106.9659174,106.9659174,,51.704,0.12,0,-901,5.257,-901,0.375471074,1.368595041,-901,0,4.85,
5/31/1948,9.186247934,10.62505785,15.83305785,206.3808099,206.3808099,,127.507,0.34,0,-901,17,-901,21.34849587,0.860826446,-901,0,15.83,
6/30/1948,4.278347107,4.444958678,16.51834711,185.0243967,185.0243967,,139.764,0.53,0,-901,24.01,-901,85.15041322,14.2214876,-901,0,16.52,
7/31/1948,0.891570248,1.586380165,0.842380165,25.1276281,25.1276281,,134.329,0.85,0,-901,23.106,-901,3.492495868,17.46247934,-901,0,0.84,
8/31/1948,0.445170248,0.897719008,0.025578843,4.750347107,4.750347107,,119.746,0.76,0,-901,8.703,-901,1.199008264,26.1322314,-901,0,0.03,
9/30/1948,0.217190083,0.540297521,0.006366942,2.772297521,2.772297521,,92.174,0.6,0,-901,7.065,-901,0.874710744,28.6214876,-901,0,0.01,
10/31/1948,0.288991736,0.676363636,0.004734545,2.320115702,2.320115702,,61.135,0.3,0,-901,6.678,-901,0.633322314,31.85057851,-901,0,0,
11/30/1948,0.392727273,0.809256198,0.146380165,4.896082645,4.896082645,,34.902,0.13,0,-901,6.833,-901,0.257652893,27.43140496,-901,0,0.15,
12/31/1948,0.774743802,1.49414876,0.132813223,7.915975207,7.915975207,,15.862,0.08,0,-901,5.334,-901,0.298214876,20.35239669,-901,0,0.13,
1/31/1949,0.73785124,1.235900826,0.21397686,6.859652893,6.859652893,,7.29,0.05,0,-901,4.134,-901,0.240416529,9.592066116,-901,0,0.21,
2/28/1949,1.338446281,2.249256198,0.298234711,8.712826446,8.712826446,,3.733,0.04,0,-901,4.134,-901,0.235477686,3.943140496,-901,0,0.3,
3/31/1949,6.031933884,8.497586777,0.539861157,45.88609917,45.88609917,,3.975,0.04,0,-901,4.134,-901,0.333877686,13.58876033,-901,0,0.54,
4/30/1949,7.116694215,9.663471074,10.00264463,151.0308595,151.0308595,,37.083,0.2,0,-901,14.949,-901,28.09190083,7.73553719,-901,0,10,
5/31/1949,5.816727273,6.788231405,17.46247934,204.5777438,204.5777438,,138.612,0.34,0,-901,23.49,-901,6.917355372,0.614876033,-901,0,17.46,
6/30/1949,1.802975207,2.225454545,5.20661157,78.36756198,78.36756198,,139.764,0.79,0,-901,25.751,-901,29.46049587,18.86280992,-901,0,5.21,
7/31/1949,0.464846281,0.971504132,0.121745455,5.081619835,5.081619835,,128.15,0.89,0,-901,10.625,-901,0.780892562,26.31669421,-901,0,0.12,
8/31/1949,0.281613223,0.590280992,0.009530579,3.506727273,3.506727273,,102.09,0.67,0,-901,7.909,-901,0.657917355,29.57553719,-901,0,0.01,
9/30/1949,0.293355372,0.500429752,0.004165289,1.837355372,1.837355372,,74.006,0.57,0,-901,7.307,-901,0.511140496,28.56198347,-901,0,0,
10/31/1949,0.263166942,0.621024793,0.00614876,1.835363636,1.835363636,,44.542,0.3,0,-901,6.87,-901,0.48513719,30.19041322,-901,0,0.01,
11/30/1949,0.509950413,1.005619835,0.109487603,4.535743802,4.535743802,,24.948,0.18,0,-901,6.3,-901,0.303471074,20.70743802,-901,0,0.11,
12/31/1949,0.522644628,0.92231405,0.07747438,5.232165289,5.232165289,,16.897,0.07,0,-901,5.072,-901,0.338181818,8.731239669,-901,0,0.08,
1/31/1950,3.314181818,4.820628099,1.654016529,36.57569421,36.57569421,,14.432,0.05,0,-901,6.6,-901,0.427338843,12.78942149,-901,0,1.65,
2/28/1950,7.008793388,9.163636364,2.249256198,60.29665289,60.29665289,,19.169,0.06,0,-901,7,-901,6.925487603,4.998347107,-901,0,2.25,
3/31/1950,6.898909091,8.184,3.055933884,70.19279339,70.19279339,,24.548,0.11,0,-901,7.778,-901,0.379993388,15.49487603,-901,0,3.06,
4/30/1950,12.50181818,14.99504132,10.96066116,173.8539917,173.8539917,,88.728,0.4,0,-901,15.225,-901,0.593256198,1.249586777,-901,0,10.96,
5/31/1950,6.542280992,6.794380165,21.42842975,228.3647851,228.3647851,,136.51,0.61,0,-901,24.342,-901,67.88231405,7.317024793,-901,0,21.43,
6/30/1950,2.731239669,2.469421488,12.62082645,150.1104545,150.1104545,,139.956,0.62,0,-901,25.751,-901,73.42809917,26.12231405,-901,0,12.62,
7/31/1950,0.989950413,1.469553719,0.731702479,21.37461157,21.37461157,,132.443,0.94,0,-901,20.089,-901,2.687008264,21.95107438,-901,0,0.73,
8/31/1950,0.275464463,0.682512397,0.018815207,3.347760331,3.347760331,,116.43,0.87,0,-901,6.552,-901,1.014545455,28.53024793,-901,0,0.02,
9/30/1950,0.417719008,0.522446281,0.008152066,3.776677686,3.776677686,,93.39,0.48,0,-901,1.919,-901,0.660495868,26.71735537,-901,0,0.01,
10/31/1950,0.959206612,1.260495868,0.273004959,9.616595041,9.616595041,,68.979,0.29,0,-901,1.206,-901,0.651768595,28.83768595,-901,0,0.27,
11/30/1950,13.24561983,16.06016529,21.87966942,270.4780331,270.4780331,,129.542,0.23,0,-901,15.122,-901,47.7461157,17.13719008,-901,0,21.88,
12/31/1950,22.62743802,25.88013223,16.77381818,264.5022645,264.5022645,,123.006,0.14,0,-901,16.122,-901,85.4677686,19.18413223,-901,0,16.77,
1/31/1951,11.52277686,13.43504132,3.080528926,93.37222314,93.37222314,,104.879,0.14,0,-901,16.122,-901,17.8867438,22.93487603,-901,0,3.08,
2/28/1951,9.535735537,10.48542149,2.810181818,83.66436364,83.66436364,,95.021,0.13,0,-901,17.122,-901,12.58472727,18.82710744,-901,0,2.81,
3/31/1951,9.967140496,12.37130579,3.566280992,88.80400826,88.80400826,,81.078,0.34,0,-901,17.122,-901,14.0745124,22.13553719,-901,0,3.57,
4/30/1951,6.355041322,7.188099174,9.621818182,121.937843,121.937843,,109.891,0.34,0,-901,17.654,-901,18.07140496,8.628099174,-901,0,9.62,
5/31/1951,6.394710744,7.409256198,11.44284298,156.7494876,156.7494876,,138.996,0.52,0,-901,24.647,-901,38.76178512,15.18743802,-901,0,11.44,
6/30/1951,2.356363636,3.016859504,2.517024793,59.0431405,59.0431405,,139.764,0.77,0,-901,25.676,-901,14.78677686,23.14710744,-901,0,2.52,
7/31/1951,1.389619835,1.961454545,0.109447934,11.12905785,11.12905785,,129.915,0.89,0,-901,12.276,-901,0.744,25.70181818,-901,0,0.11,
8/31/1951,0.977652893,1.186710744,0.010329917,3.849355372,3.849355372,,104.554,0.79,0,-901,9.427,-901,0.817785124,26.62413223,-901,0,0.01,
9/30/1951,0.519471074,0.73785124,0.005950413,3.234024793,3.234024793,,77.584,0.61,0,-901,8.647,-901,0.696198347,26.9553719,-901,0,0.01,
10/31/1951,0.92846281,1.242049587,0.014265124,3.402471074,3.402471074,,50.534,0.3,0,-901,8.084,-901,0.581057851,27.48495868,-901,0,0.01,
11/30/1951,1.576859504,2.17785124,0.568264463,12.93882645,12.93882645,,27.127,0.11,0,-901,7.086,-901,0.325487603,27.37190083,-901,0,0.57,
12/31/1951,6.941950413,8.712793388,0.860826446,53.27561983,53.27561983,,20.171,0.07,0,-901,2.465,-901,0.350479339,19.43008264,-901,0,0.86,
1/31/1952,10.48978512,15.9498843,0.885421488,80.44164463,80.44164463,,13.979,0.07,0,-901,2.17,-901,2.022942149,16.60165289,-901,0,0.89,
2/29/1952,13.5288595,15.3637686,1.392,91.08355372,91.08355372,,26.897,0.07,0,-901,0,-901,2.910545455,0,-901,0,1.39,
3/31/1952,12.75252893,17.32720661,1.721652893,96.38594215,96.38594215,,30.332,0.11,0,-901,0.023,-901,14.8492562,0,-901,0,1.72,
4/30/1952,23.05190083,26.36033058,11.23438017,230.3339174,230.3339174,,54.339,0.25,0,-901,12.106,-901,51.04859504,0,-901,0,11.23,
5/31/1952,21.6067438,22.62128926,30.4425124,367.935876,367.935876,,99.82,0.48,0,-901,19.985,-901,146.0330579,0,-901,0,30.44,
6/30/1952,8.955371901,7.723636364,23.39702479,268.5556777,268.5556777,,135.465,0.5,0,-901,25.506,-901,124.4231405,6.009917355,-901,0,23.4,
7/31/1952,3.590876033,3.793785124,5.134214876,93.53952066,93.53952066,,139.956,0.77,0,-901,25.676,-901,29.7292562,30.49785124,-901,0,5.13,
8/31/1952,1.567933884,2.219702479,0.199834711,16.24227273,16.24227273,,130.382,0.88,0,-901,8.244,-901,0.713256198,28.59173554,-901,0,0.2,
9/30/1952,1.148429752,1.511404959,0.040879339,9.540272727,9.540272727,,104.043,0.57,0,-901,7.512,-901,0.540297521,28.20495868,-901,0,0.04,
10/31/1952,0.725553719,1.451107438,0.010329917,6.319694215,6.319694215,,73.71,0.35,0,-901,6.723,-901,0.603808264,30.12892562,-901,0,0.01,
11/30/1952,1.386446281,1.785123967,0.022790083,8.693768595,8.693768595,,43.744,0.18,0,-901,6.51,-901,0.394512397,30.40661157,-901,0,0.02,
12/31/1952,3.209652893,3.295735537,0.088542149,18.94838843,18.94838843,,20.09,0.09,0,-901,3.66,-901,0.457467769,29.39107438,-901,0,0.09,
1/31/1953,7.532231405,7.858115702,2.674710744,65.15326446,65.15326446,,19.969,0.07,4.257,-901,3.66,-901,0.555847934,21.82809917,-901,0.014,2.67,
2/28/1953,3.398876033,3.621024793,1.588363636,31.97197521,31.97197521,,10.756,0.06,4.405,-901,3.66,-901,0.378208264,23.71438017,-901,0.029,1.59,
3/31/1953,5.134214876,6.191801653,2.920661157,51.5272314,51.5272314,,10.632,0.08,7.509,-901,7.03,-901,0.485752066,19.43008264,-901,0.06,2.92,
4/30/1953,6.593057851,9.145785124,10.96066116,131.2277521,131.2277521,,51.828,0.22,28.089,-901,13.813,-901,3.350082645,19.39834711,-901,0.198,10.96,
5/31/1953,7.335471074,7.403107438,11.5166281,140.597876,140.597876,,89.764,0.47,49.079,-901,18.551,-901,15.15669421,21.39768595,-901,0.421,11.52,
6/30/1953,4.807933884,4.587768595,15.70909091,182.8715702,182.8715702,,139.956,0.57,49.079,-901,25.676,-901,60.87272727,14.45950413,-901,0.47,15.71,
7/31/1953,1.555636364,2.268892562,1.967603306,43.87266942,43.87266942,,131.88,0.85,46.779,-901,23.131,-901,12.72178512,31.5431405,-901,0.645,1.97,
8/31/1953,1.008396694,1.174413223,0.060503802,8.07068595,8.07068595,,126.118,0.83,41.261,-901,3.536,-901,0.860826446,30.31338843,-901,0.621,0.06,
9/30/1953,0.636694215,0.880661157,0.007735537,5.162264463,5.162264463,,106.012,0.58,31.04,-901,0.043,-901,4.665123967,29.39504132,-901,0.41,0.01,
10/31/1953,1.764694215,1.032991736,0.011498182,5.212396694,5.212396694,,81.692,0.35,17.912,-901,0,-901,6.087272727,31.56773554,-901,0.23,0.01,
11/30/1953,1.939834711,1.368595041,0.158280992,9.483917355,9.483917355,,54.531,0.2,14.918,-901,0,-901,2.999008264,29.24628099,-901,0.12,0.16,
12/31/1953,1.211305785,1.660165289,0.700958678,10.72266116,10.72266116,,32.78,0.1,9.225,-901,0,-901,0.49128595,30.71920661,-901,0.06,0.7,
1/31/1954,1.752396694,2.889917355,0.866975207,18.75416529,18.75416529,,9.514,0.07,10.304,-901,2.564,-901,1.063735537,25.98466116,-901,0.052,0.87,
2/28/1954,3.271140496,5.226049587,2.476958678,33.22130579,33.22130579,,1.54,0.04,13.605,-901,2.454,-901,0.513719008,19.82677686,-901,0.06,2.48,
3/31/1954,8.331570248,9.868760331,5.540033058,84.0212562,84.0212562,,29.614,0.1,15.136,-901,0,-901,0.568760331,17.59775207,-901,0.11,5.54,
4/30/1954,9.788429752,11.07371901,11.88297521,158.4925289,158.4925289,,82.616,0.28,34.932,-901,11.728,-901,7.509421488,19.14247934,-901,0.235,11.88,
5/31/1954,4.187305785,4.420958678,13.68099174,166.7828347,166.7828347,,136.701,0.56,48.934,-901,20.798,-901,34.32238017,21.83424793,-901,0.44,13.68,
6/30/1954,1.921983471,2.308760331,2.035041322,42.43142975,42.43142975,,137.654,0.62,45.86,-901,21.776,-901,2.909752066,30.89454545,-901,0.466,2.04,
7/31/1954,0.940760331,1.235900826,0.089771901,12.86404132,12.86404132,,126.579,0.84,42.474,-901,15.124,-901,1.026842975,27.70016529,-901,0.62,0.09,
8/31/1954,0.48206281,0.805487603,0.006517686,0,-1.935793388,,111.919,0.81,30.981,-901,3.084,-901,2.920661157,30.02439669,-901,0.58,0.01,
9/30/1954,0.345123967,0.660495868,0.001963636,0.487528926,0.487528926,,91.046,0.54,17.583,-901,0.19,-901,4.605619835,29.18677686,-901,0.34,0,
10/31/1954,0.613031405,0.799338843,0.008116364,1.314173554,1.314173554,,68.119,0.33,3.411,-901,0,-901,3.799933884,32.21950413,-901,0.14,0.01,
11/30/1954,0.493289256,1.285289256,0.023980165,5.252380165,5.252380165,,35.21,0.17,0.354,-901,0,-901,8.360330579,26.97917355,-901,0.02,0.02,
12/31/1954,2.582479339,3.240396694,0.694809917,19.32990909,19.32990909,,17.084,0.08,3.07,-901,0,-901,2.816132231,20.34009917,-901,0.01,0.69,
1/31/1955,3.025190083,3.560132231,0.676363636,20.87091736,20.87091736,,6.708,0.05,4.331,-901,0,-901,0.621024793,16.52171901,-901,0.03,0.68,
2/28/1955,3.310016529,3.665454545,0.833057851,24.35612397,24.35612397,,4.325,0.04,4.056,-901,0,-901,0.413196694,11.94604959,-901,0.03,0.83,
3/31/1955,4.08277686,4.84522314,1.875371901,37.50200826,37.50200826,,2.084,0.05,6.552,-901,0,-901,0.468535537,18.05276033,-901,0.05,1.88,
4/30/1955,4.552066116,5.986115702,5.05785124,65.91035537,65.91035537,,19.248,0.13,15.888,-901,9.228,-901,2.112396694,5.783801653,-901,0.15,5.06,
5/31/1955,5.269487603,6.529983471,15.24277686,167.0038926,167.0038926,,97.242,0.43,48.645,-901,15.967,-901,2.42261157,18.38479339,-901,0.39,15.24,
6/30/1955,1.910082645,1.916033058,6.069421488,92.03377686,92.03377686,,133.856,0.57,44.463,-901,21.166,-901,9.139834711,27.52661157,-901,0.46,6.07,
