,11427400,11427500,11427700,11427750,11427200,AMF,11427760,11439501,11434900,11428000,11427940,11428400,11428300,11428600,11433060,11433080,11428700,11428800,11429500,11429340,11429350,11430000,11429300,11429600,11433040,EDN,11432000,11433100,11433260,11433300,11433500,11435100,11437000,11436999,11437500,11436950,11436000,11435900,11426190,11426170,11427000,11426500,YB236,11440000,11440500,11441000,11441002,11441001,11440900,11441500,11441100,11442000,11443460,11444500,11443500,El Dorado,11443501,11434500,11444201,11444280,11446000,11446500,11425416,NAT,PCWA Pump Station,EID Diversions,Folsom Diversions,Folsom South Canal,Folsom,YB90,YB91,Folsom Fair Oaks,11443450,Folsom_evap,NAT_evap,11433930
7/31/1922,-901,-901,-901,-901,-901,93.6,-901,-901,5.3,-901,-901,-901,-901,-901,-901,-901,-901,-901,-901,-901,6.7,-901,-901,-901,-901,-901,1.6,-901,-901,-901,39.19219835,-901,-901,-901,-901,-901,-901,5.452,2,7,-901,18.34175207,0.18446281,-901,-901,-901,-901,-901,-901,-901,-901,13.18909091,-901,-901,-901,2.373,-901,0.2,-901,-901,-901,98.07272727,11.9,-901,0,0,5.000000187,0,0,11.9,-901,0.211582323,-901,0,0,0
8/31/1922,-901,-901,-901,-901,-901,13.6,-901,-901,4.41,-901,-901,-901,-901,-901,-901,-901,-901,-901,-901,-901,5.3,-901,-901,-901,-901,-901,1.6,-901,-901,-901,7.685950413,-901,-901,-901,-901,-901,-901,4.45,1,4.7,-901,4.986644628,0.18446281,-901,-901,-901,-901,-901,-901,-901,-901,4.316429752,-901,-901,-901,2.25,-901,0.4,-901,-901,-901,22.01256198,12.4,-901,0,0,5.000000187,0,0,12.4,-901,0.188607348,-901,0,0,0
9/30/1922,-901,-901,-901,-901,-901,5.9,-901,-901,1.15,-901,-901,-901,-901,-901,-901,-901,-901,-901,-901,-901,3.8,-901,-901,-901,-901,-901,1.5,-901,-901,-901,4.760330579,-901,-901,-901,-901,1.2,-901,3.587,1,2.3,-901,3.980826446,0.178512397,-901,-901,-901,-901,-901,-901,-901,-901,3.225123967,-901,-901,-901,1.494,-901,0.4,-901,-901,-901,15.70909091,13,-901,0,0,5.00000005,0,0,13,-901,0.156628621,-901,0,0,0
10/31/1922,-901,-901,-901,-901,-901,19.3,-901,4.568528926,0,-901,-901,-901,-901,-901,-901,-901,-901,-901,-901,-901,3.8,-901,-901,-901,-901,-901,0.8,-901,-901,-901,12.29752066,-901,0.090386777,-901,-901,-901,1.647867769,2,0,0.6,-901,4.45785124,0.061487603,0.088542149,0.036892562,-901,-901,-901,-901,-901,-901,3.332628099,-901,-901,3.074380165,0.332,9.223140496,0,-901,-901,-901,30.68231405,15.5,-901,0,0,5.000000187,0,0,15.5,-901,0.069078465,-901,0,0,0
11/30/1922,-901,-901,-901,-901,-901,55.8,-901,3.516694215,0.001,-901,-901,-901,-901,-901,-901,-901,-901,-901,-901,-901,3.8,-901,-901,-901,-901,-901,0.4,-901,-901,-901,24.1646281,-901,0.08092562,-901,-901,-901,1.184132231,0.9,0,0,-901,13.69190083,0.059504132,0.13507438,0.107107438,-901,-901,-901,-901,-901,-901,5.254214876,-901,-901,5.389090909,0.077,11.58545455,0.1,-901,-901,-901,63.37190083,13.6,-901,0,0,5.00000005,0,0,13.6,-901,2.49758843,-901,0,0,0
12/31/1922,-901,-901,-901,-901,-901,398,-901,7.421553719,0.002,-901,-901,-901,-901,-901,-901,-901,-901,-901,-901,-901,3.8,-901,-901,-901,-901,-901,0.3,-901,-901,-901,160.728595,-901,0.073785124,-901,-901,-901,0.780892562,0.1,0,0,-901,82.82380165,0.061487603,2.945256198,3.203504132,-901,-901,-901,-901,-901,-901,24.66882645,-901,-901,51.24297521,0.049,57.63847934,0,-901,-901,-901,398.9315702,7.6,-901,0,0,4.000000055,0,0,7.6,-901,4.503463067,-901,0,0,0
1/31/1923,-901,-901,-901,-901,-901,275,-901,7.489190083,0.002,-901,-901,-901,-901,-901,-901,-901,-901,-901,-901,-901,3.8,-901,-901,-901,-901,-901,0.3,-901,-901,-901,97.82677686,-901,0.264396694,-901,-901,-901,0.614876033,-901,0,0,-901,47.71438017,0.061487603,2.244297521,1.12522314,-901,-901,-901,-901,-901,-901,17.91133884,-901,-901,34.6492562,0,41.06142149,0,-901,-901,-901,268.2704132,0,-901,0,0,4.000000055,0,0,0,-901,0.356368889,-901,0,0,0
2/28/1923,-901,-901,-901,-901,-901,182.8,-901,6.642247934,0.001,-901,-901,-901,-901,-901,-901,-901,-901,-901,-901,-901,3.8,-901,-901,-901,-901,-901,0.3,-901,-901,-901,70.5322314,-901,0.238809917,-901,-901,-901,0.444297521,-901,0,0,-901,38.67054545,0.05553719,1.227371901,0.899702479,-901,-901,-901,-901,-901,-901,13.93983471,-901,-901,28.92694215,0,34.76072727,0,-901,-901,-901,175.3864463,0,-901,0,0,2.99999997,0,0,0,-901,0.026352334,-901,0,0,0
3/31/1923,-901,-901,-901,-901,-901,224.5,-901,17.65923967,0.001,-901,-901,-901,-901,-901,-901,-901,-901,-901,-901,-901,3.9,-901,-901,-901,-901,-901,0.3,-901,-901,-901,114.7358678,-901,0.308052893,-901,-901,-901,1.660165289,-901,0,0.1,-901,49.4298843,0.061487603,3.301884298,1.069884298,-901,-901,-901,-901,-901,-901,28.68396694,-901,-901,56.99504132,0,63.45520661,0,-901,-901,-901,217.9735537,0,-901,0,0,4.000000055,0,0,0,-901,0.055324633,-901,0,0,0
4/30/1923,-901,-901,-901,-901,-901,564.2,-901,44.07471074,0,-901,-901,-901,-901,-901,-901,-901,-901,-901,-901,-901,5.1,-901,-901,-901,-901,-901,0.6,-901,-901,-901,228.2578512,-901,1.743471074,-901,-901,-901,2.737190083,2.83,0,1.7,-901,113.7123967,0.059504132,8.729256198,2.69553719,-901,-901,-901,-901,-901,-901,67.35867769,-901,-901,142.3735537,0,148.4628099,0,-901,-901,-901,566.0033058,8.3,-901,0,0,3.99999995,0,0,8.3,-901,1.485650786,-901,0,0,0
5/31/1923,-901,-901,-901,-901,-901,615.9,-901,98.25719008,0.252,-901,-901,-901,-901,-901,-901,-901,-901,-901,-901,-901,7.3,-901,-901,-901,-901,-901,0.7,-901,-901,-901,260.0310744,-901,7.735140496,-901,-901,2.889,10.10856198,5.645,1,5.7,-901,110.4932231,0.061487603,5.822876033,0.399669421,-901,-901,-901,-901,-901,-901,81.84,-901,-901,201.3818182,0.572,207.8895868,0,-901,-901,-901,612.5395041,11.6,-901,0,0,5.000000187,0,0,11.6,-901,0.131577619,-901,0,0,0
6/30/1923,-901,-901,-901,-901,-901,283.4,-901,56.85024793,2.09,-901,-901,-901,-901,-901,-901,-901,-901,-901,-901,-901,8,-901,-901,-901,-901,-901,1.2,-901,-901,-901,107.8809917,-901,7.967603306,-901,-901,2.35,5.682644628,6.336,1,8.2,-901,49.84661157,0.178512397,1.523305785,0.095206612,-901,-901,-901,-901,-901,-901,37.55305785,-901,-901,97.72561983,1.357,104.2512397,0.1,-901,-901,-901,278.3603306,12.1,-901,0,0,5.00000005,0,0,12.1,-901,0.158555404,-901,0,0,0
7/31/1923,-901,-901,-901,-901,-901,96.7,-901,21.74816529,4.52,-901,-901,-901,-901,-901,-901,-901,-901,-901,-901,-901,6.7,-901,-901,-901,-901,-901,1.6,-901,-901,-901,44.52317355,-901,5.318677686,-901,-901,1.479,1.574082645,5.902,1,7,-901,16.20813223,0.18446281,0.279153719,0.030743802,-901,-901,-901,-901,-901,-901,13.89619835,-901,-901,30.5831405,2.091,37.13236364,0.2,-901,-901,-901,97.21190083,7.5,-901,0,0,5.000000187,0,0,7.5,-901,0.21131581,-901,0,0,0
8/31/1923,-901,-901,-901,-901,-901,17.5,-901,5.171107438,3.8,-901,-901,-901,-901,-901,-901,-901,-901,-901,-901,-901,5.3,-901,-901,-901,-901,-901,1.6,-901,-901,-901,8.909553719,-901,0.8,-901,-901,1.25,0.464231405,4.802,1,4.4,-901,3.707702479,0.18446281,0.054355041,0.018446281,-901,-901,-901,-901,-901,-901,3.701553719,-901,-901,1.733553719,1.961,7.925752066,0.4,-901,-901,-901,21.58214876,7.7,-901,0,0,5.000000187,0,0,7.7,-901,0.190084119,-901,0,0,0
9/30/1923,-901,-901,-901,-901,-901,17.5,-901,6.343140496,0.49,-901,-901,-901,-901,-901,-901,-901,-901,-901,-901,-901,3.8,-901,-901,-901,-901,-901,1.5,-901,-901,-901,6.765619835,-901,0.100561983,-901,-901,1.406,0.009520661,4.675,1,2.2,-901,4.266446281,0.178512397,0.044806612,0.446280992,-901,-901,-901,-901,-901,-901,3.08231405,-901,-901,3.23107438,1.398,9.449256198,0.428429752,-901,-901,-901,22.43305785,8.4,-901,0,0,5.00000005,0,0,8.4,-901,0.155957218,-901,0,0,0
10/31/1923,-901,-901,-901,-901,-901,23.2,-901,5.041983471,0.748,-901,-901,-901,-901,-901,-901,-901,-901,-901,-901,-901,3.8,-901,-901,-901,-901,-901,0.8,-901,-901,-901,12.37130579,-901,1.315834711,-901,-901,-901,0.012113058,4.75,1,0.7,-901,5.02968595,0.061487603,0.063947107,0.027361983,-901,-901,-901,-901,-901,-901,4.919008264,-901,-901,4.276363636,0.08,10.8341157,0,-901,-901,-901,39.72099174,18.4,-901,0,0,5.000000187,0,0,18.4,-901,0.072137237,-901,0,0,0
11/30/1923,-901,-901,-901,-901,-901,21.1,-901,3.451239669,0.607,-901,-901,-901,-901,-901,-901,-901,-901,-901,-901,-901,3.8,-901,-901,-901,-901,-901,0.4,-901,-901,-901,6.456198347,-901,0.559933884,-901,-901,-901,0.011900826,4.712,0,0,-901,3.736859504,0.059504132,0.059504132,0.029752066,-901,-901,-901,-901,-901,-901,3.219173554,-901,-901,1.506446281,0.286,7.818842975,0.3,-901,-901,-901,27.84793388,14.1,-901,0,0,5.00000005,0,0,14.1,-901,0.029575661,-901,0,0,0
12/31/1923,-901,-901,-901,-901,-901,26.8,-901,3.627768595,0.455,-901,-901,-901,-901,-901,-901,-901,-901,-901,-901,-901,3.8,-901,-901,-901,-901,-901,0.3,-901,-901,-901,8.356165289,-901,0.094690909,-901,-901,-901,0.316661157,4.171,0,0,-901,4.476297521,0.061487603,0.067636364,0.109447934,-901,-901,-901,-901,-901,-901,3.486347107,-901,-901,1.791272727,0.197,8.227041322,0,-901,-901,-901,28.89917355,8,-901,0,0,4.000000055,0,0,8,-901,0.010427775,-901,0,0,0
1/31/1924,-901,-901,-901,-901,-901,41.9,-901,4.716099174,0.3,-901,-901,-901,-901,-901,-901,-901,-901,-901,-901,-901,3.8,-901,-901,-901,-901,-901,0.3,-901,-901,-901,13.62565289,-901,0.012297521,-901,-901,-901,1.721652893,2.115,0,0,-901,6.271735537,0.061487603,0.202909091,0.122975207,-901,-901,-901,-901,-901,-901,4.593123967,-901,-901,6.045619835,0.129,12.2913719,0,-901,-901,-901,38.06082645,2.5,-901,0,0,4.000000055,0,0,2.5,-901,0.122778453,-901,0,0,0
2/29/1924,-901,-901,-901,-901,-901,112.1,-901,7.000264463,0.155,-901,-901,-901,-901,-901,-901,-901,-901,-901,-901,-901,3.8,-901,-901,-901,-901,-901,0.3,-901,-901,-901,48.31160331,-901,0.011504132,-901,-901,-901,0.609719008,0.6,0,0.8,-901,26.75861157,0.057520661,0.983603306,0.377910744,-901,-901,-901,-901,-901,-901,13.66115702,-901,-901,19.37057851,0.067,25.54492562,0,-901,-901,-901,115.271405,10,-901,0,0,3.000000106,0,0,10,-901,0.233687152,-901,0,0,0
3/31/1924,-901,-901,-901,-901,-901,57.9,-901,4.716099174,0,-901,-901,-901,-901,-901,-901,-901,-901,-901,-901,-901,3.9,-901,-901,-901,-901,-901,0.3,-901,-901,-901,21.71127273,-901,0.036892562,-901,-901,0.916,0.00614876,1.25,0,2.1,-901,11.12310744,0.061487603,0.320965289,0.056753058,-901,-901,-901,-901,-901,-901,8.761983471,-901,-901,8.969256198,0.148,15.52561983,0,-901,-901,-901,54.04760331,2.9,-901,0,0,4.000000055,0,0,2.9,-901,0.061124446,-901,0,0,0
4/30/1924,-901,-901,-901,-901,-901,123,-901,17.08958678,1.54,-901,-901,-901,-901,-901,-901,-901,-901,-901,-901,-901,5.1,-901,-901,-901,-901,-901,0.6,-901,-901,-901,59.86115702,-901,0.059504132,-901,-901,2.778,0.011722314,4.071,1,2.9,-901,30.23404959,0.059504132,0.874710744,0.129123967,-901,-901,-901,-901,-901,-901,21.52859504,-901,-901,36.8846281,0.25,43.27140496,0,-901,-901,-901,118.8892562,1.6,-901,0,0,3.99999995,0,0,1.6,-901,0.093962464,-901,0,0,0
