,I_MFM008,I_SFM005,I_COL003,I_SLTSP,I_UBEAR,I_NFM010
7/31/1964,0.87,1.14,0.23,4.06,0.9,0
8/31/1964,0.53,0.66,0.02,0.57,0.12,0
9/30/1964,0.49,0.58,0.01,0.77,0.17,0
10/31/1964,0.51,0.76,0.01,1.77,0.39,0.28
11/30/1964,2.47,2.65,1.32,4.65,1.03,0.4
12/31/1964,20.04,26.96,22.21,88.1,19.44,70.97
1/31/1965,21.31,27.18,3.6,46.29,10.23,28.24
2/28/1965,9.52,10.46,2.94,24.45,5.4,11.15
3/31/1965,7.37,7.85,4.19,19.86,4.38,9.69
4/30/1965,13.35,17.52,10.92,65.46,14.45,26.1
5/31/1965,8.27,8.02,17.34,102.35,22.59,32.83
6/30/1965,3.93,3.74,13.11,86.45,19.07,28.28
7/31/1965,1.88,2.19,2.47,25.41,5.61,5.16
8/31/1965,1.92,1.65,1.19,11.17,2.46,1.3
9/30/1965,1.12,1.21,0.08,4.84,1.07,0
10/31/1965,1.7,1.13,0.02,3.93,0.87,0
11/30/1965,3.06,3.62,1.3,11.68,2.58,3.36
12/31/1965,3.25,3.15,1.13,6.54,1.44,4.35
1/31/1966,2.96,3.38,0.77,7.42,1.64,4.41
2/28/1966,2.95,3.39,0.66,6.92,1.52,3.58
3/31/1966,4.54,5.27,4.13,29.78,6.58,14.14
4/30/1966,5.62,4.99,11.97,79.96,17.65,15.27
5/31/1966,2.07,2.16,9.65,83.26,18.37,9.62
6/30/1966,0.89,1.27,0.68,9.95,2.19,0
7/31/1966,0.44,0.72,0.03,2.01,0.44,0
8/31/1966,0.33,0.48,0,0.58,0.13,0
9/30/1966,0.71,0.45,0,1.49,0.33,0
10/31/1966,0.83,0.5,0,0.67,0.15,0.1
11/30/1966,1.1,1.71,1.23,7.59,1.67,0.68
12/31/1966,6.16,8.53,3.35,24.11,5.32,14.13
1/31/1967,5.59,8.57,1.62,13.57,3,12.35
2/28/1967,6.26,7.67,2.34,15.26,3.37,13.02
3/31/1967,13.49,15.86,6.96,33.39,7.37,26.41
4/30/1967,14.76,16.67,2.48,30.98,6.85,20.94
5/31/1967,22.28,25.51,19.18,124.46,27.47,53.04
6/30/1967,8.88,9,23.95,149.02,32.89,47
7/31/1967,3.48,3.05,7.71,66.89,14.76,16.33
8/31/1967,1.71,1.7,0.11,5.31,1.17,0
9/30/1967,1.17,1.33,0.03,0.06,0.01,0
10/31/1967,1.24,1.64,0.06,1.24,0.27,0
11/30/1967,0.89,1.46,0.05,1.59,0.35,0
12/31/1967,1.34,2.08,0.47,3.67,0.81,0.08
1/31/1968,1.8,2.46,0.89,5.73,1.26,1.83
2/29/1968,4.74,6.14,5.35,25.23,5.57,13.85
3/31/1968,5.36,5.61,3.89,25.48,5.63,9.69
4/30/1968,3.9,4.3,7.79,50.2,11.08,8.71
5/31/1968,1.88,2.23,7.99,78.27,17.27,6.39
6/30/1968,0.77,1.12,1.1,25.17,5.55,0.83
7/31/1968,0.51,0.59,0.04,2.51,0.55,0
8/31/1968,0.34,0.54,0.02,2.22,0.49,0
9/30/1968,0.31,0.45,0.01,1.18,0.26,0
10/31/1968,0.47,0.68,0.03,2.52,0.55,0.44
11/30/1968,1.42,1.66,2.98,14.17,3.13,3.77
12/31/1968,2.1,3.07,1.23,6.9,1.52,4.12
1/31/1969,27.48,40.67,4.89,46.53,10.27,39.5
2/28/1969,13.42,18.92,1.59,21.23,4.68,16.57
3/31/1969,11.54,15.13,2.94,24.69,5.46,17.92
4/30/1969,22.17,25.31,10.9,69.8,15.42,41.64
5/31/1969,14.3,15.44,31.28,182.54,40.29,70.61
6/30/1969,4.96,4.54,16.95,123.23,27.19,41.55
7/31/1969,3.06,2.32,2.45,34.99,7.72,5.59
8/31/1969,2.51,1.26,0.04,3.92,0.86,0
9/30/1969,1.85,1.04,0.01,1.11,0.24,0
10/31/1969,1.88,1.49,0.66,4.78,1.05,0.3
11/30/1969,1.7,1.65,0.7,4.41,0.97,0.52
12/31/1969,2.96,4.03,4.92,22.16,4.89,15.48
1/31/1970,24.02,28.41,13.47,72.61,16.03,53.78
2/28/1970,8.99,10.09,3.09,32.95,7.27,13.11
3/31/1970,9.2,11.53,4.48,31.89,7.04,13.24
4/30/1970,5.3,5.37,5.47,37.74,8.33,11.78
5/31/1970,4.35,3.82,16,104.97,23.17,28.72
6/30/1970,2.25,2.29,8.03,70.08,15.46,16.93
7/31/1970,2.1,1.27,0.4,11.38,2.51,0.19
8/31/1970,0.97,0.81,0.03,0.26,0.06,0
9/30/1970,0.6,0.63,0.01,0.82,0.18,0
10/31/1970,0.61,0.77,0.01,1.61,0.35,0.17
11/30/1970,1.51,2.61,2.67,12.46,2.75,3.19
12/31/1970,4.77,7.27,2.02,16.4,3.62,11.46
1/31/1971,5.02,6.49,4.81,17.3,3.82,14.49
2/28/1971,4.77,5.18,2.7,16.98,3.75,11.61
3/31/1971,9.17,9.84,3.4,23.14,5.12,14.53
4/30/1971,8.34,8.75,7.12,47.3,10.44,19.85
5/31/1971,5.85,5.61,14.49,90.21,19.91,25.9
6/30/1971,2.68,2.49,13.53,104.93,23.15,25.74
7/31/1971,1.33,1.32,1.32,19.23,4.24,1.65
8/31/1971,0.65,0.82,0.04,3.27,0.72,0
9/30/1971,0.77,0.65,0.01,1.22,0.27,0
10/31/1971,0.66,0.87,0.02,3.14,0.69,0
11/30/1971,0.74,1.33,0.65,5.66,1.25,0.69
12/31/1971,2.92,4.62,1.63,9.26,2.04,4.46
1/31/1972,2.37,2.35,0.85,7.39,1.63,5.19
2/29/1972,4.17,4.38,1,10.07,2.22,6.33
3/31/1972,5.82,5.55,8.38,41.6,9.19,22.17
4/30/1972,4.46,4.17,6.77,40.95,9.04,12.19
5/31/1972,2.58,2.17,14.15,97.53,21.53,16.22
6/30/1972,0.74,1.05,3.89,44.67,9.86,5.86
7/31/1972,0.5,0.45,0.15,6.42,1.42,0
8/31/1972,0.24,0.32,0.02,1.26,0.28,0
9/30/1972,0.29,0.38,0.01,1.64,0.36,0
10/31/1972,0.46,0.61,0.09,3.6,0.79,0.15
11/30/1972,0.95,1.37,0.79,5.78,1.28,0.62
12/31/1972,1.98,2.51,4.42,14.05,3.1,9.24
1/31/1973,6.83,10.69,2.49,21.93,4.84,16.87
2/28/1973,9.36,12.45,1.38,17.4,3.83,11.44
3/31/1973,9.59,12.19,1.73,19.52,4.32,11.71
4/30/1973,10.03,12.23,9.34,51.31,11.33,23.67
5/31/1973,8.77,8.04,24.41,150.69,33.26,41.45
6/30/1973,2.52,2.37,6.91,59.5,13.13,12.22
7/31/1973,0.96,0.93,0.47,6.01,1.33,0
8/31/1973,0.46,0.48,0.02,0,0,0
9/30/1973,1.13,0.46,0.01,2.14,0.47,0
10/31/1973,1.33,1.04,0.16,2.73,0.6,0.35
11/30/1973,2.56,3.86,6.09,32.16,7.1,18.34
12/31/1973,6.97,7.74,4.24,18.61,4.11,16.62
1/31/1974,10.43,12.06,5.79,31.64,6.98,23.67
2/28/1974,4.61,4.63,2.18,12.6,2.79,8.79
3/31/1974,15.4,19.69,4.94,38.92,8.6,20.49
4/30/1974,14.25,16.52,7.72,53.59,11.83,23.3
5/31/1974,6.31,5.55,21.27,129.6,28.6,38.49
6/30/1974,2.35,2.22,10.79,78.38,17.29,22.89
7/31/1974,2.08,1.65,2.05,20.76,4.58,2.67
8/31/1974,1.51,0.78,0.18,1.12,0.25,0
9/30/1974,0.64,0.3,0.01,4.75,1.05,0
10/31/1974,0.66,0.75,0.01,1.61,0.35,0.16
11/30/1974,0.5,1.12,0.09,2.42,0.53,0
12/31/1974,1.23,1.41,0.39,4.09,0.9,0.25
1/31/1975,2.19,2.32,1.05,7.1,1.57,3.07
2/28/1975,5.44,6.55,1.39,11.29,2.49,7.4
3/31/1975,10.9,14.58,2.45,21.58,4.76,16.36
4/30/1975,9.95,11.18,2.31,21.29,4.7,13.84
5/31/1975,13.63,15.21,25.89,110.78,24.46,47.71
6/30/1975,4.59,3.8,22.4,129.33,28.54,32.04
7/31/1975,1.76,1.56,2.1,25.7,5.67,3.32
8/31/1975,1.19,1,0.14,4.14,0.91,0
9/30/1975,0.63,0.62,0.03,1.94,0.43,0
10/31/1975,1.08,1.33,2.21,12.64,2.79,0.63
11/30/1975,1.06,1.26,2.44,11.36,2.5,1.98
12/31/1975,1.05,1.11,1.14,6.43,1.42,0.84
1/31/1976,0.95,1,0.74,5.28,1.17,0.61
2/29/1976,1.09,1.39,1.04,6.89,1.52,0.8
3/31/1976,1.75,1.83,2.77,17.8,3.93,0.5
4/30/1976,1.46,1.54,4.37,32.65,7.21,0
5/31/1976,0.82,0.71,5.63,59.18,13.06,0
6/30/1976,0.39,0.34,0.33,6.44,1.42,0
7/31/1976,0.18,0.18,0.02,1.24,0.27,0
8/31/1976,0.3,0.32,0.2,3.6,0.79,0
9/30/1976,0.23,0.23,0.12,1.86,0.41,0
10/31/1976,0.69,0.26,0.02,1.81,0.4,0
11/30/1976,0.23,0.41,0.07,1.78,0.39,0
12/31/1976,0.2,0.38,0.02,1.47,0.32,0
1/31/1977,0.29,0.56,0.22,2.83,0.62,0
2/28/1977,0.34,0.58,0.44,4.18,0.92,0
3/31/1977,0.56,0.69,0.8,5.62,1.24,0
4/30/1977,0.38,0.45,3.86,30.28,6.69,0
5/31/1977,0.59,0.67,4.8,46.28,10.22,0
6/30/1977,0.15,0.29,1.74,28.61,6.31,0
7/31/1977,0.13,0.09,0.05,0.32,0.07,0
8/31/1977,0.12,0.03,0.01,0.76,0.17,0
9/30/1977,0.11,0.04,0.01,0.52,0.11,0
10/31/1977,0.1,0.14,0.01,0.47,0.1,0.07
11/30/1977,0.25,0.32,0.05,1.74,0.38,0.23
12/31/1977,1.28,2.48,1.89,11.7,2.58,2.65
1/31/1978,10.15,13.43,1.2,22.64,5,15.25
2/28/1978,7.86,10.57,1.17,15.25,3.37,12.24
3/31/1978,15.02,19.61,5.71,34.83,7.68,25.38
4/30/1978,16.71,19.84,7.22,51.05,11.28,28.07
5/31/1978,8.6,9.4,23.31,113.36,25.02,40.64
6/30/1978,3.25,2.74,19.84,113.99,25.15,33.08
7/31/1978,1.09,1.25,3.05,29.3,6.46,5.37
8/31/1978,0.76,0.68,0.09,2.75,0.61,0.31
9/30/1978,0.86,0.8,0.83,7.23,1.59,0
10/31/1978,0.59,0.6,0.02,1.39,0.31,0.1
11/30/1978,0.83,0.76,0.1,2.56,0.56,0
12/31/1978,0.84,1.16,0.48,4.09,0.9,0.28
1/31/1979,3.77,4.78,3.49,14.93,3.3,8.89
2/28/1979,4.69,6.86,1.02,11.53,2.55,8.68
3/31/1979,11.26,14.69,3.59,27.07,5.97,17.22
4/30/1979,10.48,12.35,7.72,48.49,10.71,22.77
5/31/1979,10.47,10.52,20.17,140.53,31.02,34.41
6/30/1979,2.51,2.59,5.58,56.08,12.37,10.15
7/31/1979,1.19,1.25,0.27,7.6,1.68,0
8/31/1979,0.77,0.57,0.02,2,0.44,0
9/30/1979,0.44,0.39,0,0.34,0.08,0
10/31/1979,0.62,0.66,0.97,4.42,0.97,0.45
11/30/1979,0.99,1.25,1.74,6.71,1.48,1.17
12/31/1979,1.98,2.06,1.62,5.54,1.22,3.41
1/31/1980,22.23,28.63,14.69,69.33,15.3,57.84
2/29/1980,23.05,30.37,4.01,45.7,10.1,29.08
3/31/1980,13.63,16.95,2.64,34.53,7.62,14.84
4/30/1980,8.53,9.37,10.16,57.69,12.73,25.2
5/31/1980,6.94,5.61,15.4,104.56,23.08,32.09
6/30/1980,3.21,2.68,12.68,93.91,20.72,29.37
7/31/1980,1.44,1.54,3.33,39.81,8.78,7.36
8/31/1980,0.59,0.77,0.07,3.93,0.87,0
9/30/1980,0.41,0.59,0.02,0.99,0.22,0
10/31/1980,0.56,0.7,0.01,0.44,0.1,0
11/30/1980,0.59,0.7,0.02,1.74,0.38,0
12/31/1980,0.89,1.11,0.22,2.88,0.64,0
1/31/1981,2.02,2.57,0.41,6,1.33,1.42
2/28/1981,2.08,2.37,1.73,10.26,2.26,5.22
3/31/1981,4.51,6.12,1.86,15.88,3.5,6.95
4/30/1981,3.89,4.46,9.56,60.29,13.32,14.47
5/31/1981,2.23,1.84,9.01,87.63,19.34,5.75
6/30/1981,0.8,0.64,1.45,24.78,5.47,0
7/31/1981,0.47,0.18,0.03,0,0,0
8/31/1981,0.31,0.14,0,1.75,0.39,0
9/30/1981,0.22,0.13,0,0.44,0.1,0
10/31/1981,0.42,0.41,0.41,2.65,0.58,0.57
11/30/1981,2.74,2.92,7.81,27.73,6.12,13.45
12/31/1981,7.4,8.76,11.41,34.93,7.71,37.31
1/31/1982,11.02,15.32,2.43,22.87,5.04,18.96
2/28/1982,20.21,24.74,12.67,58.31,12.89,47.8
3/31/1982,18.8,23.35,3.83,51.54,11.38,27.06
4/30/1982,33.4,41.91,13.47,108.93,24.04,49.43
5/31/1982,13.19,14.84,24.07,145.87,32.19,52.28
6/30/1982,4.18,3.97,12.27,96.94,21.39,34.92
7/31/1982,2.29,2.34,2.18,35.59,7.85,8.51
8/31/1982,1.19,1.11,0.11,9.74,2.15,1.68
9/30/1982,1.12,1.14,0.74,10.65,2.35,0
10/31/1982,2.31,2.56,5.43,25.92,5.72,9.37
11/30/1982,5.58,6.68,2.08,19.77,4.36,14.68
12/31/1982,12.39,16.55,2.05,26.84,5.93,25.97
1/31/1983,13.75,18.03,1.8,21.91,4.83,19.01
2/28/1983,21.83,28.86,1.74,31.5,6.94,25.56
3/31/1983,40.18,50.73,3.38,65.94,14.58,48.53
4/30/1983,19.55,24.19,3.5,44.46,9.82,23.7
5/31/1983,22.9,26.06,22.9,125.58,27.72,62.78
6/30/1983,10.76,9.7,33.58,194.61,42.95,74.25
7/31/1983,4.19,3.87,16.16,110.81,24.45,40.07
8/31/1983,2.35,2.04,1.55,21.33,4.7,4.22
9/30/1983,1.77,1.88,0.93,11.67,2.57,0
10/31/1983,1.67,1.64,0.86,7.03,1.55,0.61
11/30/1983,11.56,11.74,10.66,51.45,11.36,39.26
12/31/1983,22.86,26.01,8.09,58.48,12.92,42.19
1/31/1984,10.47,10.21,3.95,34.69,7.66,16.36
2/29/1984,7.38,7.54,2.28,25.15,5.55,10.87
3/31/1984,8.95,9.51,4.84,36.66,8.09,15.77
4/30/1984,5.93,5.9,6.53,46.23,10.2,13.89
5/31/1984,3.86,3.88,17.59,122.09,26.94,37.18
6/30/1984,2.21,2.27,7.49,58.9,12.99,15.64
7/31/1984,1.21,1.19,0.36,13.04,2.88,0.98
8/31/1984,0.85,0.62,0.03,2.22,0.49,0
9/30/1984,0.84,0.36,0.01,0.93,0.21,0
10/31/1984,1.01,1.15,0.44,4.21,0.93,0
11/30/1984,4.08,2.85,2.56,13.16,2.91,5.23
12/31/1984,2.21,2.21,1.17,6.97,1.54,4.78
1/31/1985,2.13,1.81,1.24,6.45,1.42,4
2/28/1985,2.6,3.19,1.68,9.4,2.07,5.36
3/31/1985,4.67,5.24,2.17,17.98,3.97,8.6
4/30/1985,6.33,6.75,11.07,73.34,16.19,18.83
5/31/1985,2.55,2.48,9.87,91.11,20.11,11.93
6/30/1985,1.17,0.91,1.61,22.44,4.95,1.47
7/31/1985,0.44,0.28,0.06,2.55,0.56,0
8/31/1985,0.37,0.31,0.02,1.13,0.25,0
9/30/1985,0.52,0.41,0.13,2.93,0.64,0
10/31/1985,1.34,0.62,0.3,2.15,0.47,1.04
11/30/1985,1.17,1.62,0.54,5.91,1.3,2.56
12/31/1985,2.15,2.85,2.06,10.28,2.27,7.65
1/31/1986,4.7,6.52,4.89,21.62,4.77,23.66
2/28/1986,42.66,53.28,10.53,96.68,21.35,55.65
3/31/1986,24.36,26.84,13.01,91.67,20.24,32.5
4/30/1986,8.48,8.76,10.62,67.91,14.99,19.03
5/31/1986,4.73,4.4,17.68,106.31,23.46,37.97
6/30/1986,2.64,1.97,10.35,78.34,17.28,32.63
7/31/1986,1.26,0.94,0.49,13.63,3.01,1.28
8/31/1986,1.03,0.37,0.02,3.31,0.73,0
9/30/1986,1.24,0.68,0.05,2.28,0.5,0
10/31/1986,1.48,0.71,0.19,4.58,1.01,0
11/30/1986,0.87,0.57,0.02,1.72,0.38,0
12/31/1986,0.71,0.7,0.04,2.25,0.5,0
1/31/1987,0.92,1,0.18,3.7,0.82,0
2/28/1987,1.92,1.66,1.06,7.95,1.76,0
3/31/1987,3.7,3.76,2.1,17.29,3.81,0
4/30/1987,1.8,1.78,8.94,58.01,12.81,0
5/31/1987,0.98,0.97,5.72,64.35,14.2,0
6/30/1987,0.6,0.48,0.48,8.9,1.96,0
7/31/1987,0.67,0.24,0.03,2.36,0.52,0
8/31/1987,0.25,0.13,0.01,1.04,0.23,0
9/30/1987,0.2,0.13,0.01,1,0.22,0
10/31/1987,0.26,0.22,0.01,1.24,0.27,0
11/30/1987,0.45,0.3,0.16,3.67,0.81,0.04
12/31/1987,0.77,0.51,0.82,5.44,1.2,0.38
1/31/1988,1.43,1.38,1.11,7.86,1.74,0.97
2/29/1988,0.96,0.63,1.97,8.9,1.96,1.14
3/31/1988,1.72,1.22,3.96,23.1,5.1,1.42
4/30/1988,1.17,1.19,5.64,49.51,10.93,0
5/31/1988,1.05,1.01,4.53,54.6,12.05,0
6/30/1988,0.46,0.5,1.14,12.62,2.78,1.07
7/31/1988,0.4,0.14,0.05,2.32,0.51,0
8/31/1988,0.38,0.06,0.01,1.04,0.23,0
9/30/1988,0.25,0.03,0,1,0.22,0
10/31/1988,0.25,0.1,0,0,0,0
11/30/1988,0.53,0.5,0.4,1.99,0.44,4.17
12/31/1988,0.49,0.52,0.67,4.86,1.07,1.44
1/31/1989,0.66,0.42,0.95,4.45,0.98,2.5
2/28/1989,0.86,1.16,1.59,14.69,3.24,2.34
3/31/1989,8.69,10.03,10.56,70.12,15.48,20.72
4/30/1989,4.34,3.76,13.38,89.81,19.82,20.64
5/31/1989,1.67,1.16,10.18,84.01,18.54,9.08
6/30/1989,0.64,0.5,3.53,46.33,10.23,1.53
7/31/1989,0.49,0.18,0.1,4.04,0.89,0.1
8/31/1989,0.35,0.06,0.02,1.25,0.28,0
9/30/1989,0.46,0.28,0.09,2.3,0.51,0.93
10/31/1989,0.77,0.92,0.87,5.9,1.3,1.64
11/30/1989,0.82,0.72,0.79,8.32,1.84,2.68
12/31/1989,0.57,0.39,0.91,7.33,1.62,0.93
1/31/1990,1.04,1.35,1.37,9.3,2.05,1.78
2/28/1990,1.29,2.02,1.22,8.13,1.8,1.16
3/31/1990,4.18,4.63,3.89,28.72,6.34,7.83
4/30/1990,2.91,2.2,8.06,62.3,13.75,5.89
5/31/1990,1.64,1.07,4.62,53.93,11.9,0
6/30/1990,1.23,0.87,2.06,22.44,4.95,1.43
7/31/1990,0.54,0.21,0.1,3.05,0.67,0
8/31/1990,0.45,0.08,0.02,1.38,0.31,0
9/30/1990,0.25,0.07,0.01,0.34,0.08,0
10/31/1990,0.31,0.11,0.01,0.32,0.07,0
11/30/1990,0.34,0.19,0.02,0,0,0.06
12/31/1990,0.34,0.17,0.02,1.55,0.34,0.18
1/31/1991,0.29,0.11,0.04,0.88,0.19,1.18
2/28/1991,0.32,0.14,0.31,0.32,0.07,1.14
3/31/1991,2.02,4.09,2.69,17.54,3.87,7.38
4/30/1991,3.6,3.78,5.14,33.94,7.49,9.27
5/31/1991,3.44,2.99,11.39,83.04,18.33,9.88
6/30/1991,1.42,0.92,5.73,52.13,11.51,6.9
7/31/1991,0.59,0.22,0.36,4.24,0.94,2.1
8/31/1991,0.26,0.13,0.03,1.24,0.27,0
9/30/1991,0.23,0.05,0.01,0.15,0.03,0
10/31/1991,0.29,0.23,0.22,2.21,0.49,0.24
11/30/1991,0.25,0.2,1.04,4.14,0.91,0.51
12/31/1991,0.42,0.47,0.54,4.53,1,0.54
1/31/1992,0.29,0.48,0.69,4.49,0.99,0.95
2/29/1992,2.32,3.71,2.57,15.28,3.37,4.03
3/31/1992,4.14,4.8,3.68,22.39,4.94,6.59
4/30/1992,2.71,2.48,9.53,67.09,14.81,5.87
5/31/1992,1.21,0.67,3.62,41.78,9.22,0
6/30/1992,0.64,0.27,0.31,6.01,1.33,0
7/31/1992,0.35,0.31,0.89,6.17,1.36,0
8/31/1992,0.21,0.06,0.02,0.52,0.11,0
9/30/1992,0.12,0.03,0.02,0.8,0.18,0
10/31/1992,0.3,0.2,0.08,1.88,0.42,0
11/30/1992,0.31,0.28,0.37,2.26,0.5,0.05
12/31/1992,0.73,2.04,0.66,5.33,1.18,4.24
1/31/1993,9.78,13.93,4.4,21.19,4.68,19.4
2/28/1993,8.18,11.9,1.49,14.43,3.18,15.09
3/31/1993,14.92,20.33,7.14,51.59,11.39,35.04
4/30/1993,9.75,13.9,10.2,68.03,15.01,24.19
5/31/1993,6.4,5.53,24.57,142.1,31.36,44.94
6/30/1993,3.86,2.8,13.75,105.78,23.35,21.33
7/31/1993,1.16,1.01,1.95,30.92,6.82,2.49
8/31/1993,0.76,0.45,0.08,3.59,0.79,0.61
9/30/1993,0.46,0.26,0.01,0.36,0.08,0.86
10/31/1993,0.62,0.46,0.02,0.96,0.21,0.95
11/30/1993,0.59,0.5,0.02,0.53,0.12,1.83
12/31/1993,0.61,0.87,0.27,2.32,0.51,1.32
1/31/1994,0.72,0.97,0.55,3.25,0.72,1.63
2/28/1994,1.43,2.04,0.8,4.32,0.95,3.82
3/31/1994,2.06,2.51,3.9,21.61,4.77,5.63
4/30/1994,1.65,1.83,6.42,47.39,10.46,5.43
5/31/1994,1.65,1.77,6.67,62.05,13.7,4.64
6/30/1994,0.6,0.43,0.91,19.59,4.32,0.3
7/31/1994,0.25,0.14,0.03,1.77,0.39,0
8/31/1994,0.31,0.08,0.01,0.8,0.18,0
9/30/1994,0.28,0.07,0.01,0,0,0
10/31/1994,0.25,0.28,0.02,0.77,0.17,0
11/30/1994,0.83,0.78,1.05,6.54,1.44,2.84
12/31/1994,0.93,1.45,1.19,8.06,1.78,3.89
1/31/1995,14.91,22.55,3.78,35.78,7.9,28.54
2/28/1995,6.99,7.36,3.73,27.69,6.11,16.61
3/31/1995,30.1,39.48,8.28,62.66,13.83,58.45
4/30/1995,18.26,21.48,10.98,60.32,13.31,42.15
5/31/1995,22.11,28.38,22.53,131.56,29.04,58.58
6/30/1995,6.25,6.91,26.12,159.27,35.15,64.35
7/31/1995,1.73,2.77,12.14,116.21,25.65,25.32
8/31/1995,1.19,1.43,0.69,17.84,3.94,2.79
9/30/1995,0.76,0.86,0.03,1,0.22,1.37
10/31/1995,0.72,0.75,0.01,0.4,0.09,1.24
11/30/1995,0.8,0.72,0.01,1.79,0.4,0
12/31/1995,1.84,1.95,1.92,12.73,2.81,6.82
1/31/1996,5.12,5.97,2.05,17.55,3.87,9.55
2/29/1996,14.39,19.16,9.19,57.55,12.7,36.64
3/31/1996,13.99,16.56,4.96,41.42,9.14,31.55
4/30/1996,10.91,12.19,10.63,67.5,14.9,32.73
5/31/1996,7.16,6.92,20.13,139.36,30.76,57.14
6/30/1996,3.03,3.22,6.31,73.35,16.19,14.45
7/31/1996,1.59,1.56,0.37,11.75,2.59,4.43
8/31/1996,0.81,0.77,0.03,0.04,0.01,0.81
9/30/1996,0.57,0.53,0.01,0,0,0.01
10/31/1996,0.81,0.69,0.02,0,0,1.7
11/30/1996,2.26,2.24,4.41,16.95,3.74,8.83
12/31/1996,15.22,21.02,8.87,41.09,9.07,42.39
1/31/1997,41.83,55.78,17.97,114.23,25.21,150.7
2/28/1997,9.54,14.57,2.7,20.49,4.52,31.13
3/31/1997,6.11,7.27,6.94,31.7,7,23.93
4/30/1997,3.96,4.43,10.58,67.8,14.97,23.11
5/31/1997,2.68,2.83,13.2,107.73,23.78,23.69
6/30/1997,2.01,1.51,4.06,41.87,9.24,10.98
7/31/1997,1,0.76,0.15,5.13,1.13,2.74
8/31/1997,0.65,0.48,0.02,0.54,0.12,1.74
9/30/1997,0.71,0.5,0.01,0.46,0.1,0.94
10/31/1997,0.82,0.85,0.02,0.52,0.11,1.91
11/30/1997,1.14,1.18,0.18,1.49,0.33,0
12/31/1997,1.46,1.75,0.58,3.3,0.73,0
1/31/1998,7.19,10.95,3.41,18.16,4.01,3.73
2/28/1998,17.21,25.75,1.78,20.41,4.5,17.95
3/31/1998,16.82,21.63,7.08,49.73,10.98,29.29
4/30/1998,15.2,20.35,7.3,47.07,10.39,28.15
5/31/1998,16.23,19.17,12.65,84.88,18.73,35.59
6/30/1998,10.73,9.56,25.91,159.39,35.18,61.23
7/31/1998,4.41,3.79,8.95,75.8,16.73,7.68
8/31/1998,1.98,1.88,0.2,6.56,1.45,0.33
9/30/1998,1.35,1.32,0.08,3.14,0.69,1.66
10/31/1998,1.95,1.33,0.05,1.96,0.43,2.27
11/30/1998,1.75,1.98,0.8,7.77,1.71,3.79
12/31/1998,2.37,2.64,2.03,10.46,2.31,6.58
1/31/1999,7.32,9.68,2.44,18.48,4.08,12.25
2/28/1999,18.94,23.86,2.5,22.53,4.97,29.31
3/31/1999,11.23,13.15,3.4,23.89,5.27,20.02
4/30/1999,10.84,12.85,7.18,39.03,8.61,31.99
5/31/1999,7.32,7.17,21.78,132.08,29.15,49.74
6/30/1999,3.88,3.17,12.42,94.38,20.83,26.2
7/31/1999,1.61,1.8,1.05,16.03,3.54,0
8/31/1999,1.16,1.03,0.03,2.22,0.49,0.4
9/30/1999,0.8,0.66,0.01,0.31,0.07,0.55
10/31/1999,0.76,0.68,0.02,0,0,0.55
11/30/1999,1.04,1.25,0.29,2.35,0.52,1.23
12/31/1999,1.08,1.16,0.25,2.31,0.51,2.24
1/31/2000,6.68,8.79,2.59,16.54,3.65,15.51
2/29/2000,13.78,19.19,3.23,23.19,5.12,25.93
3/31/2000,11.1,14.55,5.07,30.8,6.8,19.56
4/30/2000,6.99,8.44,11.58,75.2,16.6,16.45
5/31/2000,5.53,5.7,15.66,124.89,27.57,28.25
6/30/2000,2.7,2.49,3.91,42.52,9.38,8.21
7/31/2000,0.97,1.29,0.12,5.24,1.16,1.28
8/31/2000,0.6,0.71,0.01,0.78,0.17,0.37
9/30/2000,0.8,0.68,0.01,1.13,0.25,0.89
10/31/2000,1.33,1.13,0.03,2.1,0.46,0.36
11/30/2000,0.98,1.2,0.22,2.85,0.63,1.82
12/31/2000,1.05,1.29,0.41,1.49,0.33,2.48
1/31/2001,1.38,1.81,0.44,3.86,0.85,4.2
2/28/2001,2.46,3.04,0.8,6.31,1.39,3.6
3/31/2001,4.78,5.83,4.88,29.65,6.54,9.2
4/30/2001,5.88,7.17,6.13,48.28,10.66,11.73
5/31/2001,3.39,3.38,9,92.29,20.37,10.1
6/30/2001,0.92,0.95,0.41,7.26,1.6,1.27
7/31/2001,0.5,0.42,0.02,1.45,0.32,0.64
8/31/2001,0.55,0.25,0.01,0.55,0.12,0.72
9/30/2001,0.42,0.24,0,4.4,0.97,0
10/31/2001,0.45,0.19,0.01,0,0,0
11/30/2001,0.74,0.98,0.9,7.08,1.56,0.41
12/31/2001,3.18,3.85,1.25,11.53,2.54,5.61
1/31/2002,4.29,4.75,2.09,13.94,3.08,12.68
2/28/2002,3.33,4.26,2.1,14.9,3.29,5.03
3/31/2002,6.87,8.21,3.36,23.04,5.08,14.55
4/30/2002,5.61,5.8,11.16,77.62,17.13,13.22
5/31/2002,3.17,2.91,12.97,105.92,23.38,9.57
6/30/2002,1.24,1.17,4.25,37.01,8.17,8.78
7/31/2002,0.51,0.41,0.1,5.43,1.2,1.7
8/31/2002,0.31,0.23,0.01,0,0,2.54
9/30/2002,0.29,0.23,0.01,0,0,0.76
10/31/2002,0.37,0.29,0.01,0.6,0.13,0.22
11/30/2002,0.71,0.66,1.77,10.57,2.33,0
