Elevation (ft),Capacity (acre-feet)
6388.5,42360
6388.6,42471
6388.7,42581
6388.8,42692
6388.9,42803
6389,42914
6389.1,43026
6389.2,43137
6389.3,43248
6389.4,43360
6389.5,43472
6389.6,43584
6389.7,43696
6389.8,43808
6389.9,43920
6390,44033
6390.1,44145
6390.2,44258
6390.3,44371
6390.4,44484
6390.5,44597
6390.6,44710
6390.7,44823
6390.8,44937
6390.9,45051
6391,45164
6391.1,45278
6391.2,45392
6391.3,45506
6391.4,45621
6391.5,45735
6391.6,45850
6391.7,45965
6391.8,46079
6391.9,46194
6392,46309
6392.1,46425
6392.2,46540
6392.3,46656
6392.4,46771
6392.5,46887
6392.6,47003
6392.7,47119
6392.8,47235
6392.9,47352
6393,47468
6393.1,47585
6393.2,47701
6393.3,47818
6393.4,47935
6393.5,48052
6393.6,48170
6393.7,48287
6393.8,48405
6393.9,48522
6394,48640
6394.1,48758
6394.2,48876
6394.3,48994
6394.4,49113
6394.5,49231
6394.6,49350
6394.7,49469
6394.8,49588
6394.9,49707
6395,49826
6395.1,49945
6395.2,50065
6395.3,50184
6395.4,50304
6395.5,50424
6395.6,50544
6395.7,50664
6395.8,50784
6395.9,50905
6396,51025
6396.1,51146
6396.2,51267
6396.3,51388
6396.4,51509
6396.5,51630
6396.6,51752
6396.7,51873
6396.8,51995
6396.9,52117
6397,52239
6397.1,52361
6397.2,52483
6397.3,52605
6397.4,52728
6397.5,52850
6397.6,52973
6397.7,53096
6397.8,53219
6397.9,53342
6398,53466
6398.1,53589
6398.2,53713
6398.3,53836
6398.4,53960
6398.5,54084
6398.6,54209
6398.7,54333
6398.8,54457
6398.9,54582
6399,54707
6399.1,54832
6399.2,54957
6399.3,55082
6399.4,55207
6399.5,55332
6399.6,55458
6399.7,55584
6399.8,55710
6399.9,55836
6400,55962
6400.1,56088
6400.2,56214
6400.3,56341
6400.4,56468
6400.5,56595
6400.6,56722
6400.7,56849
6400.8,56976
6400.9,57103
6401,57231
6401.1,57359
6401.2,57487
6401.3,57615
6401.4,57743
6401.5,57871
6401.6,57999
6401.7,58128
6401.8,58257
6401.9,58386
6402,58515
6402.1,58644
6402.2,58773
6402.3,58902
6402.4,59032
6402.5,59162
6402.6,59291
6402.7,59421
6402.8,59552
6402.9,59682
6403,59812
6403.1,59943
6403.2,60074
6403.3,60205
6403.4,60336
6403.5,60467
6403.6,60598
6403.7,60729
6403.8,60861
6403.9,60993
6404,61125
6404.1,61257
6404.2,61389
6404.3,61521
6404.4,61654
6404.5,61786
6404.6,61919
6404.7,62052
6404.8,62185
6404.9,62318
6405,62452
6405.1,62585
6405.2,62719
6405.3,62852
6405.4,62986
6405.5,63120
6405.6,63255
6405.7,63389
6405.8,63524
6405.9,63658
6406,63793
6406.1,63928
6406.2,64063
6406.3,64198
6406.4,64334
6406.5,64469
6406.6,64605
6406.7,64741
6406.8,64877
6406.9,65013
6407,65149
6407.1,65286
6407.2,65423
6407.3,65559
6407.4,65696
6407.5,65833
6407.6,65970
6407.7,66108
6407.8,66245
6407.9,66383
6408,66521
6408.1,66659
6408.2,66797
6408.3,66935
6408.4,67073
6408.5,67212
6408.6,67351
6408.7,67490
6408.8,67629
6408.9,67768
6409,67907
6409.1,68047
6409.2,68186
6409.3,68326
6409.4,68466
6409.5,68606
6409.6,68746
6409.7,68887
6409.8,69027
6409.9,69168
6410,69309
6410.1,69450
6410.2,69591
6410.3,69732
6410.4,69873
6410.5,70015
6410.6,70157
6410.7,70299
6410.8,70441
6410.9,70583
6411,70725
6411.1,70868
6411.2,71011
6411.3,71153
6411.4,71296
6411.5,71440
6411.6,71583
6411.7,71726
6411.8,71870
6411.9,72014
6412,72158
6412.1,72302
6412.2,72446
6412.3,72590
6412.4,72735
6412.5,72880
6412.6,73024
6412.7,73169
6412.8,73315
6412.9,73460
6413,73605
6413.1,73751
6413.2,73897
6413.3,74043
6413.4,74189
6413.5,74335
6413.6,74482
6413.7,74628
6413.8,74775
6413.9,74922
6414,75069
6414.1,75216
6414.2,75363
6414.3,75511
6414.4,75659
6414.5,75807
6414.6,75955
6414.7,76103
6414.8,76251
6414.9,76400
6415,76548
6415.1,76697
6415.2,76846
6415.3,76995
6415.4,77144
6415.5,77294
6415.6,77443
6415.7,77593
6415.8,77743
6415.9,77893
6416,78044
6416.1,78194
6416.2,78345
6416.3,78495
6416.4,78646
6416.5,78797
6416.6,78948
6416.7,79100
6416.8,79251
6416.9,79403
6417,79555
6417.1,79707
6417.2,79859
6417.3,80012
6417.4,80164
6417.5,80317
6417.6,80470
6417.7,80623
6417.8,80776
6417.9,80929
6418,81083
