Elevation (ft),Capacity (acre-feet)
6300,314
6300.3,315
6300.5,316
6300.7,318
6300.8,320
6300.9,321
6301,322
6301.1,323
6301.2,325
6301.3,326
6301.4,328
6301.5,330
6301.6,331
6301.7,333
6301.8,335
6301.9,337
6302,339
6302.1,341
6302.2,343
6302.3,345
6302.4,347
6302.5,349
6302.6,351
6302.7,353
6302.8,355
6302.9,357
6303,360
6303.1,362
6303.2,364
6303.3,366
6303.4,369
6303.5,371
6303.6,374
6303.7,376
6303.8,378
6303.9,381
6304,383
6304.1,386
6304.2,388
6304.3,391
6304.4,393
6304.5,396
6304.6,399
6304.7,401
6304.8,404
6304.9,406
6305,409
6305.1,412
6305.2,415
6305.3,417
6305.4,420
6305.5,423
6305.6,425
6305.7,428
6305.8,431
6305.9,434
6306,437
6306.1,440
6306.2,442
6306.3,445
6306.4,448
6306.5,451
6306.6,454
6306.7,457
6306.8,460
6306.9,463
6307,466
6307.1,469
6307.2,472
6307.3,475
6307.4,478
6307.5,481
6307.6,484
6307.7,487
6307.8,491
6307.9,494
6308,497
6308.1,500
6308.2,503
6308.3,506
6308.4,510
6308.5,513
6308.6,516
6308.7,520
6308.8,523
6308.9,526
6309,530
6309.1,533
6309.2,536
6309.3,540
6309.4,543
6309.5,547
6309.6,550
6309.7,554
6309.8,557
6309.9,561
6310,564
6310.1,568
6310.2,572
6310.3,575
6310.4,579
6310.5,583
6310.6,586
6310.7,590
6310.8,594
6310.9,598
6311,602
6311.1,606
6311.2,609
6311.3,613
6311.4,617
6311.5,621
6311.6,625
6311.7,629
6311.8,634
6311.9,638
6312,642
6312.1,646
6312.2,650
6312.3,654
6312.4,659
6312.5,663
6312.6,667
6312.7,672
6312.8,676
6312.9,681
6313,685
6313.1,690
6313.2,694
6313.3,699
6313.4,703
6313.5,708
6313.6,713
6313.7,718
6313.8,722
6313.9,727
6314,732
6314.1,737
6314.2,742
6314.3,747
6314.4,752
6314.5,757
6314.6,762
6314.7,767
6314.8,773
6314.9,778
6315,783
6315.1,788
6315.2,794
6315.3,799
6315.4,805
6315.5,810
6315.6,816
6315.7,822
6315.8,827
6315.9,833
6316,839
6316.1,845
6316.2,851
6316.3,857
6316.4,863
6316.5,869
6316.6,875
6316.7,881
6316.8,887
6316.9,894
6317,900
6317.1,906
6317.2,913
6317.3,919
6317.4,926
6317.5,932
6317.6,939
6317.7,946
6317.8,953
6317.9,960
6318,967
6318.1,974
6318.2,981
6318.3,988
6318.4,995
6318.5,1002
6318.6,1010
6318.7,1017
6318.8,1024
6318.9,1032
6319,1040
6319.1,1047
6319.2,1055
6319.3,1063
6319.4,1071
6319.5,1079
6319.6,1087
6319.7,1095
6319.8,1103
6319.9,1111
6320,1120
6320.1,1128
6320.2,1136
6320.3,1145
6320.4,1154
6320.5,1162
6320.6,1171
6320.7,1180
6320.8,1189
6320.9,1198
6321,1207
6321.1,1216
6321.2,1225
6321.3,1235
6321.4,1244
6321.5,1254
6321.6,1263
6321.7,1273
6321.8,1283
6321.9,1292
6322,1302
6322.1,1312
6322.2,1322
6322.3,1333
6322.4,1343
6322.5,1353
6322.6,1364
6322.7,1374
6322.8,1385
6322.9,1396
6323,1406
6323.1,1417
6323.2,1428
6323.3,1439
6323.4,1451
6323.5,1462
6323.6,1473
6323.7,1485
6323.8,1496
6323.9,1508
6324,1520
6324.1,1532
6324.2,1544
6324.3,1556
6324.4,1568
6324.5,1580
6324.6,1593
6324.7,1605
6324.8,1618
6324.9,1630
6325,1643
6325.1,1656
6325.2,1669
6325.3,1682
6325.4,1695
6325.5,1709
6325.6,1722
6325.7,1736
6325.8,1749
6325.9,1763
6326,1777
6326.1,1791
6326.2,1805
6326.3,1819
6326.4,1834
6326.5,1848
6326.6,1863
6326.7,1877
6326.8,1892
6326.9,1907
6327,1922
6327.1,1937
6327.2,1952
6327.3,1968
6327.4,1983
6327.5,1999
6327.6,2015
6327.7,2030
6327.8,2046
6327.9,2062
6328,2079
6328.1,2095
6328.2,2112
6328.3,2128
6328.4,2145
6328.5,2162
6328.6,2179
6328.7,2196
6328.8,2213
6328.9,2231
6329,2248
6329.1,2266
6329.2,2283
6329.3,2301
6329.4,2319
6329.5,2338
6329.6,2356
6329.7,2374
6329.8,2393
6329.9,2412
6330,2430
6330.1,2449
6330.2,2469
6330.3,2488
6330.4,2507
6330.5,2527
6330.6,2546
6330.7,2566
6330.8,2586
6330.9,2606
6331,2627
6331.1,2647
6331.2,2668
6331.3,2688
6331.4,2709
6331.5,2730
6331.6,2751
6331.7,2772
6331.8,2794
6331.9,2815
6332,2837
6332.1,2859
6332.2,2881
6332.3,2903
6332.4,2926
6332.5,2948
6332.6,2971
6332.7,2993
6332.8,3016
6332.9,3040
6333,3063
6333.1,3086
6333.2,3110
6333.3,3134
6333.4,3157
6333.5,3182
6333.6,3206
6333.7,3230
6333.8,3255
6333.9,3279
6334,3304
6334.1,3329
6334.2,3354
6334.3,3380
6334.4,3405
6334.5,3431
6334.6,3457
6334.7,3483
6334.8,3509
6334.9,3535
6335,3562
6335.1,3589
6335.2,3616
6335.3,3643
6335.4,3670
6335.5,3697
6335.6,3725
6335.7,3753
6335.8,3781
6335.9,3809
6336,3837
6336.1,3865
6336.2,3894
6336.3,3923
6336.4,3952
6336.5,3981
6336.6,4010
6336.7,4040
6336.8,4070
6336.9,4099
6337,4130
6337.1,4160
6337.2,4190
6337.3,4221
6337.4,4252
6337.5,4283
6337.6,4314
6337.7,4345
6337.8,4377
6337.9,4409
6338,4441
6338.1,4473
6338.2,4505
6338.3,4538
6338.4,4570
6338.5,4603
6338.6,4636
6338.7,4670
6338.8,4703
6338.9,4737
6339,4771
6339.1,4805
6339.2,4839
6339.3,4874
6339.4,4908
6339.5,4943
6339.6,4978
6339.7,5014
6339.8,5049
6339.9,5085
6340,5121
6340.1,5157
6340.2,5193
6340.3,5230
6340.4,5266
6340.5,5303
6340.6,5340
6340.7,5378
6340.8,5415
6340.9,5453
6341,5491
6341.1,5529
6341.2,5568
6341.3,5606
6341.4,5645
6341.5,5684
6341.6,5723
6341.7,5763
6341.8,5802
6341.9,5842
6342,5882
6342.1,5923
6342.2,5963
6342.3,6004
6342.4,6045
6342.5,6086
6342.6,6128
6342.7,6169
6342.8,6211
6342.9,6253
6343,6296
6343.1,6338
6343.2,6381
6343.3,6424
6343.4,6467
6343.5,6511
6343.6,6554
6343.7,6598
6343.8,6642
6343.9,6687
6344,6731
6344.1,6776
6344.2,6821
6344.3,6867
6344.4,6912
6344.5,6958
6344.6,7004
6344.7,7050
6344.8,7097
6344.9,7143
6345,7190
6345.1,7237
6345.2,7285
6345.3,7333
6345.4,7380
6345.5,7429
6345.6,7477
6345.7,7526
6345.8,7575
6345.9,7624
6346,7673
6346.1,7723
6346.2,7772
6346.3,7823
6346.4,7873
6346.5,7923
6346.6,7974
6346.7,8025
6346.8,8077
6346.9,8128
6347,8180
6347.1,8232
6347.2,8285
6347.3,8337
6347.4,8390
6347.5,8443
6347.6,8497
6347.7,8550
6347.8,8604
6347.9,8658
6348,8713
6348.1,8767
6348.2,8822
6348.3,8877
6348.4,8933
6348.5,8989
6348.6,9044
6348.7,9101
6348.8,9157
6348.9,9214
6349,9271
6349.1,9328
6349.2,9386
6349.3,9444
6349.4,9502
6349.5,9560
6349.6,9619
6349.7,9678
6349.8,9737
6349.9,9796
6350,9855
6350.1,9910
6350.2,9966
6350.3,10021
6350.4,10077
6350.5,10133
6350.6,10190
6350.7,10246
6350.8,10303
6350.9,10359
6351,10416
6351.1,10474
6351.2,10531
6351.3,10589
6351.4,10646
6351.5,10704
6351.6,10762
6351.7,10821
6351.8,10879
6351.9,10938
6352,10996
6352.1,11055
6352.2,11115
6352.3,11174
6352.4,11234
6352.5,11293
6352.6,11353
6352.7,11413
6352.8,11473
6352.9,11534
6353,11594
6353.1,11655
6353.2,11716
6353.3,11777
6353.4,11838
6353.5,11900
6353.6,11961
6353.7,12023
6353.8,12085
6353.9,12147
6354,12210
6354.1,12272
6354.2,12335
6354.3,12398
6354.4,12461
6354.5,12524
6354.6,12587
6354.7,12650
6354.8,12714
6354.9,12778
6355,12842
6355.1,12906
6355.2,12970
6355.3,13035
6355.4,13099
6355.5,13164
6355.6,13229
6355.7,13294
6355.8,13360
6355.9,13425
6356,13491
6356.1,13557
6356.2,13623
6356.3,13689
6356.4,13755
6356.5,13821
6356.6,13888
6356.7,13955
6356.8,14022
6356.9,14089
6357,14156
6357.1,14223
6357.2,14291
6357.3,14359
6357.4,14426
6357.5,14495
6357.6,14563
6357.7,14631
6357.8,14700
6357.9,14768
6358,14837
6358.1,14906
6358.2,14975
6358.3,15044
6358.4,15114
6358.5,15183
6358.6,15253
6358.7,15323
6358.8,15393
6358.9,15463
6359,15534
6359.1,15604
6359.2,15675
6359.3,15746
6359.4,15817
6359.5,15888
6359.6,15959
6359.7,16031
6359.8,16102
6359.9,16174
6360,16246
6360.1,16318
6360.2,16390
6360.3,16462
6360.4,16535
6360.5,16608
6360.6,16680
6360.7,16753
6360.8,16826
6360.9,16900
6361,16973
6361.1,17047
6361.2,17120
6361.3,17194
6361.4,17268
6361.5,17342
6361.6,17417
6361.7,17491
6361.8,17566
6361.9,17640
6362,17715
6362.1,17790
6362.2,17865
6362.3,17941
6362.4,18016
6362.5,18092
6362.6,18168
6362.7,18243
6362.8,18319
6362.9,18396
6363,18472
6363.1,18548
6363.2,18625
6363.3,18702
6363.4,18779
6363.5,18856
6363.6,18933
6363.7,19010
6363.8,19088
6363.9,19165
6364,19243
6364.1,19321
6364.2,19399
6364.3,19477
6364.4,19556
6364.5,19634
6364.6,19713
6364.7,19792
6364.8,19870
6364.9,19949
6365,20029
6365.1,20108
6365.2,20187
6365.3,20267
6365.4,20347
6365.5,20427
6365.6,20507
6365.7,20587
6365.8,20667
6365.9,20748
6366,20828
6366.1,20909
6366.2,20990
6366.3,21071
6366.4,21152
6366.5,21233
6366.6,21315
6366.7,21396
6366.8,21478
6366.9,21560
6367,21642
6367.1,21724
6367.2,21806
6367.3,21889
6367.4,21971
6367.5,22054
6367.6,22137
6367.7,22220
6367.8,22303
6367.9,22386
6368,22469
6368.1,22553
6368.2,22636
6368.3,22720
6368.4,22804
6368.5,22888
6368.6,22972
6368.7,23057
6368.8,23141
6368.9,23226
6369,23310
6369.1,23395
6369.2,23480
6369.3,23565
6369.4,23651
6369.5,23736
6369.6,23822
6369.7,23907
6369.8,23993
6369.9,24079
6370,24165
6370.1,24251
6370.2,24338
6370.3,24424
6370.4,24511
6370.5,24597
6370.6,24684
6370.7,24771
6370.8,24858
6370.9,24946
6371,25033
6371.1,25121
6371.2,25208
6371.3,25296
6371.4,25384
6371.5,25472
6371.6,25561
6371.7,25649
6371.8,25737
6371.9,25826
6372,25915
6372.1,26004
6372.2,26093
6372.3,26182
6372.4,26271
6372.5,26361
6372.6,26450
6372.7,26540
6372.8,26630
6372.9,26720
6373,26810
6373.1,26900
6373.2,26990
6373.3,27081
6373.4,27171
6373.5,27262
6373.6,27353
6373.7,27444
6373.8,27535
6373.9,27626
6374,27718
6374.1,27809
6374.2,27901
6374.3,27993
6374.4,28085
6374.5,28177
6374.6,28269
6374.7,28361
6374.8,28454
6374.9,28547
6375,28639
6375.1,28732
6375.2,28825
6375.3,28918
6375.4,29012
6375.5,29105
6375.6,29198
6375.7,29292
6375.8,29386
6375.9,29480
6376,29574
6376.1,29668
6376.2,29762
6376.3,29857
6376.4,29951
6376.5,30046
6376.6,30141
6376.7,30236
6376.8,30331
6376.9,30426
6377,30522
6377.1,30617
6377.2,30713
6377.3,30808
6377.4,30904
6377.5,31000
6377.6,31096
6377.7,31193
6377.8,31289
6377.9,31386
6378,31482
6378.1,31579
6378.2,31676
6378.3,31773
6378.4,31870
6378.5,31968
6378.6,32065
6378.7,32163
6378.8,32260
6378.9,32358
6379,32456
6379.1,32554
6379.2,32652
6379.3,32751
6379.4,32849
6379.5,32948
6379.6,33047
6379.7,33146
6379.8,33245
6379.9,33344
6380,33443
6380.1,33542
6380.2,33642
6380.3,33742
6380.4,33841
6380.5,33941
6380.6,34041
6380.7,34142
6380.8,34242
6380.9,34342
6381,34443
6381.1,34544
6381.2,34645
6381.3,34746
6381.4,34847
6381.5,34948
6381.6,35049
6381.7,35151
6381.8,35252
6381.9,35354
6382,35456
6382.1,35558
6382.2,35660
6382.3,35762
6382.4,35865
6382.5,35967
6382.6,36070
6382.7,36173
6382.8,36276
6382.9,36379
6383,36482
6383.1,36585
6383.2,36689
6383.3,36793
6383.4,36896
6383.5,37000
6383.6,37104
6383.7,37208
6383.8,37312
6383.9,37417
6384,37521
6384.1,37626
6384.2,37731
6384.3,37836
6384.4,37941
6384.5,38046
6384.6,38151
6384.7,38257
6384.8,38362
6384.9,38468
6385,38574
6385.1,38680
6385.2,38786
6385.3,38892
6385.4,38998
6385.5,39105
6385.6,39211
6385.7,39318
6385.8,39425
6385.9,39532
6386,39639
6386.1,39746
6386.2,39854
6386.3,39961
6386.4,40069
6386.5,40177
6386.6,40285
6386.7,40393
6386.8,40501
6386.9,40609
6387,40718
6387.1,40826
6387.2,40935
6387.3,41044
6387.4,41153
6387.5,41262
6387.6,41371
6387.7,41480
6387.8,41590
6387.9,41700
6388,41809
6388.1,41919
6388.2,42029
6388.3,42139
6388.4,42250
