,I_MFM008,I_SFM005,I_COL003,I_SLTSP,I_UBEAR,I_NFM010,I_TGC003,I_NHGAN,I_PARDE,I_CMCHE,I_JNKSN,I_CMP001,I_CMP014,I_CSM035,I_AMADR,I_DSC035,I_DEE023
2015-07-31,0.12,0.08,0.03,5.01,1.11,0.0,0.0,0.65,0.05,0.05,0.02,0.05,0.13,0.46,0.05,0.03,0.0
2015-08-31,0.13,0.02,0.0,0.53,0.12,0.0,0.0,0.15,0.01,0.01,0.02,0.04,0.12,0.37,0.04,0.01,0.0
2015-09-30,0.11,0.01,0.0,1.32,0.29,0.0,0.0,0.04,0.0,0.0,0.02,0.04,0.1,0.27,0.03,0.01,0.0
2015-10-31,0.15,0.1,0.01,1.11,0.25,0.0,0.0,0.12,0.01,0.01,0.03,0.03,0.07,0.48,0.05,0.07,0.1
2015-11-30,0.31,0.33,1.26,4.02,0.89,0.0,0.0,0.13,0.01,0.01,0.11,0.09,0.23,1.72,0.17,0.26,0.35
2015-12-31,2.29,2.92,1.67,13.48,2.98,2.99,0.22,15.23,1.07,1.07,0.76,0.65,1.75,15.67,1.51,3.63,3.48
2016-01-31,5.72,6.71,2.18,23.29,5.14,9.09,0.68,36.42,2.55,2.55,2.74,1.41,3.81,45.6,4.31,11.72,8.68
2016-02-29,4.34,5.18,3.21,31.82,7.02,4.11,0.31,9.9,0.69,0.69,2.2,1.06,2.85,36.21,3.4,9.59,5.92
2016-03-31,15.05,17.37,9.32,61.54,13.58,28.23,2.11,57.68,4.04,4.04,7.51,4.29,11.58,123.06,11.77,28.25,11.08
2016-04-30,4.96,4.83,12.78,75.36,16.63,20.76,1.55,6.84,0.48,0.48,1.21,1.78,4.81,32.41,3.23,3.16,0.57
2016-05-31,2.76,2.54,12.94,95.42,21.06,10.21,0.76,2.4,0.17,0.17,0.5,0.92,2.48,15.35,1.55,1.14,0.09
2016-06-30,0.66,0.95,4.21,49.38,10.9,0.0,0.0,1.67,0.12,0.12,0.12,0.26,0.69,4.01,0.41,0.29,0.01
2016-07-31,0.53,0.49,0.12,7.12,1.57,0.0,0.0,1.88,0.13,0.13,0.12,0.23,0.61,2.91,0.31,0.18,0.01
2016-08-31,0.24,0.21,0.01,1.75,0.39,0.0,0.0,2.28,0.16,0.16,0.08,0.11,0.29,1.21,0.14,0.05,0.0
2016-09-30,0.16,0.17,0.0,1.71,0.38,0.0,0.0,1.09,0.08,0.08,0.02,0.02,0.05,0.21,0.02,0.01,0.0
2016-10-31,0.57,0.96,2.8,25.31,5.59,0.0,0.0,2.02,0.14,0.14,0.42,0.28,0.75,6.13,0.61,1.01,1.34
2016-11-30,1.05,1.07,1.23,13.55,2.99,0.0,0.0,2.69,0.19,0.19,0.55,0.46,1.26,10.98,1.07,2.18,2.59
2016-12-31,4.47,6.5,8.73,46.49,10.26,7.75,0.58,21.0,1.47,1.47,3.13,2.1,5.67,60.42,5.73,15.89,14.09
2017-01-31,30.47,40.82,10.47,72.93,16.1,61.9,4.63,187.31,13.11,13.11,17.07,7.34,19.81,278.99,25.99,80.03,52.87
2017-02-28,56.98,67.26,13.76,81.22,17.93,139.28,10.41,227.66,15.94,15.94,22.83,10.68,28.83,370.45,34.8,97.29,39.05
2017-03-31,20.73,22.28,8.82,57.44,12.68,39.71,2.97,44.0,3.08,3.08,6.96,4.06,10.97,109.62,10.58,23.22,6.76
2017-04-30,23.84,24.04,13.79,79.56,17.56,49.13,3.67,38.32,2.68,2.68,4.18,5.89,15.91,115.52,11.38,10.49,1.45
2017-05-31,10.72,9.71,24.42,153.95,33.98,56.21,4.2,11.3,0.79,0.79,1.65,2.8,7.57,51.46,5.1,4.05,0.26
2017-06-30,4.21,3.81,16.29,153.12,33.8,22.49,1.68,5.77,0.4,0.4,0.64,1.1,2.98,18.19,1.84,1.36,0.06
2017-07-31,2.51,1.94,1.8,41.38,9.13,0.0,0.0,3.79,0.27,0.27,0.22,0.38,1.03,4.65,0.51,0.2,0.0
2017-08-31,1.38,1.13,0.02,6.0,1.32,0.0,0.0,2.2,0.15,0.15,0.16,0.18,0.48,2.25,0.25,0.1,0.0
2017-09-30,0.77,0.83,0.01,3.57,0.79,0.0,0.0,1.29,0.09,0.09,0.16,0.16,0.43,2.06,0.23,0.09,0.0
2017-10-31,0.64,0.76,0.01,2.31,0.51,0.0,0.0,0.62,0.04,0.04,0.14,0.12,0.31,2.27,0.23,0.35,0.47
2017-11-30,1.59,1.62,4.21,25.59,5.65,0.0,0.0,10.83,0.76,0.76,0.47,0.41,1.11,9.53,0.93,2.11,2.13
2017-12-31,1.13,0.81,0.75,7.44,1.64,1.17,0.09,1.86,0.13,0.13,0.26,0.2,0.55,5.36,0.51,1.32,1.16
2018-01-31,2.28,2.12,3.09,21.94,4.84,1.84,0.14,7.81,0.55,0.55,1.3,0.65,1.76,20.32,1.93,5.05,4.25
2018-02-28,1.38,0.83,1.17,9.83,2.17,1.49,0.11,2.38,0.17,0.17,0.55,0.27,0.73,9.13,0.86,2.38,1.57
2018-03-31,12.52,14.78,5.87,47.22,10.42,29.5,2.2,53.36,3.74,3.74,6.86,3.65,9.86,116.22,10.98,29.55,15.37
2018-04-30,11.74,10.7,14.45,96.65,21.33,36.21,2.71,18.66,1.31,1.31,4.09,3.36,9.06,75.28,7.38,12.35,3.55
2018-05-31,4.05,3.15,6.69,72.34,15.97,4.29,0.32,5.16,0.36,0.36,0.57,1.01,2.73,16.93,1.71,1.26,0.12
2018-06-30,1.47,1.59,0.89,17.3,3.82,0.27,0.02,2.99,0.21,0.21,0.17,0.35,0.96,5.59,0.57,0.4,0.02
2018-07-31,0.71,0.81,0.03,1.84,0.41,0.46,0.03,1.93,0.14,0.14,0.08,0.13,0.35,1.86,0.19,0.13,0.01
2018-08-31,0.45,0.41,0.0,1.35,0.3,0.0,0.0,0.65,0.05,0.05,0.06,0.12,0.32,1.29,0.14,0.05,0.0
2018-09-30,0.3,0.3,0.0,0.62,0.14,0.0,0.0,0.86,0.06,0.06,0.08,0.09,0.24,1.0,0.11,0.04,0.0
2018-10-31,0.81,0.47,0.01,1.42,0.31,0.0,0.0,0.83,0.06,0.06,0.1,0.06,0.17,1.39,0.14,0.22,0.3
2018-11-30,0.66,0.94,0.2,3.03,0.67,0.0,0.0,3.12,0.22,0.22,0.2,0.15,0.39,3.15,0.31,0.51,0.68
2018-12-31,1.06,1.14,0.72,5.95,1.31,0.0,0.0,3.82,0.27,0.27,0.33,0.28,0.76,6.5,0.63,1.31,1.54
2019-01-31,6.63,7.64,1.17,15.59,3.44,4.98,0.37,34.06,2.38,2.38,2.5,1.56,4.2,45.38,4.31,11.81,10.38
2019-02-28,18.52,25.59,2.42,33.35,7.36,28.61,2.14,124.74,8.73,8.73,8.56,3.91,10.57,143.21,13.37,40.18,26.77
2019-03-31,28.75,33.33,3.59,32.3,7.13,46.62,3.48,86.0,6.02,6.02,10.67,5.02,13.56,174.6,16.39,47.06,20.29
2019-04-30,21.56,22.82,16.07,97.45,21.51,44.48,3.32,23.36,1.64,1.64,6.77,3.69,9.97,105.05,10.09,22.44,6.85
2019-05-31,14.57,15.38,17.3,130.86,28.88,33.77,2.52,17.72,1.24,1.24,2.89,3.69,9.97,73.48,7.24,8.02,1.51
2019-06-30,7.56,6.94,21.09,148.07,32.68,51.82,3.87,8.63,0.6,0.6,1.27,2.17,5.85,38.89,3.87,3.03,0.22
2019-07-31,2.61,2.83,2.42,39.43,8.7,2.24,0.17,7.31,0.51,0.51,0.29,0.51,1.38,8.05,0.82,0.59,0.03
2019-08-31,1.71,1.35,0.05,3.76,0.83,3.66,0.27,2.8,0.2,0.2,0.16,0.27,0.72,3.26,0.35,0.15,0.0
2019-09-30,1.29,0.89,0.01,2.09,0.46,2.37,0.18,0.76,0.05,0.05,0.18,0.19,0.51,2.36,0.26,0.11,0.0
2019-10-31,1.01,0.92,0.01,0.99,0.22,1.9,0.14,0.85,0.06,0.06,0.14,0.13,0.36,2.49,0.25,0.39,0.51
2019-11-30,1.04,1.01,0.01,1.01,0.22,2.68,0.2,1.69,0.12,0.12,0.13,0.13,0.35,2.57,0.26,0.51,0.55
2019-12-31,4.48,5.03,0.56,10.11,2.23,5.83,0.44,12.94,0.91,0.91,0.85,0.57,1.54,14.78,1.43,3.28,3.0
2020-01-31,2.26,2.38,0.73,6.89,1.52,5.52,0.41,5.31,0.37,0.37,0.56,0.32,0.86,9.5,0.9,2.23,1.55
2020-02-29,1.71,1.51,1.54,8.14,1.8,2.34,0.17,3.23,0.23,0.23,0.43,0.28,0.75,8.02,0.76,1.88,1.3
2020-03-31,4.27,4.89,2.39,15.51,3.42,6.44,0.48,23.77,1.66,1.66,1.92,0.97,2.63,30.29,2.88,7.13,4.28
2020-04-30,9.08,10.85,8.59,58.03,12.81,22.21,1.66,26.89,1.88,1.88,3.36,2.39,6.45,57.82,5.63,11.57,4.38
2020-05-31,3.71,4.73,10.02,95.28,21.03,11.5,0.86,5.11,0.36,0.36,0.74,1.29,3.48,20.83,2.12,1.72,0.29
2020-06-30,1.9,1.48,1.24,21.54,4.75,2.15,0.16,2.39,0.17,0.17,0.17,0.37,1.0,5.56,0.57,0.37,0.02
2020-07-31,1.4,0.49,0.05,4.02,0.89,0.0,0.0,1.34,0.09,0.09,0.07,0.16,0.44,2.24,0.23,0.15,0.01
2020-08-31,0.4,0.33,0.01,1.42,0.31,0.0,0.0,1.44,0.1,0.1,0.05,0.1,0.28,1.17,0.13,0.06,0.0
2020-09-30,0.58,0.29,0.0,0.89,0.2,0.0,0.0,0.84,0.06,0.06,0.05,0.07,0.19,0.7,0.08,0.03,0.0
2020-10-31,0.24,0.29,0.0,1.15,0.25,0.0,0.0,0.12,0.01,0.01,0.05,0.06,0.17,0.88,0.09,0.09,0.14
2020-11-30,0.43,0.6,0.02,2.17,0.48,0.41,0.03,0.39,0.03,0.03,0.08,0.12,0.33,1.88,0.19,0.24,0.31
2020-12-31,0.61,0.83,0.13,2.49,0.55,1.14,0.09,1.51,0.11,0.11,0.13,0.14,0.39,2.61,0.26,0.36,0.41
2021-01-31,1.01,1.73,0.45,3.1,0.68,1.99,0.15,12.44,0.87,0.87,0.49,0.45,1.21,9.15,0.91,1.26,1.22
2021-02-28,1.72,1.64,1.12,8.31,1.84,3.23,0.24,6.57,0.46,0.46,0.68,0.54,1.46,11.68,1.15,1.65,1.29
2021-03-31,2.58,2.48,1.78,11.83,2.61,4.71,0.35,7.73,0.54,0.54,0.8,0.82,2.2,15.39,1.54,2.05,1.08
2021-04-30,1.89,1.52,7.29,45.0,9.93,8.22,0.61,3.48,0.24,0.24,0.62,0.81,2.19,12.02,1.26,1.15,0.42
2021-05-31,0.63,0.54,4.74,50.79,11.21,6.85,0.51,2.66,0.19,0.19,0.18,0.48,1.29,5.54,0.6,0.26,0.04
2021-06-30,1.13,0.4,0.27,7.21,1.59,0.0,0.0,1.2,0.08,0.08,0.05,0.16,0.44,1.85,0.2,0.09,0.0
2021-07-31,0.95,0.12,0.02,1.09,0.24,0.0,0.0,0.71,0.05,0.05,0.02,0.06,0.16,0.58,0.07,0.03,0.0
2021-08-31,0.18,0.06,0.0,1.2,0.26,0.0,0.0,0.62,0.04,0.04,0.02,0.05,0.12,0.41,0.05,0.02,0.0
2021-09-30,0.11,0.06,0.0,1.19,0.26,0.0,0.0,0.46,0.03,0.03,0.02,0.05,0.13,0.34,0.04,0.01,0.0
2021-10-31,1.38,,,,,,,,,,,,,,1.82,,
2021-11-30,0.53,,,,,,,,,,,,,,0.45,,
2021-12-31,4.12,,,,,,,,,,,,,,4.82,,
2022-01-31,3.16,,,,,,,,,,,,,,2.12,,
2022-02-28,1.99,,,,,,,,,,,,,,1.24,,
2022-03-31,2.49,,,,,,,,,,,,,,1.36,,
2022-04-30,3.91,,,,,,,,,,,,,,3.01,,
2022-05-31,1.98,,,,,,,,,,,,,,1.51,,
2022-06-30,1.2,,,,,,,,,,,,,,0.4,,
2022-07-31,1.5,,,,,,,,,,,,,,0.19,,
2022-08-31,1.57,,,,,,,,,,,,,,0.12,,
2022-09-30,0.55,,,,,,,,,,,,,,0.12,,
2022-10-31,0.23,,,,,,,,,,,,,,0.13,,
2022-11-30,0.39,,,,,,,,,,,,,,0.26,,
2022-12-31,8.36,,,,,,,,,,,,,,11.18,,
2023-01-31,22.82,,,,,,,,,,,,,,25.0,,
2023-02-28,5.76,,,,,,,,,,,,,,5.04,,
2023-03-31,37.93,,,,,,,,,,,,,,21.59,,
2023-04-30,18.54,,,,,,,,,,,,,,9.42,,
2023-05-31,15.94,,,,,,,,,,,,,,6.46,,
2023-06-30,5.3,,,,,,,,,,,,,,2.28,,
2023-07-31,2.79,,,,,,,,,,,,,,0.67,,
2023-08-31,1.47,,,,,,,,,,,,,,0.38,,
2023-09-30,1.28,,,,,,,,,,,,,,0.36,,
2023-10-31,1.54,,,,,,,,,,,,,,0.34,,
2023-11-30,0.79,,,,,,,,,,,,,,0.43,,
2023-12-31,1.49,,,,,,,,,,,,,,0.65,,
2024-01-31,2.92,,,,,,,,,,,,,,2.33,,
2024-02-29,7.58,,,,,,,,,,,,,,6.65,,
2024-03-31,10.21,,,,,,,,,,,,,,10.29,,
2024-04-30,9.13,,,,,,,,,,,,,,6.34,,
2024-05-31,4.93,,,,,,,,,,,,,,3.26,,
2024-06-30,1.98,,,,,,,,,,,,,,0.83,,
2024-07-31,1.31,,,,,,,,,,,,,,0.38,,
2024-08-31,0.65,,,,,,,,,,,,,,0.26,,
