,I_DCC010,I_FRMDW,I_MFA036,I_RUB047,I_LRB004,I_HHOLE,I_LOONL,I_SFR006,I_GERLE,I_STMPY,I_PLC007,I_NLC003,I_SLC003,I_LNG012,I_RUB002,I_NMA003,I_MFA025,I_MFA023,I_MFA001,I_ALOHA,I_PYR001,I_CAPLS,I_SILVR,I_LKVLY,I_NNA013,I_NFA054,I_CYN009,I_NFA022,I_NFA016,I_SFA066,I_SFA076,I_SLF009,I_ALD004,I_ALD002,I_PLM001,I_UNVLY,I_ICEHS,I_SLV006,I_SLV015,I_BSH003,I_SFA040,I_RCK001,I_SFA030,I_WBR001,I_FOLSM,I_ECHOL
1941-06-30,4.46,18.96,3.47,23.14,5.33,37.17,2.42,3.59,5.36,1.39,0.55,0.31,0.55,0.82,0,8.56,0.0,0.0,0.0,3.46,5.54,10.74,10.04,0.63,0.64,30.15,0.21,18.36,1.3,20.08,11.79,13.46,1.16,0.21,0.2,20.39,12.2,2.46,3.45,0.78,3.72,2.61,0.58,0.49,0.0,4.45
1941-07-31,0.62,4.9,1.25,7.64,1.47,8.16,0.87,0.37,0.55,0.72,0.28,0.06,0.11,0.27,0,3.47,3.4,0.59,0.0,1.42,2.29,5.06,1.72,0.36,0.37,8.07,0.05,4.54,0.32,5.03,2.95,3.37,0.21,0.04,0.05,4.35,3.69,1.95,2.74,0.62,0.0,1.52,7.28,0.14,0.0,2.26
1941-08-31,0.1,1.29,0.62,1.26,0.22,1.36,0.37,0.0,0.0,0.4,0.16,0.02,0.03,0.09,0,1.87,2.44,0.42,0.0,0.31,0.5,0.89,0.0,0.04,0.04,3.21,0.02,2.01,0.14,1.14,0.67,0.76,0.03,0.01,0.02,0.68,0.5,0.77,1.08,0.24,1.27,0.98,5.31,0.09,0.0,0.65
1941-09-30,0.05,0.58,0.34,0.64,0.08,0.71,0.17,0.02,0.03,0.2,0.08,0.01,0.01,0.07,0,1.03,3.84,0.66,0.0,0.09,0.15,0.18,0.0,0.11,0.11,2.38,0.02,1.33,0.09,0.7,0.41,0.47,0.02,0.0,0.05,0.44,0.21,0.65,0.91,0.21,0.6,1.07,6.31,0.17,0.0,0.38
1941-10-31,0.12,0.56,0.31,0.84,0.12,0.79,0.24,0.08,0.12,0.27,0.11,0.01,0.02,0.07,0,1.0,2.18,0.38,0.0,0.14,0.22,0.03,0.0,0.0,0.0,2.53,0.02,1.65,0.12,0.58,0.34,0.39,0.03,0.01,0.01,0.54,0.17,0.63,0.88,0.2,1.06,1.02,2.32,0.26,0.0,0.32
1941-11-30,0.62,2.66,1.26,2.91,0.69,4.83,0.87,0.54,0.81,0.88,0.35,0.09,0.16,0.18,0,4.53,0.0,0.0,0.0,0.47,0.76,0.62,0.42,0.09,0.09,5.81,0.04,3.6,0.25,1.69,0.99,1.13,0.14,0.02,0.09,3.49,1.67,0.55,0.77,0.17,2.97,1.82,0.46,1.15,0.0,0.55
1941-12-31,3.98,14.02,7.66,9.26,2.0,25.99,3.39,4.23,6.32,4.04,1.6,0.72,1.3,2.05,0,29.7,3.29,0.57,12.14,1.22,1.95,3.05,3.17,0.33,0.34,53.2,0.36,34.0,2.41,6.11,3.59,4.1,1.15,0.21,1.48,15.53,4.37,3.94,5.53,1.24,2.59,8.59,19.19,11.41,1.39,1.49
1942-01-31,3.68,14.41,10.67,7.2,1.36,24.95,2.99,4.99,7.45,5.6,2.22,1.02,1.83,4.73,0,43.57,51.31,8.84,22.51,0.89,1.43,1.48,1.98,1.37,1.4,87.24,0.59,54.08,3.83,8.28,4.86,5.55,5.28,0.95,2.81,19.71,3.75,8.89,12.48,2.81,22.46,16.07,22.93,27.59,41.62,0.88
1942-02-28,2.23,9.15,7.35,3.97,0.88,14.68,1.59,3.16,4.72,3.43,1.36,0.65,1.16,5.28,0,28.17,81.68,14.08,12.32,0.43,0.69,0.35,0.93,0.18,0.19,83.21,0.57,53.85,3.81,6.25,3.67,4.19,3.79,0.68,1.22,15.18,2.83,8.4,11.79,2.65,29.25,14.31,31.61,25.72,50.63,0.45
1942-03-31,2.55,10.31,7.59,4.34,1.04,16.49,1.89,3.85,5.75,3.56,1.41,0.72,1.3,1.92,0,30.53,6.01,1.04,25.07,0.52,0.83,0.43,1.35,0.05,0.05,35.33,0.24,22.93,1.62,7.65,4.49,5.13,3.51,0.63,1.19,10.45,3.14,6.8,9.55,2.15,10.58,6.04,2.31,13.74,8.71,0.48
1942-04-30,6.77,26.95,15.76,13.4,3.39,43.4,5.02,9.83,14.68,6.82,2.7,1.52,2.73,4.37,0,58.06,14.47,2.49,20.97,1.42,2.28,2.73,4.26,0.4,0.42,82.27,0.56,52.78,3.74,22.91,13.45,15.36,9.39,1.68,2.39,39.48,9.58,8.1,11.37,2.56,10.02,10.72,16.19,11.5,36.82,1.36
1942-05-31,8.97,34.72,11.02,26.06,6.13,58.59,6.13,10.04,15.0,4.37,1.73,1.09,1.97,5.4,0,32.72,51.08,8.8,7.79,2.96,4.74,7.53,9.21,0.8,0.82,89.51,0.61,56.7,4.01,34.47,20.23,23.11,9.16,1.64,1.05,47.71,17.77,9.88,13.87,3.12,13.86,7.89,25.23,4.07,15.1,3.21
1942-06-30,8.28,34.29,7.21,36.12,7.9,64.12,4.8,7.25,10.83,2.77,1.1,0.68,1.23,2.51,0,19.47,8.65,1.49,0.0,5.15,8.27,14.42,15.26,1.54,1.58,58.1,0.4,34.74,2.46,36.59,21.47,24.53,3.53,0.63,0.51,45.01,24.34,5.89,8.27,1.86,3.99,5.09,2.16,1.5,7.86,5.86
1942-07-31,1.27,8.58,2.1,12.31,2.29,14.82,1.37,0.82,1.22,1.17,0.47,0.12,0.21,0.53,0,5.89,7.75,1.34,0.0,2.22,3.56,7.42,3.64,0.56,0.57,12.9,0.09,7.27,0.51,9.09,5.33,6.09,0.39,0.07,0.08,9.0,6.39,2.63,3.69,0.83,0.0,2.41,13.34,0.28,0.0,3.17
1942-08-31,0.12,1.63,0.82,1.56,0.25,1.73,0.46,0.0,0.0,0.53,0.21,0.02,0.04,0.14,0,2.49,4.46,0.77,0.0,0.37,0.6,1.36,0.0,0.09,0.1,3.71,0.03,2.22,0.16,1.38,0.81,0.93,0.03,0.01,0.03,0.86,0.68,1.01,1.42,0.32,2.7,1.46,7.47,0.15,0.0,0.83
1942-09-30,0.06,0.66,0.37,0.7,0.08,0.79,0.19,0.02,0.03,0.24,0.09,0.01,0.02,0.07,0,1.2,3.91,0.67,0.0,0.09,0.14,0.15,0.0,0.06,0.06,2.36,0.02,1.42,0.1,0.83,0.49,0.56,0.01,0.0,0.07,0.44,0.15,0.81,1.14,0.26,1.03,1.16,5.63,0.19,0.0,0.37
1942-10-31,0.1,0.48,0.25,0.72,0.1,0.67,0.21,0.07,0.1,0.23,0.09,0.01,0.02,0.07,0,0.84,2.4,0.41,0.2,0.12,0.19,0.16,0.0,0.0,0.0,2.09,0.01,1.37,0.1,0.43,0.25,0.29,0.03,0.01,0.01,0.43,0.11,0.66,0.93,0.21,1.29,0.97,1.74,0.25,0.0,0.37
1942-11-30,1.39,5.66,2.54,5.67,1.33,11.05,1.72,1.28,1.91,1.64,0.65,0.23,0.41,1.01,0,10.23,10.53,1.81,2.42,0.89,1.43,0.79,1.02,0.34,0.35,18.3,0.12,11.23,0.8,3.51,2.06,2.35,1.55,0.28,0.34,9.22,2.26,3.25,4.56,1.03,3.58,4.74,6.03,4.02,6.36,0.62
1942-12-31,3.42,11.87,7.13,7.04,1.45,21.07,2.73,3.82,5.71,3.64,1.44,0.64,1.15,1.85,0,26.64,1.52,0.26,12.75,0.86,1.38,0.83,1.21,0.58,0.59,37.25,0.25,23.1,1.64,6.38,3.74,4.28,3.2,0.57,1.38,16.76,4.67,4.92,6.91,1.55,4.34,7.31,0.0,10.89,18.4,0.63
1943-01-31,4.23,16.78,12.71,7.98,1.62,28.66,3.33,5.81,8.68,6.43,2.55,1.19,2.14,5.6,0,51.71,59.03,10.17,30.24,0.97,1.55,1.4,1.34,0.28,0.29,100.71,0.69,65.05,4.61,10.52,6.17,7.05,7.58,1.36,3.03,25.87,5.16,11.52,16.17,3.64,30.15,19.07,14.25,32.78,56.36,0.85
1943-02-28,2.81,11.36,8.66,4.92,1.14,18.2,2.05,4.11,6.14,4.09,1.62,0.8,1.44,2.54,0,34.01,17.17,2.96,17.31,0.57,0.91,0.25,1.29,1.36,1.4,51.48,0.35,30.78,2.18,8.25,4.84,5.53,4.49,0.81,1.47,15.78,3.55,7.0,9.83,2.21,18.41,9.3,0.0,17.49,32.33,0.41
1943-03-31,5.39,21.58,13.59,9.95,2.61,34.97,4.04,8.02,11.98,5.94,2.36,1.3,2.34,9.17,0,50.39,128.75,22.19,0.0,1.05,1.68,1.29,1.57,0.0,0.0,112.44,0.76,73.28,5.19,18.72,10.99,12.55,10.7,1.92,1.82,40.8,9.35,18.68,26.22,5.9,49.42,16.96,31.62,25.31,114.65,0.81
1943-04-30,7.77,30.04,11.28,20.91,5.01,49.79,5.47,9.43,14.09,4.58,1.82,1.09,1.97,3.96,0,35.13,26.01,4.48,10.99,2.21,3.55,5.79,8.8,0.21,0.22,71.41,0.49,46.09,3.26,28.2,16.55,18.91,6.41,1.15,1.43,44.05,16.66,7.17,10.07,2.26,14.53,6.57,11.27,3.04,17.06,2.54
1943-05-31,7.88,31.28,7.25,28.71,6.6,55.89,4.98,7.44,11.11,2.66,1.05,0.72,1.29,2.12,0,20.89,0.0,0.0,0.0,3.77,6.05,11.68,12.4,1.21,1.24,45.76,0.31,27.38,1.94,31.23,18.33,20.94,2.73,0.49,0.58,37.19,20.41,3.22,4.52,1.02,12.14,3.97,0.0,1.53,0.0,4.81
1943-06-30,3.18,14.66,2.72,18.79,3.94,28.71,1.73,2.4,3.59,1.18,0.47,0.22,0.4,0.97,0,7.04,9.67,1.67,0.0,3.04,4.88,8.65,6.04,0.57,0.59,21.64,0.15,12.94,0.92,16.98,9.97,11.38,0.68,0.12,0.13,17.59,9.58,3.75,5.26,1.18,7.17,2.52,4.9,0.48,11.46,3.64
1943-07-31,0.55,4.93,1.43,7.13,1.29,7.82,0.93,0.27,0.4,0.85,0.34,0.06,0.11,0.29,0,4.05,4.73,0.82,0.0,1.44,2.3,4.31,1.14,0.21,0.21,6.09,0.04,3.54,0.25,5.37,3.15,3.6,0.17,0.03,0.05,3.58,3.26,1.97,2.77,0.62,0.0,1.8,9.32,0.17,0.0,1.97
1943-08-31,0.09,1.21,0.61,1.18,0.19,1.29,0.34,0.0,0.0,0.39,0.16,0.02,0.03,0.11,0,1.89,4.06,0.7,0.0,0.27,0.44,0.81,0.0,0.04,0.04,2.59,0.02,1.6,0.11,1.12,0.66,0.75,0.04,0.01,0.02,0.5,0.55,1.01,1.42,0.32,1.49,1.3,5.97,0.12,0.0,0.62
1943-09-30,0.06,0.6,0.34,0.64,0.07,0.73,0.17,0.02,0.03,0.22,0.09,0.01,0.02,0.07,0,1.09,4.18,0.72,0.0,0.08,0.13,0.18,0.0,0.0,0.0,1.83,0.01,1.2,0.08,0.74,0.43,0.5,0.03,0.0,0.07,0.3,0.12,0.76,1.07,0.24,0.43,1.17,5.81,0.19,0.0,0.38
1943-10-31,0.13,0.56,0.28,0.94,0.17,0.79,0.27,0.08,0.12,0.22,0.09,0.01,0.02,0.09,0,0.88,1.68,0.29,0.18,0.16,0.26,0.06,0.13,0.02,0.02,1.98,0.01,1.25,0.09,0.48,0.28,0.32,0.02,0.0,0.01,0.39,0.13,0.79,1.11,0.25,1.65,0.73,1.35,0.14,0.51,0.33
1943-11-30,0.18,0.74,0.33,0.82,0.3,1.48,0.24,0.16,0.24,0.18,0.07,0.02,0.04,0.19,0,1.07,1.76,0.3,0.0,0.14,0.23,0.0,0.0,0.0,0.0,2.25,0.02,1.46,0.1,0.52,0.31,0.35,0.05,0.01,0.02,0.74,0.24,0.81,1.14,0.26,1.77,0.62,0.46,0.27,3.2,0.31
1943-12-31,0.36,1.38,0.56,1.41,0.44,2.96,0.43,0.34,0.51,0.29,0.12,0.05,0.1,0.17,0,2.33,0.39,0.07,0.0,0.23,0.37,0.18,0.59,0.0,0.0,3.26,0.02,2.13,0.15,0.6,0.35,0.4,0.09,0.02,0.08,1.29,0.37,0.94,1.32,0.3,2.13,0.66,0.0,0.57,2.08,0.38
1944-01-31,0.8,2.7,1.42,1.95,0.59,5.12,0.7,0.83,1.24,0.65,0.26,0.1,0.19,0.4,0,4.3,0.7,0.12,0.0,0.26,0.42,0.6,0.9,0.0,0.0,7.1,0.05,4.62,0.33,0.93,0.55,0.62,0.16,0.03,0.23,2.25,0.55,1.18,1.66,0.37,3.53,1.25,0.09,2.71,4.97,0.54
1944-02-29,0.86,2.85,1.66,1.84,0.42,5.47,0.74,0.93,1.39,0.73,0.29,0.14,0.25,1.32,0,6.5,12.49,2.15,0.0,0.24,0.39,0.59,0.57,0.13,0.14,18.26,0.12,11.64,0.82,1.21,0.71,0.81,0.32,0.06,0.28,2.85,0.69,1.47,2.06,0.46,5.23,3.31,10.64,13.13,23.33,0.54
1944-03-31,1.57,5.95,4.23,3.32,0.81,11.11,1.38,2.07,3.09,1.93,0.76,0.35,0.62,1.74,0,15.91,12.8,2.21,8.8,0.44,0.71,0.16,1.04,0.24,0.25,36.46,0.25,23.26,1.65,3.42,2.01,2.29,1.45,0.26,0.97,7.23,1.41,2.44,3.43,0.77,8.6,5.41,12.4,13.28,24.45,0.37
1944-04-30,3.0,11.81,8.66,5.61,1.72,20.2,2.37,4.31,6.44,3.44,1.37,0.68,1.22,0.74,0,31.02,0.0,0.0,0.0,0.68,1.1,1.32,1.47,0.4,0.41,33.02,0.22,20.71,1.47,8.03,4.71,5.38,3.23,0.58,1.09,15.39,3.27,4.08,5.73,1.29,5.61,3.82,0.0,2.55,0.0,0.82
1944-05-31,8.4,31.69,11.27,24.77,7.62,55.43,6.29,9.7,14.49,4.06,1.61,0.98,1.76,2.59,0,34.96,0.0,0.0,0.0,3.09,4.96,9.02,11.48,1.43,1.47,61.14,0.42,36.94,2.62,26.7,15.67,17.9,5.72,1.03,1.22,42.84,18.2,3.45,4.84,1.09,7.6,5.08,0.0,0.68,0.0,3.78
1944-06-30,2.69,11.23,1.86,15.28,4.16,22.51,1.54,2.09,3.12,0.72,0.29,0.15,0.27,0.91,0,4.56,4.63,0.8,4.0,2.4,3.85,6.5,4.81,0.57,0.58,21.38,0.15,12.78,0.9,12.16,7.14,8.15,1.02,0.18,0.1,16.3,8.63,1.73,2.43,0.55,3.61,1.49,2.54,0.2,0.0,2.81
1944-07-31,0.32,2.73,0.71,4.58,1.05,4.48,0.55,0.17,0.25,0.37,0.15,0.03,0.05,0.15,0,1.85,1.1,0.19,0.0,0.92,1.48,2.55,0.08,0.41,0.42,4.52,0.03,2.11,0.15,3.1,1.82,2.08,0.15,0.03,0.02,2.42,1.84,0.97,1.36,0.31,1.48,0.61,1.92,0.03,0.0,1.29
1944-08-31,0.05,0.68,0.32,0.73,0.15,0.72,0.21,0.0,0.0,0.18,0.07,0.01,0.01,0.06,0,0.91,1.25,0.22,0.26,0.19,0.3,0.27,0.0,0.14,0.14,2.07,0.01,1.07,0.08,0.66,0.39,0.44,0.03,0.0,0.01,0.39,0.18,0.63,0.88,0.2,0.0,0.4,2.75,0.03,0.0,0.41
1944-09-30,0.03,0.34,0.19,0.41,0.06,0.43,0.11,0.01,0.01,0.1,0.04,0.0,0.01,0.04,0,0.55,1.31,0.23,0.0,0.06,0.1,0.0,0.0,0.1,0.1,0.85,0.01,0.35,0.02,0.45,0.26,0.3,0.01,0.0,0.03,0.25,0.05,0.39,0.55,0.12,0.74,0.51,2.3,0.03,0.0,0.31
1944-10-31,0.15,0.67,0.35,1.03,0.15,0.95,0.3,0.1,0.15,0.31,0.12,0.01,0.02,0.03,0,1.16,0.0,0.0,0.0,0.17,0.27,0.32,0.14,0.21,0.22,1.65,0.01,0.64,0.05,0.5,0.29,0.34,0.04,0.01,0.02,0.61,0.08,0.39,0.55,0.12,1.15,0.58,-0.0,0.1,0.0,0.43
1944-11-30,1.34,5.26,2.41,5.03,1.26,10.28,1.53,1.27,1.9,1.44,0.57,0.21,0.37,0.68,0,9.11,1.0,0.17,1.55,0.79,1.26,0.75,1.16,0.23,0.24,14.19,0.1,8.77,0.62,2.91,1.71,1.95,1.27,0.23,0.35,5.71,1.79,1.85,2.6,0.58,7.46,3.41,0.0,3.5,8.05,0.6
1944-12-31,2.1,7.18,4.07,4.22,0.98,13.22,1.68,2.27,3.39,2.04,0.81,0.37,0.67,0.55,0,15.36,0.0,0.0,0.0,0.52,0.83,0.68,1.4,0.0,0.0,17.37,0.12,11.32,0.8,3.39,1.99,2.27,1.8,0.32,0.76,7.48,1.48,1.94,2.72,0.61,3.39,3.05,-0.0,2.53,0.0,0.57
1945-01-31,1.46,5.49,3.95,3.05,0.57,9.5,1.2,1.9,2.84,2.0,0.79,0.36,0.65,0.25,0,15.33,0.0,0.0,0.0,0.37,0.59,0.37,1.63,0.13,0.13,12.92,0.09,8.16,0.58,2.79,1.64,1.87,1.15,0.21,1.05,6.01,0.98,1.85,2.6,0.58,1.92,2.53,-0.0,1.57,0.0,0.45
1945-02-28,4.41,17.54,13.45,8.19,1.83,29.4,3.38,6.14,9.17,6.51,2.58,1.21,2.19,3.56,0,53.14,6.16,1.06,44.27,0.97,1.56,1.41,2.17,1.91,1.96,82.77,0.56,50.07,3.55,11.17,6.56,7.49,7.78,1.4,2.61,22.76,4.39,8.43,11.83,2.66,27.15,14.43,0.0,23.64,38.38,0.85
1945-03-31,2.0,8.1,5.78,3.28,0.92,13.27,1.52,3.07,4.59,2.45,0.97,0.52,0.94,1.93,0,22.22,4.58,0.79,14.99,0.4,0.65,0.91,1.22,0.24,0.24,35.22,0.24,22.47,1.59,5.86,3.44,3.93,2.62,0.47,0.7,9.91,2.34,4.32,6.06,1.36,12.88,5.19,0.0,12.08,31.88,0.66
1945-04-30,5.61,22.05,12.02,11.91,3.16,35.82,4.21,7.94,11.86,5.02,1.99,1.13,2.04,2.39,0,43.26,0.0,0.0,11.46,1.29,2.07,2.99,5.56,0.94,0.97,52.64,0.36,32.39,2.29,18.06,10.6,12.11,6.54,1.17,1.94,29.71,8.81,6.05,8.49,1.91,13.97,6.68,-0.0,4.65,3.07,1.46
1945-05-31,9.14,35.17,9.7,28.41,7.1,60.65,6.24,9.58,14.31,3.65,1.45,0.96,1.72,3.43,0,27.79,1.16,0.2,14.32,3.5,5.61,10.57,11.19,1.72,1.77,65.02,0.44,38.88,2.75,33.67,19.76,22.57,6.5,1.17,0.71,47.15,20.48,4.2,5.9,1.33,11.49,5.41,-0.0,1.08,0.0,4.38
1945-06-30,4.51,19.65,3.58,24.7,5.52,38.46,2.47,3.55,5.3,1.5,0.6,0.3,0.55,0.98,0,8.81,0.0,0.0,0.0,3.69,5.91,9.22,9.41,0.68,0.7,25.89,0.18,15.48,1.1,22.7,13.32,15.22,2.58,0.46,0.2,25.52,13.39,2.6,3.65,0.82,6.43,2.5,-0.0,0.36,0.0,3.86
1945-07-31,0.5,4.46,1.28,6.65,1.27,7.13,0.85,0.25,0.37,0.74,0.29,0.06,0.1,0.2,0,3.53,0.44,0.08,0.0,1.33,2.13,3.95,1.18,0.55,0.57,5.67,0.04,2.57,0.18,4.79,2.81,3.21,0.36,0.07,0.04,3.46,2.89,1.32,1.85,0.42,1.77,1.27,0.0,0.04,0.0,1.83
1945-08-31,0.08,1.06,0.54,1.06,0.17,1.15,0.31,0.0,0.0,0.34,0.13,0.01,0.03,0.05,0,1.63,0.21,0.04,0.1,0.25,0.4,0.48,0.0,0.0,0.0,1.97,0.01,1.29,0.09,1.07,0.63,0.72,0.08,0.01,0.02,0.52,0.28,0.76,1.07,0.24,0.07,0.82,0.0,0.01,0.0,0.5
1945-09-30,0.05,0.49,0.28,0.54,0.06,0.61,0.14,0.02,0.03,0.17,0.07,0.01,0.01,0.03,0,0.88,0.44,0.08,0.48,0.07,0.11,0.0,0.0,0.09,0.1,1.37,0.01,0.7,0.05,0.67,0.39,0.45,0.03,0.01,0.05,0.31,0.07,0.56,0.79,0.18,0.19,0.63,0.0,0.03,0.0,0.31
1945-10-31,0.6,2.62,1.26,3.13,0.71,4.59,0.92,0.51,0.76,0.9,0.36,0.08,0.14,0.01,0,4.39,0.0,0.0,0.0,0.52,0.83,1.08,0.9,0.11,0.11,4.36,0.03,2.62,0.19,1.33,0.78,0.89,0.27,0.05,0.08,2.29,0.92,0.84,1.18,0.27,1.75,1.57,0.08,0.77,0.0,0.73
1945-11-30,2.08,7.41,3.82,5.39,1.35,14.06,1.87,2.16,3.23,2.02,0.8,0.34,0.62,0.69,0,13.65,0.0,0.0,0.0,0.74,1.18,1.55,1.8,0.0,0.0,16.79,0.11,10.95,0.78,3.23,1.9,2.17,1.01,0.18,0.68,6.46,2.92,2.03,2.85,0.64,5.4,3.78,1.0,2.8,10.9,0.91
1945-12-31,3.46,12.84,8.81,6.89,1.33,22.99,2.84,4.34,6.48,4.47,1.77,0.82,1.48,4.68,0,35.72,55.69,9.6,4.93,0.86,1.38,1.65,1.78,0.03,0.03,77.82,0.53,50.65,3.59,6.89,4.04,4.62,4.58,0.82,2.32,14.04,4.06,10.17,14.28,3.21,28.15,14.31,7.53,24.19,54.98,0.95
1946-01-31,2.68,10.8,8.49,4.95,1.12,17.8,2.0,3.74,5.59,3.96,1.57,0.74,1.34,1.79,0,32.68,3.63,0.63,2.74,0.57,0.92,1.11,1.24,0.23,0.23,40.4,0.27,25.86,1.83,6.85,4.02,4.59,3.28,0.59,1.37,11.47,3.2,5.89,8.27,1.86,15.08,8.06,0.0,7.43,46.95,0.74
1946-02-28,1.49,5.94,4.32,2.63,0.66,9.54,1.12,2.22,3.32,2.02,0.8,0.41,0.73,0.86,0,17.6,0.26,0.04,0.0,0.32,0.51,0.69,0.55,1.02,1.05,20.11,0.14,11.03,0.78,4.29,2.52,2.88,1.33,0.24,0.72,7.59,1.89,3.08,4.32,0.97,7.23,3.15,0.0,4.44,18.85,0.58
1946-03-31,3.12,12.55,8.63,5.23,1.5,20.64,2.39,4.8,7.17,3.79,1.5,0.81,1.46,2.36,0,31.91,11.08,1.91,10.98,0.59,0.94,0.49,1.51,1.27,1.31,46.23,0.31,27.56,1.95,10.02,5.88,6.72,4.07,0.73,0.96,17.28,4.3,6.25,8.77,1.97,18.95,6.75,0.0,10.89,23.37,0.5
1946-04-30,6.77,26.06,10.95,17.22,4.35,42.83,4.92,8.69,12.98,4.43,1.76,1.03,1.85,3.87,0,35.07,15.43,2.66,21.77,1.83,2.94,5.13,6.76,1.19,1.23,69.35,0.47,42.76,3.03,23.52,13.8,15.77,6.41,1.15,1.59,38.98,12.08,6.38,8.96,2.01,20.53,7.0,0.0,5.71,0.0,2.29
1946-05-31,8.53,33.8,7.71,31.83,7.67,60.89,5.43,7.98,11.92,2.78,1.1,0.75,1.35,3.08,0,22.24,12.44,2.14,7.01,4.14,6.64,10.86,12.42,1.72,1.77,65.08,0.44,38.93,2.76,35.09,20.59,23.53,4.16,0.74,0.61,50.52,23.8,3.57,5.01,1.13,15.28,4.69,0.0,0.96,0.0,4.49
1946-06-30,2.46,12.11,2.35,16.36,3.5,23.24,1.57,1.81,2.7,1.08,0.43,0.17,0.31,0.7,0,6.03,4.28,0.74,0.98,2.73,4.39,6.92,4.55,0.13,0.14,19.63,0.13,12.53,0.89,14.35,8.42,9.62,0.7,0.13,0.11,16.56,9.58,2.1,2.95,0.66,6.01,2.11,0.0,0.31,0.0,2.98
1946-07-31,0.3,2.87,0.94,3.88,0.74,4.24,0.6,0.1,0.15,0.57,0.22,0.04,0.07,0.15,0,2.8,2.39,0.41,0.0,0.89,1.43,2.35,0.0,0.26,0.27,4.61,0.03,2.47,0.17,3.15,1.85,2.11,0.17,0.03,0.03,2.3,1.78,1.03,1.45,0.33,1.99,1.03,2.02,0.12,0.0,1.22
1946-08-31,0.05,0.67,0.35,0.68,0.11,0.73,0.19,0.0,0.0,0.21,0.09,0.01,0.02,0.05,0,1.09,1.94,0.33,0.0,0.16,0.25,0.17,0.0,0.28,0.29,2.29,0.02,0.92,0.07,0.74,0.43,0.5,0.05,0.01,0.01,0.52,0.22,0.62,0.87,0.2,0.56,0.76,1.42,0.06,0.0,0.38
1946-09-30,0.05,0.53,0.3,0.58,0.07,0.65,0.15,0.02,0.03,0.19,0.07,0.01,0.01,0.05,0,0.94,2.51,0.43,0.0,0.08,0.12,0.0,0.0,0.0,0.0,1.62,0.01,1.05,0.07,0.72,0.42,0.48,0.03,0.01,0.06,0.39,0.15,0.5,0.7,0.16,0.69,0.82,1.76,0.03,0.0,0.31
1946-10-31,0.33,1.4,0.65,1.86,0.52,2.51,0.54,0.27,0.4,0.41,0.16,0.03,0.06,0.02,0,2.1,0.0,0.0,0.0,0.33,0.52,0.38,0.24,0.1,0.11,2.06,0.01,1.13,0.08,0.85,0.5,0.57,0.06,0.01,0.04,0.91,0.5,0.63,0.88,0.2,1.95,0.69,0.0,0.24,0.0,0.46
1946-11-30,1.11,3.87,1.9,3.16,0.97,7.69,1.07,1.13,1.69,0.89,0.35,0.15,0.27,0.54,0,6.3,2.46,0.42,4.19,0.46,0.74,0.52,0.3,0.0,0.0,11.2,0.08,7.3,0.52,2.02,1.19,1.35,1.15,0.21,0.29,4.6,0.83,1.57,2.2,0.5,3.79,1.97,1.34,1.76,1.03,0.51
1946-12-31,1.21,4.21,2.64,2.69,0.62,7.93,1.05,1.41,2.11,1.16,0.46,0.21,0.39,0.44,0,9.83,0.0,0.0,0.39,0.35,0.56,0.24,0.3,0.03,0.03,11.85,0.08,7.67,0.54,2.39,1.4,1.6,1.09,0.2,0.53,5.53,1.17,1.62,2.27,0.51,3.43,1.94,0.0,2.07,1.82,0.4
1947-01-31,0.78,2.96,2.09,1.6,0.42,5.65,0.69,1.03,1.54,0.94,0.37,0.17,0.31,0.1,0,7.99,0.0,0.0,0.0,0.22,0.35,0.27,0.16,0.18,0.18,6.25,0.04,3.71,0.26,1.77,1.04,1.19,0.48,0.09,0.52,3.78,0.86,0.96,1.35,0.3,2.36,1.15,0.0,0.97,0.0,0.41
1947-02-28,1.52,5.97,4.57,3.04,0.85,10.4,1.21,2.08,3.11,1.85,0.73,0.34,0.62,1.03,0,16.15,4.74,0.82,13.82,0.37,0.6,0.42,0.73,1.02,1.05,28.72,0.2,16.65,1.18,3.79,2.22,2.54,2.17,0.39,0.62,8.64,1.33,2.45,3.44,0.77,5.81,3.94,2.79,5.39,0.78,0.47
1947-03-31,2.48,9.67,6.56,4.56,1.55,16.68,2.02,3.7,5.53,2.57,1.02,0.53,0.96,2.17,0,23.22,16.94,2.92,18.18,0.56,0.89,1.01,1.78,1.62,1.66,45.14,0.31,26.13,1.85,6.91,4.06,4.63,3.95,0.71,0.71,17.91,3.5,4.73,6.64,1.49,13.11,5.78,3.8,9.0,15.93,0.7
1947-04-30,3.92,14.66,5.78,10.88,3.39,25.2,3.03,4.87,7.27,2.07,0.82,0.48,0.86,2.28,0,17.43,12.66,2.18,4.98,1.22,1.96,3.15,5.49,1.29,1.32,38.43,0.26,22.43,1.59,12.25,7.19,8.21,3.16,0.57,0.72,22.07,8.39,3.89,5.46,1.23,10.59,3.57,1.61,5.15,8.3,1.52
1947-05-31,5.14,20.0,4.07,21.86,6.43,37.71,3.41,4.59,6.86,1.37,0.54,0.36,0.64,1.24,0,11.31,0.0,0.0,0.0,3.16,5.07,9.97,7.56,0.74,0.76,25.99,0.18,15.43,1.09,19.11,11.22,12.81,0.97,0.17,0.28,22.95,12.42,1.79,2.51,0.57,5.12,1.93,0.0,0.34,0.0,4.15
