,I_BVC007,I_SFS033,I_PCRST,I_SFS030,I_NFS033,I_MIL003,I_ANG017,I_RLIEF,I_MFS047,I_CFS001,I_DONLL,I_MFS022,I_LYONS,I_SPICE,I_NFS009,I_NFS005,I_BEARD,I_MFS013,I_TULOC,I_STS059,I_STS072
1944-03-31,3.54,2.18,3.27,0.22,2.07,1.47,0.72,0.93,0.73,2.89,7.46,2.1,0.99,2.67,8.59,0.48,2.27,0.72,5.1,1.08,22.96
1944-04-30,5.27,3.9,5.85,0.24,6.2,2.19,1.08,3.71,2.92,4.52,9.9,2.79,1.07,8.16,20.27,1.14,3.22,1.02,0.89,0.19,23.71
1944-05-31,7.88,9.45,14.18,0.34,20.15,3.28,1.61,12.59,9.89,24.74,44.26,12.48,1.51,28.42,32.27,1.82,7.55,2.38,0.5,0.11,27.53
1944-06-30,1.73,6.77,10.15,0.05,6.62,0.72,0.35,10.27,8.07,21.21,22.42,6.32,0.22,11.26,7.03,0.4,3.17,1.0,0.18,0.04,5.66
1944-07-31,0.56,1.35,2.03,0.03,0.94,0.23,0.11,4.77,3.74,9.22,7.54,2.13,0.14,2.23,0.64,0.04,0.93,0.29,0.01,0.0,0.94
1944-08-31,0.3,1.01,1.51,0.06,0.46,0.12,0.06,3.41,2.68,2.38,0.0,0.0,0.25,1.11,0.34,0.02,0.0,0.0,0.0,0.0,0.0
1944-09-30,0.08,0.0,0.0,0.0,0.45,0.03,0.02,2.41,1.89,0.56,0.0,0.0,0.0,0.77,1.04,0.06,0.0,0.0,0.0,0.0,0.0
1944-10-31,0.26,0.0,0.0,0.0,0.5,0.11,0.05,0.28,0.22,1.24,1.37,0.39,0.0,0.63,1.12,0.06,0.0,0.0,0.0,0.0,0.0
1944-11-30,2.45,0.48,0.72,0.1,2.18,1.02,0.5,0.41,0.32,4.41,8.29,2.34,0.42,2.28,6.56,0.37,1.75,0.55,1.59,0.34,9.08
1944-12-31,2.1,1.01,1.51,0.18,2.1,0.87,0.43,0.42,0.33,2.6,6.35,1.79,0.79,2.67,9.63,0.54,1.22,0.38,1.22,0.26,6.83
1945-01-31,1.81,1.43,2.14,0.25,1.46,0.75,0.37,0.6,0.47,1.9,3.53,1.0,1.1,1.99,8.44,0.48,1.41,0.44,0.66,0.14,6.45
1945-02-28,9.35,2.06,3.08,0.78,6.31,3.89,1.91,1.03,0.81,6.67,21.59,6.09,3.42,8.03,29.39,1.65,5.98,1.89,9.47,2.0,58.85
1945-03-31,5.06,2.52,3.78,0.57,3.47,2.11,1.04,1.04,0.82,3.93,13.46,3.8,2.52,4.56,12.26,0.69,2.93,0.93,5.79,1.22,28.46
1945-04-30,8.84,6.04,9.06,0.8,12.87,3.68,1.81,5.11,4.01,11.65,32.1,9.05,3.53,17.68,32.39,1.82,6.27,1.98,2.04,0.43,44.76
1945-05-31,8.38,14.36,21.54,0.32,23.4,3.49,1.72,18.1,14.22,31.46,59.36,16.74,1.41,33.67,44.73,2.52,7.2,2.27,0.71,0.15,31.07
1945-06-30,3.15,12.3,18.45,0.05,12.21,1.31,0.65,18.61,14.62,34.58,41.64,11.74,0.24,21.44,18.39,1.04,4.44,1.4,0.34,0.07,13.24
1945-07-31,0.95,2.21,3.32,0.09,1.47,0.4,0.19,9.51,7.47,14.57,12.15,3.43,0.42,3.55,1.72,0.1,1.16,0.37,0.02,0.0,6.48
1945-08-31,0.49,1.0,1.51,0.08,0.39,0.2,0.1,2.57,2.02,3.6,2.1,0.59,0.33,1.02,0.77,0.04,0.43,0.14,0.0,0.0,0.0
1945-09-30,0.32,0.21,0.32,0.19,0.41,0.13,0.07,3.69,2.9,1.91,0.0,0.0,0.82,0.43,0.91,0.05,0.0,0.0,0.0,0.0,0.0
1945-10-31,1.03,0.29,0.43,0.16,1.04,0.43,0.21,1.93,1.52,2.99,2.4,0.68,0.72,1.2,2.24,0.13,0.53,0.17,0.0,0.0,0.1
1945-11-30,2.5,1.16,1.74,0.1,1.85,1.04,0.51,1.54,1.21,3.59,6.22,1.75,0.42,1.97,5.76,0.32,1.64,0.52,0.6,0.13,13.77
1945-12-31,6.2,1.43,2.14,0.82,3.81,2.58,1.27,2.17,1.71,5.66,13.73,3.87,3.64,5.04,18.12,1.02,4.11,1.3,6.39,1.35,38.43
1946-01-31,4.49,1.85,2.78,0.57,2.95,1.87,0.92,1.02,0.8,3.12,9.39,2.65,2.51,3.7,14.49,0.82,3.07,0.97,2.54,0.54,25.04
1946-02-28,2.56,1.67,2.51,0.3,2.03,1.07,0.52,0.67,0.53,1.92,6.21,1.75,1.32,2.56,8.64,0.49,1.34,0.42,1.23,0.26,12.09
1946-03-31,5.96,2.92,4.37,0.64,5.33,2.48,1.22,1.77,1.39,4.94,15.81,4.46,2.8,7.21,19.49,1.1,3.98,1.26,2.66,0.56,27.99
1946-04-30,8.58,6.73,10.09,0.73,16.56,3.57,1.76,7.93,6.23,17.11,41.01,11.57,3.23,23.15,37.83,2.13,5.19,1.64,2.28,0.48,38.25
1946-05-31,5.74,14.66,21.99,0.37,23.0,2.39,1.18,18.17,14.28,36.06,60.39,17.03,1.62,34.63,41.5,2.34,6.62,2.09,0.55,0.12,5.71
1946-06-30,1.61,6.47,9.7,0.05,5.96,0.67,0.33,12.75,10.02,23.44,25.55,7.21,0.22,10.99,8.7,0.49,2.48,0.78,0.24,0.05,7.9
1946-07-31,0.61,1.22,1.83,0.23,0.91,0.25,0.12,5.01,3.93,8.03,6.94,1.96,1.03,2.22,1.02,0.06,0.53,0.17,0.06,0.01,0.0
1946-08-31,0.36,1.95,2.92,0.0,0.42,0.15,0.07,1.59,1.25,2.53,1.46,0.41,0.0,1.07,0.79,0.04,0.45,0.14,0.02,0.0,0.0
1946-09-30,0.24,0.17,0.26,0.0,0.46,0.1,0.05,1.0,0.79,1.44,0.11,0.03,0.0,0.57,1.17,0.07,0.52,0.16,0.0,0.0,0.0
1946-10-31,0.45,1.16,1.73,0.0,0.6,0.19,0.09,0.57,0.45,1.68,1.73,0.49,0.0,0.7,1.1,0.06,0.24,0.08,0.03,0.01,0.0
1946-11-30,1.55,0.0,0.0,0.29,1.03,0.65,0.32,1.42,1.12,2.51,3.4,0.96,1.27,1.04,2.26,0.13,1.08,0.34,0.83,0.17,8.16
1946-12-31,1.58,0.03,0.05,0.39,1.21,0.66,0.32,2.1,1.65,1.9,1.56,0.44,1.7,1.5,4.16,0.23,1.21,0.38,0.84,0.18,8.56
1947-01-31,1.09,0.3,0.44,0.31,0.84,0.45,0.22,1.98,1.56,0.95,0.33,0.09,1.35,1.15,4.04,0.23,0.71,0.23,0.49,0.1,5.05
1947-02-28,2.38,0.49,0.74,0.18,2.21,0.99,0.49,1.47,1.16,1.92,4.11,1.16,0.82,2.82,10.36,0.58,1.71,0.54,1.41,0.3,10.67
1947-03-31,4.95,1.56,2.34,0.29,5.57,2.06,1.01,1.52,1.2,4.33,13.0,3.67,1.29,7.35,18.22,1.03,3.35,1.06,2.27,0.48,20.8
1947-04-30,5.1,4.46,6.69,0.1,11.48,2.12,1.04,4.76,3.74,11.1,24.52,6.91,0.42,16.01,20.62,1.16,3.4,1.07,0.8,0.17,18.7
1947-05-31,3.33,10.0,14.99,0.14,13.27,1.39,0.68,13.81,10.85,25.51,35.06,9.89,0.64,20.02,18.27,1.03,4.31,1.36,0.18,0.04,1.13
1947-06-30,0.76,2.3,3.45,0.2,2.95,0.32,0.16,6.97,5.48,12.78,11.62,3.28,0.9,5.07,3.14,0.18,1.21,0.38,0.09,0.02,0.73
1947-07-31,0.29,0.84,1.25,0.19,0.74,0.12,0.06,2.36,1.85,3.81,2.73,0.77,0.84,1.79,0.68,0.04,0.25,0.08,0.0,0.0,0.0
1947-08-31,0.22,1.2,1.8,0.0,0.59,0.09,0.05,1.58,1.24,1.64,0.0,0.0,0.0,1.44,0.64,0.04,0.12,0.04,0.0,0.0,0.0
1947-09-30,0.07,0.39,0.58,0.07,0.42,0.03,0.01,0.06,0.05,0.47,0.36,0.1,0.33,0.68,1.0,0.06,0.16,0.05,0.0,0.0,0.0
1947-10-31,0.79,0.0,0.0,0.0,0.63,0.33,0.16,0.72,0.57,2.41,2.95,0.83,0.0,0.79,0.92,0.05,0.43,0.13,0.0,0.0,1.28
1947-11-30,0.53,0.0,0.0,0.06,0.84,0.22,0.11,1.4,1.1,0.8,0.0,0.0,0.26,0.76,2.57,0.14,0.12,0.04,0.16,0.03,0.0
1947-12-31,0.48,0.47,0.7,0.06,0.61,0.2,0.1,1.2,0.94,0.88,0.05,0.01,0.25,0.68,2.17,0.12,0.4,0.13,0.19,0.04,0.0
1948-01-31,1.16,0.87,1.3,0.08,1.73,0.48,0.24,1.47,1.16,1.56,1.93,0.54,0.34,2.15,7.79,0.44,0.69,0.22,0.31,0.07,0.01
1948-02-29,0.86,1.08,1.62,0.13,0.78,0.36,0.18,0.4,0.31,1.1,1.92,0.54,0.56,1.09,4.34,0.24,0.79,0.25,0.55,0.12,1.37
1948-03-31,1.9,1.07,1.6,0.16,1.28,0.79,0.39,0.77,0.61,1.72,3.94,1.11,0.72,1.72,6.75,0.38,1.2,0.38,3.34,0.71,11.26
1948-04-30,8.07,3.45,5.17,0.48,6.42,3.36,1.65,3.93,3.09,6.22,16.14,4.55,2.11,8.17,26.81,1.51,5.23,1.65,5.26,1.11,49.45
1948-05-31,11.54,9.19,13.79,0.58,23.11,4.81,2.36,10.11,7.95,24.05,56.05,15.81,2.55,32.39,50.19,2.83,8.27,2.61,1.32,0.28,40.07
1948-06-30,3.99,12.89,19.34,0.0,17.33,1.66,0.82,16.53,12.99,35.45,50.2,14.16,0.0,27.45,27.43,1.54,5.22,1.65,0.41,0.09,0.0
1948-07-31,0.76,1.15,1.73,0.1,1.54,0.32,0.16,4.81,3.78,11.58,12.69,3.58,0.43,3.7,1.73,0.1,0.83,0.26,0.05,0.01,1.33
1948-08-31,0.4,1.03,1.55,0.1,0.48,0.17,0.08,0.0,0.0,2.87,3.75,1.06,0.46,1.19,0.61,0.03,0.61,0.19,0.0,0.0,0.0
1948-09-30,0.07,0.22,0.33,0.17,0.48,0.03,0.01,0.0,0.0,0.45,0.44,0.13,0.73,0.72,1.34,0.08,0.16,0.05,0.0,0.0,0.0
1948-10-31,0.2,0.0,0.0,0.05,0.54,0.08,0.04,1.11,0.87,1.06,0.0,0.0,0.22,0.67,1.18,0.07,0.0,0.0,0.0,0.0,0.0
1948-11-30,0.71,0.28,0.42,0.07,0.3,0.3,0.15,2.58,2.03,1.41,0.0,0.0,0.3,0.27,0.38,0.02,0.0,0.0,0.05,0.01,1.84
1948-12-31,0.82,0.28,0.42,0.1,0.47,0.34,0.17,2.88,2.26,1.41,0.0,0.0,0.46,0.42,0.79,0.04,0.0,0.0,0.38,0.08,4.26
1949-01-31,0.73,0.34,0.51,0.08,0.37,0.3,0.15,2.37,1.86,1.0,0.0,0.0,0.35,0.42,0.87,0.05,0.0,0.0,0.56,0.12,5.16
1949-02-28,0.93,0.23,0.35,0.12,0.49,0.39,0.19,0.39,0.31,1.23,2.03,0.57,0.51,0.61,1.46,0.08,0.8,0.25,1.51,0.32,7.08
1949-03-31,3.07,1.16,1.74,0.14,1.28,1.28,0.63,0.84,0.66,2.62,6.98,1.97,0.61,1.66,3.76,0.21,2.03,0.64,7.07,1.5,24.76
1949-04-30,9.69,5.27,7.9,0.69,12.03,4.03,1.98,5.68,4.46,9.6,23.55,6.64,3.02,15.9,43.55,2.45,6.41,2.02,1.25,0.26,36.19
1949-05-31,7.23,11.8,17.71,0.42,23.18,3.01,1.48,13.55,10.64,29.51,53.6,15.12,1.85,33.62,39.58,2.23,7.41,2.34,0.38,0.08,6.54
1949-06-30,1.38,5.37,8.05,0.1,5.76,0.57,0.28,10.63,8.35,21.81,22.68,6.4,0.47,10.27,6.95,0.39,2.62,0.83,0.18,0.04,2.36
1949-07-31,0.37,0.06,0.09,0.17,0.51,0.15,0.08,1.68,1.32,5.03,5.69,1.6,0.74,1.23,0.38,0.02,0.43,0.14,0.02,0.0,0.13
1949-08-31,0.27,0.38,0.57,0.1,0.49,0.11,0.06,0.0,0.0,2.0,2.45,0.69,0.44,1.21,0.59,0.03,0.46,0.15,0.0,0.0,0.0
1949-09-30,0.09,0.03,0.04,0.08,0.42,0.04,0.02,0.0,0.0,0.59,0.55,0.16,0.37,0.65,1.06,0.06,0.2,0.06,0.0,0.0,0.0
1949-10-31,0.17,0.35,0.52,0.07,0.28,0.07,0.03,0.39,0.3,0.83,0.61,0.17,0.31,0.36,0.59,0.03,0.0,0.0,0.0,0.0,0.0
1949-11-30,0.26,0.71,1.06,0.13,0.29,0.11,0.05,3.52,2.77,1.2,0.0,0.0,0.59,0.37,0.53,0.03,0.0,0.0,0.12,0.03,0.0
1949-12-31,0.45,0.49,0.73,0.11,0.4,0.19,0.09,0.55,0.44,0.66,0.68,0.19,0.47,0.4,1.0,0.06,0.51,0.16,0.18,0.04,0.0
1950-01-31,2.13,0.76,1.14,0.12,1.3,0.89,0.44,0.41,0.32,3.14,6.45,1.82,0.53,1.31,3.26,0.18,1.38,0.44,4.7,0.99,10.63
1950-02-28,3.57,0.99,1.49,0.2,2.33,1.49,0.73,0.57,0.44,3.75,9.02,2.54,0.88,2.99,9.53,0.54,2.37,0.75,5.84,1.23,22.73
1950-03-31,4.87,2.49,3.74,0.65,3.72,2.03,1.0,1.2,0.94,3.59,10.48,2.96,2.84,4.85,19.91,1.12,3.05,0.96,2.56,0.54,25.43
1950-04-30,12.28,6.25,9.37,0.84,13.67,5.11,2.51,6.72,5.28,12.3,32.83,9.26,3.73,18.25,45.03,2.54,7.47,2.36,3.1,0.66,63.53
1950-05-31,8.97,11.94,17.9,0.55,26.48,3.73,1.84,19.72,15.5,31.81,58.19,16.41,2.45,37.78,52.81,2.97,8.01,2.53,0.86,0.18,22.63
1950-06-30,2.53,9.71,14.56,0.14,11.3,1.05,0.52,15.93,12.51,31.75,36.62,10.33,0.63,20.0,16.7,0.94,3.7,1.17,0.28,0.06,3.54
1950-07-31,0.7,0.83,1.25,0.1,1.11,0.29,0.14,5.21,4.09,10.05,9.84,2.77,0.42,2.68,1.25,0.07,0.73,0.23,0.03,0.01,2.86
1950-08-31,0.32,1.09,1.64,0.14,0.33,0.13,0.07,0.0,0.0,2.36,3.43,0.97,0.59,0.88,0.7,0.04,0.39,0.12,0.04,0.01,0.0
1950-09-30,0.24,0.29,0.44,0.18,0.4,0.1,0.05,0.52,0.41,1.48,0.79,0.22,0.8,0.42,0.95,0.05,0.49,0.16,0.03,0.01,0.0
1950-10-31,0.39,0.45,0.68,0.08,1.14,0.16,0.08,1.48,1.16,1.7,0.64,0.18,0.36,1.38,3.2,0.18,0.0,0.0,0.12,0.02,0.0
1950-11-30,18.26,7.56,11.34,0.4,17.59,7.6,3.74,12.18,9.57,26.16,27.44,7.74,1.79,22.1,87.87,4.95,11.65,3.68,9.04,1.91,71.77
1950-12-31,19.37,7.76,11.65,1.34,21.13,8.07,3.97,8.92,7.01,27.46,49.46,13.95,5.9,29.2,56.52,3.18,11.95,3.77,11.9,2.52,106.1
1951-01-31,4.37,1.62,2.42,0.73,5.24,1.82,0.89,2.93,2.3,9.41,19.11,5.39,3.21,7.66,9.16,0.52,4.35,1.37,8.56,1.81,26.68
1951-02-28,3.11,2.0,2.99,0.64,5.67,1.29,0.64,2.58,2.03,8.16,26.55,7.49,2.81,8.09,10.4,0.59,0.37,0.12,4.45,0.94,23.57
1951-03-31,2.58,3.02,4.53,0.68,6.52,1.07,0.53,3.12,2.45,9.83,31.48,8.88,3.0,9.3,12.89,0.73,3.11,0.98,6.62,1.4,18.0
1951-04-30,3.56,8.29,12.43,0.3,12.65,1.48,0.73,5.19,4.08,16.73,39.68,11.19,1.31,18.53,25.89,1.46,4.26,1.35,1.33,0.28,12.77
1951-05-31,2.58,11.24,16.86,0.39,13.16,1.07,0.53,12.6,9.9,27.87,47.61,13.43,1.7,22.59,22.57,1.27,3.6,1.14,1.37,0.29,1.42
1951-06-30,1.41,4.5,6.75,0.22,3.12,0.59,0.29,13.38,10.51,24.75,16.66,4.7,0.97,6.96,4.67,0.26,1.88,0.59,0.38,0.08,12.18
1951-07-31,0.77,0.7,1.06,0.19,0.85,0.32,0.16,4.12,3.23,7.91,6.76,1.91,0.85,2.09,1.16,0.07,0.56,0.18,0.14,0.03,0.0
1951-08-31,0.39,1.04,1.56,0.12,0.49,0.16,0.08,1.51,1.19,2.85,0.44,0.12,0.54,1.02,1.34,0.08,0.75,0.24,0.0,0.0,0.0
1951-09-30,0.21,0.6,0.91,0.05,0.37,0.09,0.04,2.61,2.05,1.83,0.0,0.0,0.21,0.37,0.94,0.05,0.0,0.0,0.02,0.01,0.0
1951-10-31,0.39,0.32,0.48,0.13,0.36,0.16,0.08,3.27,2.57,1.86,0.0,0.0,0.6,0.46,0.69,0.04,0.0,0.0,0.04,0.01,0.0
1951-11-30,0.74,0.03,0.04,0.12,0.71,0.31,0.15,0.43,0.33,2.12,3.17,0.9,0.51,0.89,1.49,0.08,0.6,0.19,0.48,0.1,1.35
1951-12-31,3.01,0.26,0.39,0.18,1.84,1.25,0.62,0.46,0.36,2.39,10.42,2.94,0.78,1.68,4.52,0.25,2.01,0.64,5.57,1.18,15.85
1952-01-31,5.07,0.92,1.37,0.3,1.41,2.11,1.04,0.68,0.54,2.12,16.44,4.64,1.34,1.75,3.03,0.17,3.4,1.08,15.54,3.29,39.7
1952-02-29,5.18,1.11,1.67,0.77,2.29,2.16,1.06,0.82,0.64,2.31,13.38,3.77,3.38,2.89,8.46,0.48,3.04,0.96,6.3,1.33,44.85
1952-03-31,7.32,1.95,2.93,0.91,2.32,3.05,1.5,1.42,1.12,3.47,16.32,4.6,4.02,3.21,10.25,0.58,4.69,1.48,13.67,2.89,57.91
1952-04-30,16.88,6.58,9.87,1.9,12.65,7.03,3.46,6.85,5.38,15.95,39.08,11.02,8.38,16.3,60.87,3.43,8.81,2.78,3.73,0.79,100.57
1952-05-31,17.04,19.75,29.63,0.31,40.2,7.1,3.49,15.37,12.08,49.2,115.68,32.63,1.35,56.71,104.33,5.87,14.54,4.59,1.87,0.4,62.2
1952-06-30,5.66,16.18,24.27,0.0,25.94,2.36,1.16,19.22,15.1,50.95,76.06,21.45,0.0,41.14,50.55,2.85,7.26,2.29,0.65,0.14,7.09
1952-07-31,1.77,6.44,9.66,0.01,5.56,0.74,0.36,16.13,12.68,27.61,24.03,6.78,0.03,11.54,9.21,0.52,2.36,0.75,0.48,0.1,6.44
1952-08-31,1.01,1.22,1.83,0.03,0.8,0.42,0.21,2.45,1.93,6.99,10.64,3.0,0.15,2.05,1.32,0.07,1.04,0.33,0.11,0.02,0.0
1952-09-30,0.42,0.24,0.36,0.2,0.66,0.17,0.09,2.66,2.09,3.37,0.0,0.0,0.89,0.79,1.78,0.1,0.0,0.0,0.16,0.03,0.0
1952-10-31,0.22,0.17,0.25,0.31,0.0,0.09,0.05,5.37,4.22,2.4,0.0,0.0,1.38,2.62,0.75,0.04,0.0,0.0,0.15,0.03,0.0
1952-11-30,0.52,0.65,0.97,0.18,1.1,0.22,0.11,1.61,1.26,2.04,0.0,0.0,0.78,0.28,0.45,0.03,0.01,0.0,0.24,0.05,0.0
1952-12-31,1.28,0.87,1.3,0.16,1.44,0.53,0.26,0.34,0.27,2.4,3.21,0.91,0.69,0.16,1.36,0.08,0.84,0.26,1.78,0.38,4.81
1953-01-31,3.72,0.78,1.17,0.22,3.33,1.55,0.76,0.8,0.63,3.44,9.43,2.66,0.97,1.84,9.94,0.56,2.35,0.74,4.84,1.02,25.82
1953-02-28,2.03,1.23,1.85,0.3,3.0,0.85,0.42,0.63,0.49,3.25,3.05,0.86,1.33,2.45,8.43,0.47,1.05,0.33,0.76,0.16,9.06
1953-03-31,3.83,2.31,3.47,0.3,4.15,1.59,0.78,1.21,0.95,4.77,5.54,1.56,1.3,3.08,12.79,0.72,2.17,0.69,1.9,0.4,23.24
1953-04-30,9.94,6.31,9.46,0.27,10.09,4.14,2.04,5.01,3.93,12.86,25.55,7.21,1.19,20.14,41.87,2.36,5.97,1.89,1.39,0.29,45.65
1953-05-31,5.68,5.38,8.07,0.46,14.58,2.37,1.16,8.71,6.84,16.95,32.39,9.14,2.01,19.76,38.18,2.15,5.07,1.6,0.93,0.2,14.35
1953-06-30,3.88,12.64,18.95,0.35,14.53,1.62,0.79,17.01,13.36,34.56,37.48,10.57,1.54,26.96,27.72,1.56,5.76,1.82,0.53,0.11,0.0
1953-07-31,1.1,3.31,4.97,0.07,1.37,0.46,0.23,10.48,8.23,20.44,12.07,3.4,0.29,6.5,3.39,0.19,1.83,0.58,0.11,0.02,7.8
1953-08-31,0.48,1.05,1.58,0.19,0.0,0.2,0.1,1.95,1.54,3.89,2.09,0.59,0.86,1.57,0.66,0.04,0.49,0.16,0.15,0.03,0.0
1953-09-30,0.16,0.26,0.39,0.27,0.32,0.07,0.03,4.23,3.33,2.32,0.0,0.0,1.17,0.29,0.98,0.06,0.0,0.0,0.03,0.01,0.0
1953-10-31,0.26,0.6,0.91,0.12,0.31,0.11,0.05,1.81,1.43,2.03,0.0,0.0,0.51,0.17,0.99,0.06,0.0,0.0,0.09,0.02,0.0
1953-11-30,0.5,0.65,0.98,0.13,0.09,0.21,0.1,0.24,0.19,2.03,0.89,0.25,0.58,0.47,1.22,0.07,0.4,0.13,0.24,0.05,0.0
1953-12-31,0.65,0.0,0.0,0.12,1.46,0.27,0.13,0.26,0.21,2.07,0.93,0.26,0.53,0.76,1.66,0.09,0.4,0.13,0.41,0.09,0.14
1954-01-31,0.99,0.37,0.56,0.12,1.51,0.41,0.2,0.42,0.33,1.71,2.56,0.72,0.52,0.49,2.39,0.13,0.64,0.2,1.19,0.25,5.26
1954-02-28,2.14,0.51,0.77,0.18,2.39,0.89,0.44,0.52,0.41,2.05,5.64,1.59,0.82,1.12,6.62,0.37,1.46,0.46,2.39,0.5,13.68
1954-03-31,7.48,2.17,3.25,0.43,5.66,3.11,1.53,1.74,1.37,5.69,16.15,4.56,1.92,8.9,22.29,1.26,4.4,1.39,4.11,0.87,50.69
1954-04-30,11.4,6.69,10.04,0.96,15.85,4.75,2.33,5.72,4.49,15.35,43.09,12.15,4.23,22.94,44.34,2.5,7.99,2.52,1.79,0.38,52.78
1954-05-31,4.85,14.38,21.57,0.56,15.26,2.02,0.99,19.48,15.3,30.08,47.84,13.49,2.45,26.25,32.15,1.81,5.92,1.87,0.59,0.12,8.45
1954-06-30,1.09,4.52,6.77,0.08,2.92,0.45,0.22,10.63,8.35,14.93,15.75,4.44,0.37,6.86,5.12,0.29,1.95,0.62,0.38,0.08,4.78
1954-07-31,0.47,0.94,1.41,0.2,0.0,0.2,0.1,3.18,2.5,4.49,6.66,1.88,0.87,2.24,1.1,0.06,0.57,0.18,0.03,0.01,0.0
1954-08-31,0.22,1.01,1.51,0.18,1.25,0.09,0.05,1.54,1.21,2.08,0.0,0.0,0.81,1.19,0.86,0.05,0.0,0.0,0.15,0.03,0.0
1954-09-30,0.18,0.2,0.3,0.02,1.14,0.07,0.04,4.41,3.47,1.5,0.0,0.0,0.09,0.0,0.56,0.03,0.0,0.0,0.04,0.01,0.0
1954-10-31,0.21,0.0,0.0,0.01,0.81,0.09,0.04,0.7,0.55,1.38,0.31,0.09,0.03,0.0,0.34,0.02,0.0,0.0,0.03,0.01,0.0
1954-11-30,0.5,0.0,0.0,0.07,0.31,0.21,0.1,0.23,0.18,1.54,1.11,0.31,0.3,0.0,0.72,0.04,0.39,0.12,0.12,0.03,0.96
1954-12-31,1.22,0.0,0.0,0.11,1.34,0.51,0.25,0.28,0.22,1.78,3.83,1.08,0.51,0.06,3.26,0.18,0.81,0.26,2.22,0.47,5.08
1955-01-31,1.85,0.54,0.81,0.23,1.42,0.77,0.38,0.4,0.31,1.53,5.08,1.43,1.01,0.15,2.24,0.13,1.26,0.4,5.23,1.11,11.22
1955-02-28,1.84,0.73,1.09,0.17,1.79,0.77,0.38,0.52,0.41,1.73,4.03,1.14,0.73,1.34,5.39,0.3,1.07,0.34,2.0,0.42,11.53
1955-03-31,2.86,2.07,3.1,0.19,3.3,1.19,0.59,1.21,0.95,2.93,4.65,1.31,0.85,3.81,11.59,0.65,1.76,0.56,1.49,0.32,12.28
1955-04-30,5.3,4.17,6.25,0.29,4.22,2.21,1.09,3.99,3.13,5.75,10.29,2.9,1.3,10.29,18.0,1.01,2.89,0.91,1.35,0.29,24.41
1955-05-31,6.66,7.52,11.28,0.0,16.29,2.77,1.36,10.45,8.21,19.61,44.4,12.52,0.0,25.19,38.48,2.17,6.3,1.99,0.9,0.19,17.32
1955-06-30,2.12,8.12,12.17,0.15,6.41,0.88,0.43,14.96,11.75,23.06,26.19,7.39,0.65,12.82,8.5,0.48,3.36,1.06,0.26,0.05,7.11
1955-07-31,0.47,1.22,1.83,0.1,1.92,0.2,0.1,3.19,2.5,4.99,7.52,2.12,0.44,0.99,0.76,0.04,0.64,0.2,0.01,0.0,0.0
1955-08-31,0.27,1.04,1.56,0.12,0.24,0.11,0.06,1.49,1.17,1.93,0.27,0.08,0.54,2.6,0.36,0.02,0.37,0.12,0.09,0.02,0.0
1955-09-30,0.04,0.0,0.0,0.07,2.15,0.02,0.01,4.28,3.37,1.34,0.0,0.0,0.29,0.0,0.8,0.05,0.0,0.0,0.05,0.01,0.0
1955-10-31,0.16,0.0,0.0,0.06,0.51,0.07,0.03,0.11,0.09,1.32,0.47,0.13,0.29,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.0
1955-11-30,0.34,0.19,0.29,0.06,0.22,0.14,0.07,0.13,0.1,1.5,2.19,0.62,0.27,0.0,0.35,0.02,0.0,0.0,0.03,0.01,0.54
1955-12-31,18.11,2.5,3.75,1.05,7.59,7.54,3.71,3.09,2.43,13.18,50.36,14.2,4.62,18.26,68.39,3.85,12.02,3.8,18.79,3.98,102.77
1956-01-31,14.18,3.8,5.7,1.61,7.17,5.9,2.9,2.92,2.29,8.13,36.27,10.23,7.1,8.34,35.09,1.98,8.76,2.77,16.06,3.4,89.52
1956-02-29,4.97,1.62,2.43,0.61,5.23,2.07,1.02,1.49,1.17,5.07,14.45,4.08,2.71,3.79,13.87,0.78,2.0,0.63,3.97,0.84,30.6
1956-03-31,4.4,3.91,5.87,0.5,7.97,1.83,0.9,2.19,1.72,7.54,21.77,6.14,2.23,9.3,20.38,1.15,4.13,1.3,2.24,0.47,18.31
1956-04-30,7.21,9.19,13.78,0.41,13.78,3.0,1.48,8.03,6.31,16.21,31.7,8.94,1.8,20.35,39.21,2.21,4.11,1.3,1.41,0.3,21.79
1956-05-31,8.04,16.12,24.18,0.79,25.51,3.35,1.65,21.39,16.81,38.2,75.74,21.36,3.48,40.87,70.18,3.95,9.14,2.89,2.1,0.44,14.23
1956-06-30,3.42,16.11,24.16,0.0,15.96,1.42,0.7,25.29,19.87,50.41,43.36,12.23,0.0,31.63,26.96,1.52,4.85,1.53,0.58,0.12,3.3
1956-07-31,1.29,3.35,5.02,0.0,1.73,0.54,0.26,14.46,11.36,21.55,11.89,3.35,0.0,6.21,2.91,0.16,1.25,0.4,0.32,0.07,6.9
1956-08-31,0.71,1.16,1.73,0.12,0.82,0.3,0.15,1.95,1.53,5.65,4.88,1.38,0.54,0.99,0.73,0.04,0.63,0.2,0.0,0.0,0.0
1956-09-30,0.47,0.39,0.59,0.16,0.7,0.2,0.1,2.77,2.18,2.99,0.0,0.0,0.71,0.8,0.88,0.05,0.0,0.0,0.0,0.0,0.0
1956-10-31,0.45,0.27,0.41,0.21,0.8,0.19,0.09,6.15,4.83,2.8,0.0,0.0,0.9,1.23,0.95,0.05,0.0,0.0,0.11,0.02,0.0
