,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep
1922,3.222449156,0.689629229,1.934629772,7.345628139,11.9282191,29.83701842,50.61091871,162.949113,112.3868557,14.45144894,3.453853146,3.280392267
1923,2.403105901,2.723685848,4.756009611,4.9265198,8.792461063,32.21126904,83.98981281,107.7447194,31.14835043,12.53830308,3.224410775,3.331139094
1924,3.693980174,2.805952574,2.895062076,2.699038614,5.7925847,5.408119177,7.474090086,10.35162434,2.972347697,1.735264001,1.070730331,0.530554652
1925,2.897130534,5.146990407,10.13911972,10.08890193,61.99963178,57.99516252,81.26659068,138.9175009,63.25127569,19.07802178,5.817807105,2.932136961
1926,2.556550612,3.39331397,4.730139595,4.593678513,21.32166247,25.20213528,83.03608994,46.24908011,9.153211059,1.40612613,0.752136464,0.797424745
1927,1.523368857,7.098737293,19.0416813,14.88627213,42.52908954,40.23376578,94.5374905,117.8873647,68.87818588,11.26563695,3.055268723,1.831357374
1928,2.84533283,13.12884256,8.45469835,8.496206554,13.06346336,81.31658431,78.991966,77.12656404,14.70790026,2.682799033,1.310841654,0.702527206
1929,1.678068928,1.366013493,1.792387213,2.289339625,4.951525613,25.92780702,40.13899732,66.86221198,25.30084854,3.174596113,1.282745017,1.93056302
1930,1.46079522,0.442106144,10.24361288,8.272778117,17.76573978,32.91400124,79.0799661,62.86253244,27.48961681,4.338776218,2.662044646,2.635427115
1931,1.151574135,1.866692684,1.763016336,2.559729129,5.949288942,17.75700494,41.95849066,25.11489981,5.360553906,2.311542502,1.73261031,1.362681409
1932,1.225058657,0.994487609,3.637734932,5.336148077,16.59325729,43.00724036,81.75176407,140.1312315,83.56261505,12.05767653,4.205356312,4.233121165
1933,2.209341698,0.831321874,1.830920728,2.04158423,2.572246179,9.746958071,42.46449281,71.23631488,65.16245011,4.805781807,1.905302244,1.560855471
1934,2.351218793,2.695605728,8.563327399,10.74934438,13.19340628,47.39295764,39.18718775,15.49237723,9.483423608,1.953410812,0.79309835,2.357251703
1935,2.594966269,5.723538501,7.588104445,9.076864363,16.43332855,20.69917248,101.3773037,144.4803899,65.08780826,6.28073879,2.728569452,2.03934914
1936,2.728509231,2.580450311,3.897422975,10.82921535,30.08640726,57.31882865,114.3600018,126.6442385,56.07695276,6.137947903,2.433035883,1.469253917
1937,2.03609185,2.958843711,4.93384083,3.967195001,14.92872885,26.30743364,70.36851809,165.0978655,40.85123837,4.626004971,2.602411032,2.020486489
1938,2.276589079,3.387627352,79.78398197,15.7228824,19.752182,47.0917866,99.61401871,209.7182327,133.5925284,16.99654848,2.831586266,3.131854438
1939,5.093204164,6.15084823,7.435649919,8.16171892,9.040505252,29.52600019,68.48959676,26.71655116,6.171523192,3.063294888,1.979507441,1.339063992
1940,3.276892669,3.112551467,4.770801459,32.27645673,37.08676626,86.75149476,100.6869879,125.4425628,28.40217477,3.545035618,2.286033188,1.748334679
1941,2.085829537,3.077059062,11.37917683,12.65649615,26.49371884,46.79404487,64.62340775,183.2543152,67.6632011,9.349996133,2.621374033,1.798617828
1942,2.18088471,3.668604871,25.75978347,36.4034749,27.68012288,34.12416809,93.30834089,128.3528659,92.16900942,12.09042176,2.0336529,1.161689277
1943,1.416048658,11.46763287,19.52502489,46.18504296,32.21607561,73.96973013,118.5662087,93.01217718,37.73524566,6.904089639,1.974057498,1.616837065
1944,2.841675742,3.024097315,4.084656101,5.4312473,6.614525336,17.35017873,41.04175676,90.54203811,27.03372038,4.41011954,2.224122975,2.402537929
1945,2.570772686,13.83523087,17.04305571,14.17836844,54.7350012,26.03722006,73.60226096,112.6958759,56.22094859,7.791893972,2.70945787,2.126309425
1946,5.633783035,12.40838079,34.18827418,26.44349886,16.27879008,39.08631354,88.24931275,107.2037406,27.74697734,4.817850603,2.680562582,2.504022497
1947,2.909846969,6.002366374,8.689459719,7.343223767,18.35009392,37.11493249,54.37076669,55.91556597,12.09741392,3.543292406,2.92316929,2.225684337
1948,3.178724074,4.846155926,4.061897921,13.26455395,7.316767447,12.03361967,50.97608151,120.052065,77.74697678,7.83050549,2.717865444,2.688555086
