,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep
1922,1.428564838,1.383452265,5.752567233,10.67910281,23.67152472,20.28062627,43.00153751,202.4497426,209.7315607,30.8080716,1.888106971,0.566175921
1923,2.273044408,6.459926608,27.50876215,20.05819566,14.22015631,21.3092859,68.8008249,174.3146094,85.6074297,25.03998837,1.065676952,2.687981347
1924,7.773448421,4.022007482,3.526917589,5.383922963,11.67618723,15.84254312,60.74652409,85.21086821,-9.981744955,10.96744317,0.466763452,1.177328129
1925,4.113779884,12.31113152,12.24384918,11.10837009,42.0149127,41.38278988,97.22558606,181.6358404,97.54154315,15.63744225,1.57722629,2.304769475
1926,3.166225539,4.395497364,9.787213195,7.903432569,19.05913386,30.8966787,110.1536212,87.16199331,15.42065941,-1.497432623,0.87689908,1.281395223
1927,1.396872602,16.1237349,18.80763791,18.21122515,40.8444007,37.41203392,86.51118306,150.8330168,142.3011743,25.00985596,2.133245555,1.075688255
1928,5.265619744,18.47724083,8.599628015,10.79769945,13.94809588,103.2983672,87.95999406,136.8107745,23.63958315,0.827138708,2.397126681,0.048596606
1929,1.016906624,2.159764223,3.377296908,4.044145975,7.009060203,17.70478557,40.68094651,133.3890319,58.87051076,2.744603123,1.585878852,0.032150295
1930,0.926196097,0.978877625,13.89693573,9.912008466,16.05633842,33.42780631,82.39312457,99.522326,70.23991908,6.081685027,1.035100626,1.038482923
1931,1.923068922,4.467335832,2.515294782,4.17725194,9.458172651,20.18115306,71.4384358,82.11448837,14.94842451,-0.557645256,0.653981575,0.656118526
1932,-0.575000788,2.619216996,9.114167785,11.34721723,23.50218515,29.74859333,56.50372023,162.3811366,153.9642835,25.46668985,3.100244029,1.369808813
1933,0.18124622,0.978007231,2.414315022,3.504621772,5.024102608,14.32297656,35.34073084,87.62412223,149.8376261,15.28566408,3.805662074,3.650183815
1934,4.83391853,4.245931569,11.94720178,14.23179455,16.66573752,59.8101927,79.02740967,40.08398327,21.72911886,0.69780088,0.108110113,0.032319163
1935,0.244991312,8.807698718,7.582387686,11.28340781,14.80690288,18.0302132,85.25630906,167.4022887,119.8674392,12.81405174,0.866240207,0.935023205
1936,2.182212737,2.478570949,2.963622877,19.26617185,47.40144454,43.78270899,108.8887486,181.6040071,106.8440869,16.52230511,3.35578111,1.307089652
1937,1.828078078,1.946861874,4.407614422,3.533666953,22.74641973,27.88581528,60.50156864,203.9898221,90.93032154,11.76070927,2.018624097,1.138736497
