,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep
1922,2.697518925,0.564292207,1.522120826,5.96558005,10.08007204,24.55397757,41.61712284,145.4506748,105.9184876,13.59332231,3.048304442,2.455272938
1923,2.012164807,2.158733721,3.887387689,4.164285274,7.367273137,26.37861324,72.12328338,99.53970482,29.77724293,11.85989339,2.998381822,2.542936524
1924,3.082804274,2.314309283,2.377670751,2.241209619,4.920531371,4.903129863,6.882132998,9.749606539,2.856884642,1.659829013,1.438480967,-0.028256475
1925,2.424970369,4.113498858,8.370313654,8.524950677,50.85878666,48.33579142,71.97986058,128.4693281,60.13814031,18.00615272,5.122765023,2.150002346
1926,2.1058751,2.724071723,4.000143062,3.861111476,17.47423329,20.93755985,74.98347831,43.68622892,8.634165503,1.210473253,0.588044221,0.566708154
1927,1.275169237,5.701584596,15.98067811,12.2631043,34.78816111,33.49344279,83.3730581,109.2185243,65.4878519,10.51649734,2.437842461,1.300509846
1928,2.377702014,10.8242797,7.069943146,6.970785761,10.71301895,68.72751421,72.22189308,72.69723495,13.88786728,2.31274832,0.983417251,0.499027386
1929,1.402388229,1.075758514,1.437390104,1.936452261,4.188278955,21.24657978,34.49156065,61.68931166,24.14133846,2.966388706,1.185178188,1.472940609
1930,1.223382626,0.370253796,8.427265806,6.924990104,14.57409632,27.18852362,70.22014632,58.789721,26.27304681,4.052218278,2.454412636,2.005756552
1931,0.957725943,1.489744643,1.492816076,2.167424495,4.897953679,14.67193391,37.6674496,23.65147406,5.134229593,2.182577397,1.620667302,1.062155191
1932,1.025509374,0.832495946,2.931844291,4.275865288,14.02245322,35.23058675,68.57784016,128.3387518,79.0213451,11.34829578,3.882468969,3.222569001
1933,1.833914374,0.65452201,1.441533,1.711336787,2.175225798,8.126215944,35.06087005,63.82626606,61.43830847,4.489509269,1.6734682,1.162390487
1934,1.922683896,2.194109842,7.177061595,8.821170617,10.82168636,41.60191305,36.47423458,14.73104351,9.04748657,1.825741786,0.741263839,1.902498995
1935,2.17232671,4.548365825,6.34083019,7.670768434,13.53190124,16.95689651,85.8887027,132.9718585,61.8456831,5.863497813,2.236145137,1.466940026
